seed,heldout_corner,uncertainty_weight,diversity_weight,worst_cell_delay_r2_aulc,overall_delay_r2_aulc,top20_recall_aulc
0,ff,0.0,1.0,0.061582658773307014,0.5410873848121219,1.0
0,ff,0.25,0.75,0.08939931847746004,0.545871719688224,1.0
0,ff,0.5,0.5,0.13503987382587104,0.5519188188489496,1.0
0,ff,0.75,0.25,0.014550691745061434,0.4730684093182564,1.0
0,ff,1.0,0.0,0.019661203822298457,0.46023537202912307,1.0
0,ss,0.0,1.0,0.3176894839440218,0.5432064670950768,0.8703703703703703
0,ss,0.25,0.75,0.3700146926435723,0.558012474869405,0.8796296296296294
0,ss,0.5,0.5,0.40070187840986954,0.599939477000433,0.8333333333333334
0,ss,0.75,0.25,0.3977548343496564,0.6008489050460274,0.8333333333333331
0,ss,1.0,0.0,0.4067597183739909,0.5985199356011491,0.8333333333333331
0,typical,0.0,1.0,0.4531414772476727,0.8385929813800955,0.8796296296296294
0,typical,0.25,0.75,-0.04705692156407599,0.8301859929953442,0.861111111111111
0,typical,0.5,0.5,-0.6684292432625895,0.7754460977303861,0.8796296296296294
0,typical,0.75,0.25,-0.8853932536535258,0.7705635653228596,0.9629629629629629
0,typical,1.0,0.0,-0.6462219611856576,0.7897420425074975,0.9351851851851851
1,ff,0.0,1.0,-0.9656090365309923,-0.15293830693230637,0.888888888888889
1,ff,0.25,0.75,-1.3222551049052733,-0.27974415058881935,0.9166666666666666
1,ff,0.5,0.5,-1.5049769984837658,-0.2616193768104505,0.9907407407407408
1,ff,0.75,0.25,-1.8171579544204206,-0.34167200219630556,0.9907407407407408
1,ff,1.0,0.0,-1.748251365577029,-0.3508008991284077,0.9907407407407408
1,ss,0.0,1.0,-0.6594288084145604,0.017737711480555734,0.8333333333333334
1,ss,0.25,0.75,-0.6120376170411442,0.03782603112060323,0.8796296296296297
1,ss,0.5,0.5,-2.2341406583391166,-0.5480194789087692,0.8796296296296297
1,ss,0.75,0.25,-2.2424979568460714,-0.5654225222226162,0.8240740740740741
1,ss,1.0,0.0,-1.2196442735308894,-0.3001060024515728,0.8148148148148149
1,typical,0.0,1.0,0.4362541729586726,0.7637796374904141,0.601851851851852
1,typical,0.25,0.75,0.22134998985210433,0.7350893720677217,0.6388888888888888
1,typical,0.5,0.5,0.2890483075634999,0.7875972829693243,0.6481481481481481
1,typical,0.75,0.25,-0.023373506311898662,0.73429396039017,0.7222222222222222
1,typical,1.0,0.0,0.00029923411922409365,0.7380031170746072,0.7314814814814814
2,ff,0.0,1.0,0.4026111745324809,0.6790402089032042,1.0
2,ff,0.25,0.75,0.4404233933140585,0.7038352614451132,1.0
2,ff,0.5,0.5,0.49750844535321476,0.7039188782447464,1.0
2,ff,0.75,0.25,0.4897586461723875,0.706420775885638,1.0
2,ff,1.0,0.0,0.46196648374651605,0.6769938256301272,0.9814814814814815
2,ss,0.0,1.0,0.31780296628402455,0.7016303464857544,0.888888888888889
2,ss,0.25,0.75,-7.182010966268828,-1.9657685408814671,0.8518518518518517
2,ss,0.5,0.5,-7.486607876265751,-2.060445167938397,0.8518518518518517
2,ss,0.75,0.25,-7.859853996590208,-2.213329658403442,0.8333333333333334
2,ss,1.0,0.0,-7.759616590394615,-2.2057902013700974,0.7685185185185185
2,typical,0.0,1.0,0.7440977337041793,0.8673733868744907,0.7962962962962963
2,typical,0.25,0.75,0.7177270678029505,0.8669467322194384,0.8981481481481483
2,typical,0.5,0.5,0.27073020080084115,0.787069201746836,0.9259259259259259
2,typical,0.75,0.25,0.33887528061992006,0.7895489034372924,0.861111111111111
2,typical,1.0,0.0,0.2897570280628767,0.7834347240607206,0.861111111111111
3,ff,0.0,1.0,-0.6518765471410416,0.4220866974450633,1.0
3,ff,0.25,0.75,-0.6301367347735218,0.48866675027120826,1.0
3,ff,0.5,0.5,-0.5908374178443134,0.4758731221134794,1.0
3,ff,0.75,0.25,-0.5850071059863061,0.43229494257281303,1.0
3,ff,1.0,0.0,-0.6318894303014281,0.4283504409152692,1.0
3,ss,0.0,1.0,0.4677393132041716,0.6757385252505091,0.9814814814814815
3,ss,0.25,0.75,-0.32910297708078445,0.5317810238990844,0.9166666666666666
3,ss,0.5,0.5,-0.5047999956148248,0.28518834175606955,0.8796296296296294
3,ss,0.75,0.25,-1.3919182238275096,-0.41437855734512796,0.7685185185185185
3,ss,1.0,0.0,-1.4136880588218335,-0.3674191530369337,0.7222222222222222
3,typical,0.0,1.0,0.6451394164735063,0.7842481630750839,0.7685185185185185
3,typical,0.25,0.75,0.5282158345639915,0.7548078287010408,0.7777777777777778
3,typical,0.5,0.5,0.5747281959743208,0.7801069543860999,0.8333333333333334
3,typical,0.75,0.25,0.32776291672196733,0.7410758978697297,0.8703703703703703
3,typical,1.0,0.0,0.33843526869646995,0.7496594212221398,0.8981481481481483
4,ff,0.0,1.0,0.10400126548295834,0.47142923306530315,0.888888888888889
4,ff,0.25,0.75,-0.6382978953432096,0.3472182771325558,0.888888888888889
4,ff,0.5,0.5,-0.2875398675480845,0.44402825211345065,0.888888888888889
4,ff,0.75,0.25,-0.39456969679127635,0.44940977904132184,0.888888888888889
4,ff,1.0,0.0,-0.6730144153214722,0.4230455287740724,0.888888888888889
4,ss,0.0,1.0,0.5678970546137301,0.7807485729343248,0.7777777777777778
4,ss,0.25,0.75,0.07161756281289562,0.6507673331448663,0.7777777777777778
4,ss,0.5,0.5,-1.4694894329540278,0.1934829733297514,0.7962962962962963
4,ss,0.75,0.25,-1.513022336144265,0.20353127802699558,0.7962962962962963
4,ss,1.0,0.0,-2.3979991889324848,-0.16723287657322347,0.7222222222222222
4,typical,0.0,1.0,0.7149632211308873,0.8593681789234987,0.9537037037037037
4,typical,0.25,0.75,0.7015850282520976,0.8388331451391816,0.9629629629629629
4,typical,0.5,0.5,0.624093670105056,0.8040703449717128,0.9537037037037038
4,typical,0.75,0.25,0.6023819273757164,0.7821153202019321,0.9166666666666666
4,typical,1.0,0.0,0.6273968241346582,0.7947158466166849,0.9166666666666666
5,ff,0.0,1.0,0.22220610688371387,0.6020856704960413,1.0
5,ff,0.25,0.75,0.2004775076047015,0.5954219824356942,1.0
5,ff,0.5,0.5,0.09404734901237505,0.5427018193620831,1.0
5,ff,0.75,0.25,-0.02743235008415869,0.4728135343608717,1.0
5,ff,1.0,0.0,0.0053036159412908805,0.4828752802045641,1.0
5,ss,0.0,1.0,0.2931669219816208,0.6246213530476895,0.888888888888889
5,ss,0.25,0.75,0.3559225194813936,0.6435173724170767,0.888888888888889
5,ss,0.5,0.5,-0.33569736802059236,0.6763137264521254,0.898148148148148
5,ss,0.75,0.25,-3.8398138504297683,0.49269784871914385,0.8425925925925924
5,ss,1.0,0.0,-3.417421895006857,0.5007326517493712,0.861111111111111
5,typical,0.0,1.0,-0.4033830058760175,0.739774180760057,0.888888888888889
5,typical,0.25,0.75,-0.16615751742844598,0.7792270779862012,0.8703703703703702
5,typical,0.5,0.5,-0.9448628922314298,0.7371050009801468,0.888888888888889
5,typical,0.75,0.25,-0.8031017516710955,0.735388162968767,0.888888888888889
5,typical,1.0,0.0,-0.9687544087567228,0.7119975000356377,0.888888888888889
6,ff,0.0,1.0,-0.3607960563350819,0.1770272945249666,0.9814814814814815
6,ff,0.25,0.75,-0.42827869914689914,0.1590544370753233,0.9814814814814815
6,ff,0.5,0.5,-0.2833811716519555,0.29490177963471925,0.9814814814814815
6,ff,0.75,0.25,-0.7585086452741713,0.22668194407492315,1.0
6,ff,1.0,0.0,-0.8935286603216732,0.2402616289796448,0.9814814814814815
6,ss,0.0,1.0,0.4033739991496566,0.5704711505797923,0.888888888888889
6,ss,0.25,0.75,0.4638744780536992,0.6263028827482598,0.888888888888889
6,ss,0.5,0.5,-0.9398398346308244,0.5184500318052406,0.8518518518518517
6,ss,0.75,0.25,-0.8861610786487172,0.5281997528972983,0.8703703703703702
6,ss,1.0,0.0,-0.8669358927071481,0.5301122695973367,0.8703703703703702
6,typical,0.0,1.0,0.6372908362033534,0.7630538842967711,0.7777777777777778
6,typical,0.25,0.75,0.704972008834134,0.8126492959296453,0.7777777777777778
6,typical,0.5,0.5,0.5623307113017962,0.7428616721193229,0.8240740740740741
6,typical,0.75,0.25,0.30926411101202583,0.6719092065381239,0.861111111111111
