target,feature_set,runs,median_r2,q25_r2,q75_r2,min_r2,median_mae,median_rmse,median_mape_pct
delay_avg_ns,full,20,0.8802539685274992,0.8659135434538208,0.9082089311170078,0.7902176097254338,0.04616519921113802,0.07529716039816906,13.828890135024476
delay_avg_ns,no_cell_or_arc,20,0.800873886234543,0.7603249046554912,0.8395425273662633,0.6490843427426751,0.06820689738748187,0.09432690231467797,24.45212528636656
delay_avg_ns,no_corner,20,0.7447352671613592,0.7002362047886634,0.8016256170992826,0.6018900951970787,0.07292401832845027,0.10548663444231533,25.365691287459708
delay_avg_ns,no_load_slew,20,0.4261190763644865,0.27788194655613474,0.48026284807735226,-0.2837092119573381,0.11547285791780915,0.17922945252373412,41.418599268462685
delay_avg_ns,sizing_pvt_only,20,0.21128048783512904,-0.0004040518097792878,0.3366017580251161,-0.6902772086528719,0.1309947424105258,0.19938090877426157,51.38079510617932
power_avg_uW,full,20,0.9721344490298884,0.9656855726339227,0.9775045517281367,0.9582656537225536,0.3882672446157147,0.5144566256571139,7.566126304377979
power_avg_uW,no_cell_or_arc,20,0.8299393365188301,0.8119298902090857,0.8446443013036418,0.7687479866985938,0.9808015449426641,1.2973665239527068,18.59007618057129
power_avg_uW,no_corner,20,0.9721598131351126,0.9650161548274847,0.9774119901405207,0.958149204110362,0.38944190288750646,0.5149771277594154,7.504785179735986
power_avg_uW,no_load_slew,20,0.145389536072762,0.05038616745387686,0.21390037363555506,-0.0019483742740049603,2.4189856424478897,2.9512458471475593,61.306685512843515
power_avg_uW,sizing_pvt_only,20,0.006635264829117693,-0.12755684959017927,0.09855588064944132,-0.3963761691408916,2.568299047270941,3.12511894969374,62.56298643008564
