experiment,seed,target,model,train_rows,calibration_rows,test_rows,nominal_coverage,empirical_coverage,interval_width,median_abs_err,p95_abs_err
v2_split_conformal,0,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.96875,0.2530106918435969,0.028420112473634268,0.0936725556282643
v2_split_conformal,0,power_avg_uW,GradientBoosting,192,64,64,0.9,0.890625,2.294691565720047,0.36311157461836574,1.583422028341363
v2_split_conformal,1,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.96875,0.27491626161607285,0.031248101998552866,0.11077831971435405
v2_split_conformal,1,power_avg_uW,GradientBoosting,192,64,64,0.9,0.984375,2.6311747955557756,0.4696541177146737,1.1757579166457544
v2_split_conformal,2,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.96875,0.42537519345750296,0.029673778064699396,0.137827377530694
v2_split_conformal,2,power_avg_uW,GradientBoosting,192,64,64,0.9,0.890625,1.8227999895395062,0.2752765138002764,1.0310390778942307
v2_split_conformal,3,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.875,0.3826120402112714,0.028909754306891286,0.3702998857201881
v2_split_conformal,3,power_avg_uW,GradientBoosting,192,64,64,0.9,0.9375,2.7264793244213834,0.3810156288188369,1.5226581514565514
v2_split_conformal,4,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.890625,0.2422525324661503,0.036559974293869146,0.17502264704357015
v2_split_conformal,4,power_avg_uW,GradientBoosting,192,64,64,0.9,0.96875,3.289928628392584,0.39263707108116175,1.2856695224359243
v2_split_conformal,5,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.9375,0.3534769570130897,0.02919787258843496,0.18964138659408628
v2_split_conformal,5,power_avg_uW,GradientBoosting,192,64,64,0.9,0.9375,2.0993603305806268,0.2671306084843077,1.1034413304729114
v2_split_conformal,6,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.9375,0.4068718397580924,0.02743898311686667,0.20985475428952843
