target,model,feature,importance_mean_delta_r2,importance_std_delta_r2
delay_avg_ns,GradientBoosting,Wn_um,0.6947602413799806,0.12161934619543614
delay_avg_ns,GradientBoosting,L_um,0.0,0.0
delay_avg_ns,GradientBoosting,Wp_Wn_ratio,-0.00023281234423147,0.00947288818549839
delay_avg_ns,GradientBoosting,Vdd,0.015746854335855865,0.004202755315675448
delay_avg_ns,GradientBoosting,Temp,0.0008230287826273108,0.004482251117313345
delay_avg_ns,GradientBoosting,Cload_fF,0.5149641333401271,0.1716064816665262
delay_avg_ns,GradientBoosting,slew_ps,0.012118081089986854,0.0025304830728382303
delay_avg_ns,GradientBoosting,cell_type,0.028627704545747347,0.018329487765028
delay_avg_ns,GradientBoosting,input_arc,0.009852886765991508,0.018802681235065746
delay_avg_ns,GradientBoosting,corner,0.13197391201784314,0.0577319118324325
power_avg_uW,GradientBoosting,Wn_um,0.11870795310742652,0.026046046026299778
power_avg_uW,GradientBoosting,L_um,0.0,0.0
power_avg_uW,GradientBoosting,Wp_Wn_ratio,0.005614763791113408,0.0020571124352558464
power_avg_uW,GradientBoosting,Vdd,0.10564682994854806,0.01772073541968238
power_avg_uW,GradientBoosting,Temp,-6.169498462478273e-05,0.0003095290234820066
power_avg_uW,GradientBoosting,Cload_fF,1.3327404933275535,0.2377899227335732
power_avg_uW,GradientBoosting,slew_ps,-0.0004175099808302662,0.0007916052703837694
power_avg_uW,GradientBoosting,cell_type,0.061990020995456786,0.013535939712374228
power_avg_uW,GradientBoosting,input_arc,0.02679767453384375,0.007481858550787806
power_avg_uW,GradientBoosting,corner,-0.00017870790317667807,0.00014691286336142523
