experiment,seed,pool_rows,selected_k,spearman,kendall_tau,precision_at_k_top10,recall_at_k_top10,precision_at_k_top20,recall_at_k_top20,ndcg_at_k,median_actual_rank_selected
v2_repeated_holdout,0,64.0,13.0,0.9726190476190475,0.8740079365079364,0.5384615384615384,1.0,0.7692307692307693,0.7692307692307693,0.9949548931901121,7.0
v2_repeated_holdout,1,64.0,13.0,0.981639194139194,0.8968253968253967,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9979093335317522,7.0
v2_repeated_holdout,2,64.0,13.0,0.9788919413919412,0.8928571428571428,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9955942862050936,7.0
v2_repeated_holdout,3,64.0,13.0,0.9740842490842488,0.8789682539682538,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9962606522574378,7.0
v2_repeated_holdout,4,64.0,13.0,0.9710164835164833,0.8690476190476191,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9974933424501262,7.0
v2_repeated_holdout,5,64.0,13.0,0.9684523809523808,0.865079365079365,0.5384615384615384,1.0,1.0,1.0,0.9975336739208641,7.0
v2_repeated_holdout,6,64.0,13.0,0.9579212454212453,0.8640873015873016,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9976901180434328,7.0
v2_repeated_holdout,7,64.0,13.0,0.9804029304029303,0.8928571428571428,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.992245318413359,7.0
v2_repeated_holdout,8,64.0,13.0,0.9846153846153846,0.9017857142857142,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9967780713501777,7.0
v2_repeated_holdout,9,64.0,13.0,0.971657509157509,0.8621031746031745,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9952970558523687,7.0
v2_repeated_holdout,10,64.0,13.0,0.9820054945054942,0.8978174603174603,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9924028549447045,7.0
v2_repeated_holdout,11,64.0,13.0,0.98264652014652,0.9077380952380952,0.5384615384615384,1.0,1.0,1.0,0.9988502204978064,7.0
v2_repeated_holdout,12,64.0,13.0,0.990613553113553,0.9255952380952381,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9964058367725365,7.0
v2_repeated_holdout,13,64.0,13.0,0.9798076923076922,0.8878968253968254,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.99004287016052,7.0
v2_repeated_holdout,14,64.0,13.0,0.9782051282051281,0.8809523809523809,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9905449444464266,7.0
v2_repeated_holdout,15,64.0,13.0,0.9708791208791209,0.8660714285714285,0.46153846153846156,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.9896193331644231,8.0
v2_repeated_holdout,16,64.0,13.0,0.985668498168498,0.9077380952380952,0.5384615384615384,1.0,1.0,1.0,0.9995962324021317,7.0
v2_repeated_holdout,17,64.0,13.0,0.9737179487179486,0.8730158730158729,0.5384615384615384,1.0,0.7692307692307693,0.7692307692307693,0.9906281204697371,7.0
v2_repeated_holdout,18,64.0,13.0,0.9749084249084249,0.8779761904761905,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9950333933601424,7.0
v2_repeated_holdout,19,64.0,13.0,0.9801739926739926,0.8819444444444444,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9942344203797704,7.0
v2_train_v3_validation,,480.0,96.0,0.9875804582485167,0.9059672929714682,0.5,1.0,0.9479166666666666,0.9479166666666666,0.9984591175604641,48.5
