sample_id,cell_type,dataset,elapsed_seconds
8000000,INV,v3,0.225
8000001,INV,v3,0.209
8000002,INV,v3,0.215
8000003,INV,v3,0.213
8000004,INV,v3,0.217
8000005,INV,v3,0.226
8000006,INV,v3,0.23
8000007,INV,v3,0.241
8000008,INV,v3,0.263
8000009,INV,v3,0.283
8000010,INV,v3,0.301
8000011,INV,v3,0.328
8000012,INV,v3,0.323
8000013,INV,v3,0.347
8000014,INV,v3,0.356
8000015,INV,v3,0.357
8000016,INV,v3,0.354
8000017,INV,v3,0.357
8000018,INV,v3,0.364
8000019,INV,v3,0.337
8000020,INV,v3,0.339
8000021,INV,v3,0.327
8000022,INV,v3,0.329
8000023,INV,v3,0.353
8000024,INV,v3,0.348
8000025,INV,v3,0.331
8000026,INV,v3,0.322
8000027,INV,v3,0.343
8000028,INV,v3,0.32
8000029,INV,v3,0.32
8000030,INV,v3,0.321
8000031,INV,v3,0.324
8000032,INV,v3,0.325
8000033,INV,v3,0.325
8000034,INV,v3,0.324
8000035,INV,v3,0.325
8000036,INV,v3,0.337
8000037,INV,v3,0.342
8000038,INV,v3,0.328
8000039,INV,v3,0.337
8000040,INV,v3,0.331
8000041,INV,v3,0.329
8000042,INV,v3,0.326
8000043,INV,v3,0.33
8000044,INV,v3,0.326
8000045,INV,v3,0.326
8000046,INV,v3,0.328
8000047,INV,v3,0.328
8000048,INV,v3,0.323
8000049,INV,v3,0.331
8000050,INV,v3,0.362
8000051,INV,v3,0.359
8000052,INV,v3,0.353
8000053,INV,v3,0.333
8000054,INV,v3,0.331
8000055,INV,v3,0.333
8000056,INV,v3,0.327
8000057,INV,v3,0.322
8000058,INV,v3,0.328
8000059,INV,v3,0.325
8000060,INV,v3,0.341
8000061,INV,v3,0.36
8000062,INV,v3,0.329
8000063,INV,v3,0.326
8000064,INV,v3,0.337
8000065,INV,v3,0.328
8000066,INV,v3,0.329
8000067,INV,v3,0.328
8000068,INV,v3,0.329
8000069,INV,v3,0.328
8000070,INV,v3,0.322
8000071,INV,v3,0.324
8000072,INV,v3,0.327
8000073,INV,v3,0.325
8000074,INV,v3,0.328
8000075,INV,v3,0.348
8000076,INV,v3,0.34
8000077,INV,v3,0.328
8000078,INV,v3,0.333
8000079,INV,v3,0.324
8000080,NAND2,v3,0.489
8000081,NAND2,v3,0.481
8000082,NAND2,v3,0.478
8000083,NAND2,v3,0.481
8000084,NAND2,v3,0.478
8000085,NAND2,v3,0.472
8000086,NAND2,v3,0.477
8000087,NAND2,v3,0.474
8000088,NAND2,v3,0.478
8000089,NAND2,v3,0.484
8000090,NAND2,v3,0.476
8000091,NAND2,v3,0.477
8000092,NAND2,v3,0.484
8000093,NAND2,v3,0.481
8000094,NAND2,v3,0.471
8000095,NAND2,v3,0.492
8000096,NAND2,v3,0.475
8000097,NAND2,v3,0.471
8000098,NAND2,v3,0.469
8000099,NAND2,v3,0.479
8000100,NAND2,v3,0.472
8000101,NAND2,v3,0.477
8000102,NAND2,v3,0.467
8000103,NAND2,v3,0.478
8000104,NAND2,v3,0.481
8000105,NAND2,v3,0.475
8000106,NAND2,v3,0.475
8000107,NAND2,v3,0.478
8000108,NAND2,v3,0.481
8000109,NAND2,v3,0.483
8000110,NAND2,v3,0.476
8000111,NAND2,v3,0.475
8000112,NAND2,v3,0.482
8000113,NAND2,v3,0.472
8000114,NAND2,v3,0.473
8000115,NAND2,v3,0.476
8000116,NAND2,v3,0.476
8000117,NAND2,v3,0.479
