sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled,reference_origin
4320001,INV,I_to_Z,1.4172307774125508,0.28,2.1554845813506427,1.796811721168526,10.127961721328829,7.777968605512271,10.17503055698884,typical,0.053252,0.0654753,0.05936365,1.19097,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/random/netlists/4320001_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/random/logs/4320001_INV.log,0,3,3,typical,random,1.0,1.0,0.3804082920250948,,0.1601131826539045,0.6003284952232623,existing_online_query
4320022,INV,I_to_Z,3.6498600984125433,0.28,2.0915534160660907,1.6643087118336055,18.789065047537303,50.68570181140475,104.08668052404872,typical,0.125693,0.167748,0.1467204999999999,4.98533,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/random/netlists/4320022_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/random/logs/4320022_INV.log,1,3,3,typical,random,22.0,6.0,0.4080263749929145,,0.0566901203463303,0.6477769195612196,existing_online_query
4321037,INV,I_to_Z,1.494508829133772,0.28,1.820676878484872,1.829951355971779,4.821506268718792,12.794601283922962,84.93920116857272,typical,0.0799744999999999,0.112157,0.09606575,1.64849,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321037_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321037_INV.log,2,3,3,typical,cell_balanced_random,37.0,10.0,0.3697464170109015,,0.333098680227325,0.6177141428901733,existing_online_query
4324045,INV,I_to_Z,2.3207832925008747,0.28,2.6520028684817705,1.7604409103062562,43.423476839551526,79.77203149304736,279.5340071108365,typical,0.275652,0.294729,0.2851904999999999,7.88426,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_space_filling/netlists/4324045_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_space_filling/logs/4324045_INV.log,3,3,3,typical,cell_balanced_space_filling,45.0,12.0,0.3767987499886658,0.868156064895041,0.1707936596824394,0.868156064895041,existing_online_query
4321025,INV,I_to_Z,4.477685575055594,0.28,2.2869602119480907,1.7240171954890948,54.07018038143123,92.2149224816926,119.9428121381845,typical,0.168457,0.201955,0.1852059999999999,9.2395,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321025_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321025_INV.log,4,3,3,typical,cell_balanced_random,25.0,7.0,0.3750405829923693,,0.129204216522605,0.7539562291648152,existing_online_query
4324001,INV,I_to_Z,2.8211534459348475,0.28,2.959441372903404,1.8548986144524595,92.53162028788316,22.54387397248101,44.65086149394049,typical,0.0846576,0.0743218,0.0794897,3.47011,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_space_filling/netlists/4324001_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_space_filling/logs/4324001_INV.log,5,3,3,typical,cell_balanced_space_filling,1.0,1.0,0.4132052499917336,0.7144801328641367,0.0,0.7144801328641367,existing_online_query
6320006,INV,I_to_Z,3.0570480807141815,0.28,1.7693250082112346,1.9438381483342864,-18.427502232535232,65.84069871131408,379.1532665316794,typical,0.19251,0.266179,0.2293445,8.02013,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_3/corner_typical/netlists/6320006_INV.cir,results/online_spice_deterministic/exhaustive_reference/seed_3/corner_typical/logs/6320006_INV.log,6,3,3,typical,exhaustive_reference_completion,,,0.5651754999998957,,,,new_completion_query
4323028,INV,I_to_Z,1.0668635454281334,0.28,2.005865726892526,1.9152289660620272,29.692865067159367,4.854264505069564,196.59407411054963,typical,0.0801861,0.1014999999999999,0.09084305,0.828664,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/uncertainty/netlists/4323028_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/uncertainty/logs/4323028_INV.log,7,3,3,typical,uncertainty,28.0,7.0,0.4386971249768976,0.8718133050227093,0.8718133050227093,0.3867034247224085,existing_online_query
4321021,INV,I_to_Z,0.8010567860894571,0.28,2.3447965276902227,1.8056167157281091,55.57907284202817,46.93044057407711,410.3008534660477,typical,0.426653,0.498093,0.462373,4.65085,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321021_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321021_INV.log,8,3,3,typical,cell_balanced_random,21.0,6.0,0.3800119169754907,,0.5327030645178258,0.5062698979704201,existing_online_query
4321017,INV,I_to_Z,2.0027676503490492,0.28,1.997460547921293,1.669988032889666,-12.965329361438764,39.05316526595392,153.8680247383089,typical,0.16261,0.227339,0.1949745,3.62114,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321017_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321017_INV.log,9,3,3,typical,cell_balanced_random,17.0,5.0,0.3705875000159722,,0.206449634755552,0.6968694102417681,existing_online_query
4321013,INV,I_to_Z,1.0025901939292523,0.28,2.5071836641096197,1.7080474236133116,89.42072515877454,57.88589846897192,143.63586144060667,typical,0.40872,0.442189,0.4254545,5.17125,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321013_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321013_INV.log,10,3,3,typical,cell_balanced_random,13.0,4.0,0.3837286250200122,,0.4321711446452714,0.4469219467720708,existing_online_query
4321009,INV,I_to_Z,4.0586905453987185,0.28,1.7140739355868515,1.686001329841424,36.04067099826197,45.0979327226025,340.42879835252063,typical,0.160915,0.228509,0.194712,4.54595,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321009_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321009_INV.log,11,3,3,typical,cell_balanced_random,9.0,3.0,0.3678440000221599,,0.113848395072466,0.1939230930087394,existing_online_query
4320014,INV,I_to_Z,3.77706649271946,0.28,2.7100471504302095,1.7416727413360462,78.74148630573855,71.83319980538123,69.73451083877379,typical,0.155743,0.155767,0.155755,7.63874,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/random/netlists/4320014_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/random/logs/4320014_INV.log,12,3,3,typical,random,14.0,4.0,0.3777468749904074,,0.1190988215070733,0.6433867245349234,existing_online_query
4321001,INV,I_to_Z,4.728361436272107,0.28,2.2290931853544467,1.8312730408964877,-9.82902976835598,83.92514626807002,364.36394937360575,typical,0.1856249999999999,0.227486,0.2065555,9.48047,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321001_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321001_INV.log,13,3,3,typical,cell_balanced_random,1.0,1.0,0.3885604999959469,,0.1769019563674462,0.5371500596193266,existing_online_query
4321029,INV,I_to_Z,2.5227568310012627,0.28,2.8858617201449164,1.968940401300554,-2.527230113418046,37.40333660386595,311.6194354015787,typical,0.153779,0.160306,0.1570425,5.2145,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/netlists/4321029_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/cell_balanced_random/logs/4321029_INV.log,14,3,3,typical,cell_balanced_random,29.0,8.0,0.3859950839832891,,0.1517384474929745,0.6404693480976157,existing_online_query
4322028,INV,I_to_Z,1.901025362598926,0.28,1.5342288058189193,1.9298596200179348,63.68827227769131,96.26922408392252,183.72393940067636,typical,0.312458,0.51072,0.411589,10.8407,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_typical/space_filling/netlists/4322028_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_typical/space_filling/logs/4322028_INV.log,15,3,3,typical,space_filling,28.0,7.0,0.3993676670070272,0.951242361548437,0.382280395532112,0.951242361548437,existing_online_query
