sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled,reference_origin
4400010,INV,I_to_Z,2.46839609005323,0.28,2.7924075181779413,1.9111967098765408,8.500340617243591,26.997970877818133,410.38209841985514,ff,0.124928,0.138365,0.1316465,3.90781,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/random/netlists/4400010_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/random/logs/4400010_INV.log,0,4,4,ff,random,10.0,3.0,0.3764370830031112,,0.0804556763374321,0.1186896867657577,existing_online_query
4401021,INV,I_to_Z,4.921913254757794,0.28,1.965453832196689,1.7254790278547103,28.41154925934471,52.13463005673077,422.8617691863248,ff,0.134259,0.184119,0.159189,5.72311,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401021_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401021_INV.log,1,4,4,ff,cell_balanced_random,21.0,6.0,0.3840580419928301,,0.027280725328369,0.0148839574155354,existing_online_query
6400002,INV,I_to_Z,3.921890828226078,0.28,2.149348570382142,1.7063511265058993,32.429065574475814,92.80892533676588,36.7905250656559,ff,0.130631,0.160525,0.145578,8.9116,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/exhaustive_reference/seed_4/corner_ff/netlists/6400002_INV.cir,results/online_spice_deterministic/exhaustive_reference/seed_4/corner_ff/logs/6400002_INV.log,2,4,4,ff,exhaustive_reference_completion,,,0.6820272919721901,,,,new_completion_query
4404001,INV,I_to_Z,0.7044011165504188,0.28,1.750375342434517,1.9288029760389904,-6.070156759118426,19.890742398144717,498.5875604330311,ff,0.208813,0.291062,0.2499375,2.34829,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/netlists/4404001_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/logs/4404001_INV.log,3,4,4,ff,cell_balanced_space_filling,1.0,1.0,0.38403250000556,1.0,0.3639007512387707,1.0,existing_online_query
4401005,INV,I_to_Z,2.0819186528730755,0.28,2.7077624990166673,1.6633155408483191,18.11191848388856,33.966308323257024,343.2076446967721,ff,0.164906,0.178766,0.171836,3.29486,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401005_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401005_INV.log,4,4,4,ff,cell_balanced_random,5.0,2.0,0.3773372920113615,,0.2114866743034649,0.5362412295218285,existing_online_query
4401009,INV,I_to_Z,4.650201133392762,0.28,2.6642268267516016,1.6480422550678764,75.5890468236173,90.13945316180136,118.1232921890305,ff,0.141512,0.1432739999999999,0.142393,8.46951,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401009_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401009_INV.log,5,4,4,ff,cell_balanced_random,9.0,3.0,0.3695968329848256,,0.1835652304754639,0.2926773570155685,existing_online_query
4401033,INV,I_to_Z,1.0022485252340028,0.28,1.5386054287286584,1.6730919393983816,67.57067345616854,56.90863427232699,140.070781032012,ff,0.311314,0.52298,0.417147,4.78811,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401033_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401033_INV.log,6,4,4,ff,cell_balanced_random,33.0,9.0,0.3948063330026343,,0.628807875829193,0.501611135600552,existing_online_query
4401037,INV,I_to_Z,1.569457056878052,0.28,2.8265916546655614,1.8593496072669884,41.772615315899785,99.10926442791454,230.61212477984904,ff,0.325311,0.306498,0.3159045,10.4675,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401037_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401037_INV.log,7,4,4,ff,cell_balanced_random,37.0,10.0,0.3816552920034155,,0.3015141304926997,0.6170822867624388,existing_online_query
4401029,INV,I_to_Z,2.3401452072779185,0.28,2.192624366474065,1.872267149428131,52.49529437909928,43.23156695762619,379.9232734595868,ff,0.164385,0.195268,0.1798265,5.18009,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401029_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401029_INV.log,8,4,4,ff,cell_balanced_random,29.0,8.0,0.3721518749953247,,0.1715205300529981,0.3132937387990415,existing_online_query
4403001,INV,I_to_Z,0.5977091142661557,0.28,2.415382174900971,1.827123586067132,13.670646314841868,63.819427539668226,78.78726182898964,ff,0.448256,0.504889,0.4765725,6.3168,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/uncertainty/netlists/4403001_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/uncertainty/logs/4403001_INV.log,9,4,4,ff,uncertainty,1.0,1.0,0.4018432500015478,1.0,1.0,0.4817481703539632,existing_online_query
4401025,INV,I_to_Z,1.920533426284791,0.28,2.5669445472528345,1.8852151645589692,23.806507974980136,24.996544738000473,197.1813507200955,ff,0.107398,0.114047,0.1107225,3.2583,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401025_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401025_INV.log,10,4,4,ff,cell_balanced_random,25.0,7.0,0.3770015829941258,,0.1181720634391879,0.5367260695597337,existing_online_query
4401045,INV,I_to_Z,3.3188601019601145,0.28,2.3636174150728717,1.782507129402508,-2.3117071283165664,11.820544571974192,160.0326643270767,ff,0.0593735999999999,0.0708261,0.0650998499999999,2.01496,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401045_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401045_INV.log,11,4,4,ff,cell_balanced_random,45.0,12.0,0.3837112920009531,,0.044754547195741,0.429912556633837,existing_online_query
4401041,INV,I_to_Z,3.1059622542392256,0.28,1.678467044574086,1.8301867332243469,89.835919889119,48.053049590980194,241.41885662708563,ff,0.130147,0.179875,0.155011,5.48403,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401041_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401041_INV.log,12,4,4,ff,cell_balanced_random,41.0,11.0,0.3850807919807266,,0.1084110859412184,0.4555263527713475,existing_online_query
4402045,INV,I_to_Z,1.771429413239156,0.28,2.008713323551474,1.9628761605934864,72.32597227271924,35.32969561355891,11.597917133512516,ff,0.102785,0.124599,0.113692,4.59813,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/space_filling/netlists/4402045_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/space_filling/logs/4402045_INV.log,13,4,4,ff,space_filling,45.0,12.0,0.3727582909923512,1.0,0.1452118576535509,1.0,existing_online_query
4401013,INV,I_to_Z,4.302934725065169,0.28,1.5954835509210084,1.7669691309736313,-16.546807674729394,59.803624571254566,109.03807873142168,ff,0.0903024,0.1396059999999999,0.1149541999999999,6.36603,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/netlists/4401013_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_random/logs/4401013_INV.log,14,4,4,ff,cell_balanced_random,13.0,4.0,0.3663927910092752,,0.0493634027533563,0.7636075279380129,existing_online_query
4404045,INV,I_to_Z,3.2617733812483944,0.28,2.8884595857539965,1.8069855818525729,82.42141022270783,69.76391893349712,477.2516716068432,ff,0.207399,0.209768,0.2085835,7.92336,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/netlists/4404045_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/logs/4404045_INV.log,15,4,4,ff,cell_balanced_space_filling,45.0,12.0,0.3819229170039762,1.0,0.1086174487009914,1.0,existing_online_query
4404005,INV,I_to_Z,4.108083181803195,0.28,2.2625177899036775,1.894905489789673,98.3845699575392,40.07250725210757,304.61494086116704,ff,0.1123219999999999,0.131165,0.1217435,5.73202,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/netlists/4404005_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ff/cell_balanced_space_filling/logs/4404005_INV.log,16,4,4,ff,cell_balanced_space_filling,5.0,2.0,0.3818250420154072,1.0,0.0908331995827653,1.0,existing_online_query
