sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4001001,INV,I_to_Z,1.400244019001136,0.28,1.5058827248841684,1.7470008603795215,-18.3256827744417,42.83041837440507,87.22735771531502,ff,0.153527,0.262788,0.2081575,4.07101,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001001_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001001_INV.log,0,0,0,ff,cell_balanced_random,1,1,0.3804573749948758,,0.4037026660406342,0.8214482174791994
4001002,NAND2,A1_A2_tied_to_Z,1.3369734740799442,0.28,2.163595940375288,1.8017354790291509,32.11363201022921,76.46461561473814,477.5584888222674,ff,0.576377,0.276059,0.426218,7.86206,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001002_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001002_NAND2.log,47,0,0,ff,cell_balanced_random,2,1,0.5643178329919465,,0.4205728230347835,0.3956836587590505
4001003,NOR2,A1_A2_tied_to_Z,3.4698426945987997,0.28,2.053856926017517,1.9712768447755944,49.03664373195219,64.36530675277315,238.05198912093024,ff,0.0898961,0.285654,0.18777505,9.3225,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001003_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001003_NOR2.log,64,0,0,ff,cell_balanced_random,3,1,0.570982292003464,,0.1609476021658473,0.2656101356011481
4001004,XOR2,A1_to_Z_A2_held_1,2.0609987088684303,0.28,1.9068285333069903,1.6652930555811458,-3.405720271037911,52.759559850005346,328.7265097676083,ff,0.288058,0.381887,0.3349725,6.01822,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001004_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001004_XOR2.log,95,0,0,ff,cell_balanced_random,4,1,0.9020033749984576,,0.225477458447984,0.3789622660142748
4001005,INV,I_to_Z,3.144133709588701,0.28,2.8100099416787128,1.6935860256729454,-14.621578420154403,97.578004665993,30.066014179784982,ff,0.155834,0.151296,0.153565,9.11702,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001005_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001005_INV.log,12,0,0,ff,cell_balanced_random,5,2,0.378480125014903,,0.2577758824661975,0.9091313584548296
4001006,NAND2,A1_A2_tied_to_Z,3.472401332319919,0.28,2.7730905746386942,1.9452568552213707,29.970906667561344,87.49446504221216,99.7204784902166,ff,0.248165,0.0830618,0.1656134,12.352,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001006_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001006_NAND2.log,33,0,0,ff,cell_balanced_random,6,2,0.5601005000062287,,0.1324833998046979,0.4832534432647153
4001007,NOR2,A1_A2_tied_to_Z,1.5086208221827362,0.28,2.660272582313625,1.73966206079739,63.78194742593307,41.82563176359095,33.495311364960244,ff,0.0883902,0.322997,0.2056936,4.59465,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001007_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001007_NOR2.log,51,0,0,ff,cell_balanced_random,7,2,0.5710209169774316,,0.1758055747657965,0.8064605654525988
4001008,XOR2,A1_to_Z_A2_held_1,0.8953618696068865,0.28,2.1786917807886628,1.9414178244572429,40.73314134323215,57.1666523282669,109.82511702642476,ff,0.413578,0.4753199999999999,0.444449,7.39384,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001008_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001008_XOR2.log,89,0,0,ff,cell_balanced_random,8,2,0.9149925420060754,,0.9163942512785088,0.5069245045746161
4001009,INV,I_to_Z,2.6622979146060195,0.28,1.8303033201951149,1.832331247279718,41.33265401783068,82.14227507063838,371.3527557451402,ff,0.215354,0.288335,0.2518445,8.68253,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001009_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001009_INV.log,18,0,0,ff,cell_balanced_random,9,3,0.383319417014718,,0.2577264182527038,0.3761669169586105
4001010,NAND2,A1_A2_tied_to_Z,4.449182490205352,0.28,2.8613423041083266,1.7052710170002945,53.945090486292415,5.421581651330253,264.6973362234511,ff,0.127283,0.0584326,0.0928578,2.88408,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/netlists/4001010_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ff/cell_balanced_random/logs/4001010_NAND2.log,46,0,0,ff,cell_balanced_random,10,3,0.5632652909844182,,0.0733579601685892,0.9871257539158964
