seed,heldout_corner,strategy,threshold,reached,spice_queries_to_threshold,spice_wall_time_to_threshold_s
0,ff,cell_balanced_random,delay_r2,True,16.0,9.68384437597706
0,ff,cell_balanced_random,top20_recall,False,,
0,ff,cell_balanced_random,joint,False,,
0,ff,cell_balanced_space_filling,delay_r2,True,20.0,12.306212959898405
0,ff,cell_balanced_space_filling,top20_recall,True,16.0,9.944978918909328
0,ff,cell_balanced_space_filling,joint,False,,
0,ff,random,delay_r2,True,36.0,21.036130377906375
0,ff,random,top20_recall,False,,
0,ff,random,joint,False,,
0,ff,space_filling,delay_r2,True,20.0,12.304348290956112
0,ff,space_filling,top20_recall,True,16.0,10.058872707944827
0,ff,space_filling,joint,True,20.0,12.304348290956112
0,ff,uncertainty,delay_r2,True,32.0,21.47002849593991
0,ff,uncertainty,top20_recall,True,8.0,5.078744415048277
0,ff,uncertainty,joint,True,36.0,24.85064287093701
0,ss,cell_balanced_random,delay_r2,True,12.0,7.097091414936585
0,ss,cell_balanced_random,top20_recall,True,0.0,0.0
0,ss,cell_balanced_random,joint,True,12.0,7.097091414936585
0,ss,cell_balanced_space_filling,delay_r2,True,32.0,19.050277457979973
0,ss,cell_balanced_space_filling,top20_recall,True,0.0,0.0
0,ss,cell_balanced_space_filling,joint,True,32.0,19.050277457979973
0,ss,random,delay_r2,True,32.0,24.199643789994298
0,ss,random,top20_recall,True,0.0,0.0
0,ss,random,joint,True,32.0,24.199643789994298
0,ss,space_filling,delay_r2,True,44.0,27.316312627954176
0,ss,space_filling,top20_recall,True,0.0,0.0
0,ss,space_filling,joint,True,44.0,27.316312627954176
0,ss,uncertainty,delay_r2,True,12.0,6.721835458040005
0,ss,uncertainty,top20_recall,True,0.0,0.0
0,ss,uncertainty,joint,True,12.0,6.721835458040005
0,typical,cell_balanced_random,delay_r2,True,0.0,0.0
0,typical,cell_balanced_random,top20_recall,True,12.0,7.2324459560913965
0,typical,cell_balanced_random,joint,True,12.0,7.2324459560913965
0,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
0,typical,cell_balanced_space_filling,top20_recall,True,40.0,23.92179078780464
0,typical,cell_balanced_space_filling,joint,True,40.0,23.92179078780464
0,typical,random,delay_r2,True,0.0,0.0
0,typical,random,top20_recall,True,44.0,27.418268544977764
0,typical,random,joint,True,44.0,27.418268544977764
0,typical,space_filling,delay_r2,True,0.0,0.0
0,typical,space_filling,top20_recall,True,40.0,24.854706166050164
0,typical,space_filling,joint,True,40.0,24.854706166050164
0,typical,uncertainty,delay_r2,True,0.0,0.0
0,typical,uncertainty,top20_recall,True,4.0,2.911556750012096
0,typical,uncertainty,joint,True,12.0,8.78044954201323
1,ff,cell_balanced_random,delay_r2,True,16.0,9.58069762410014
1,ff,cell_balanced_random,top20_recall,True,0.0,0.0
1,ff,cell_balanced_random,joint,True,16.0,9.58069762410014
1,ff,cell_balanced_space_filling,delay_r2,True,24.0,14.394854999904055
1,ff,cell_balanced_space_filling,top20_recall,True,0.0,0.0
1,ff,cell_balanced_space_filling,joint,True,24.0,14.394854999904055
1,ff,random,delay_r2,True,16.0,9.793196461017942
1,ff,random,top20_recall,True,0.0,0.0
1,ff,random,joint,True,44.0,27.777809832186904
1,ff,space_filling,delay_r2,True,36.0,22.779727083077887
1,ff,space_filling,top20_recall,True,0.0,0.0
1,ff,space_filling,joint,True,36.0,22.779727083077887
1,ff,uncertainty,delay_r2,True,32.0,20.741483915015124
1,ff,uncertainty,top20_recall,True,0.0,0.0
1,ff,uncertainty,joint,True,32.0,20.741483915015124
1,ss,cell_balanced_random,delay_r2,True,48.0,28.959780581935775
1,ss,cell_balanced_random,top20_recall,True,0.0,0.0
1,ss,cell_balanced_random,joint,True,48.0,28.959780581935775
1,ss,cell_balanced_space_filling,delay_r2,False,,
1,ss,cell_balanced_space_filling,top20_recall,True,0.0,0.0
1,ss,cell_balanced_space_filling,joint,False,,
1,ss,random,delay_r2,False,,
1,ss,random,top20_recall,True,0.0,0.0
1,ss,random,joint,False,,
1,ss,space_filling,delay_r2,True,12.0,7.287772541923914
1,ss,space_filling,top20_recall,True,0.0,0.0
1,ss,space_filling,joint,True,12.0,7.287772541923914
1,ss,uncertainty,delay_r2,True,8.0,5.406486874038819
1,ss,uncertainty,top20_recall,True,0.0,0.0
1,ss,uncertainty,joint,True,20.0,14.395725539012346
1,typical,cell_balanced_random,delay_r2,True,0.0,0.0
1,typical,cell_balanced_random,top20_recall,True,12.0,7.182242581999162
1,typical,cell_balanced_random,joint,True,12.0,7.182242581999162
1,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
1,typical,cell_balanced_space_filling,top20_recall,True,28.0,16.670911418943433
1,typical,cell_balanced_space_filling,joint,True,28.0,16.670911418943433
1,typical,random,delay_r2,True,0.0,0.0
1,typical,random,top20_recall,True,36.0,23.54731241398258
1,typical,random,joint,True,36.0,23.54731241398258
1,typical,space_filling,delay_r2,True,0.0,0.0
1,typical,space_filling,top20_recall,True,24.0,13.952349291997962
1,typical,space_filling,joint,True,24.0,13.952349291997962
1,typical,uncertainty,delay_r2,True,0.0,0.0
1,typical,uncertainty,top20_recall,True,4.0,1.9992070840089584
1,typical,uncertainty,joint,True,8.0,4.95602166801109
2,ff,cell_balanced_random,delay_r2,True,28.0,16.766336830100045
2,ff,cell_balanced_random,top20_recall,True,4.0,2.428397250012494
2,ff,cell_balanced_random,joint,True,28.0,16.766336830100045
2,ff,cell_balanced_space_filling,delay_r2,True,24.0,14.576782125950558
2,ff,cell_balanced_space_filling,top20_recall,True,16.0,9.758104834967526
2,ff,cell_balanced_space_filling,joint,True,32.0,19.36753466792288
2,ff,random,delay_r2,True,20.0,13.21743554197019
2,ff,random,top20_recall,False,,
2,ff,random,joint,False,,
2,ff,space_filling,delay_r2,True,28.0,19.10566312604351
2,ff,space_filling,top20_recall,True,4.0,1.8526627499959432
2,ff,space_filling,joint,False,,
2,ff,uncertainty,delay_r2,True,28.0,18.324290791992095
2,ff,uncertainty,top20_recall,True,16.0,10.104385790938975
2,ff,uncertainty,joint,True,28.0,18.324290791992095
2,ss,cell_balanced_random,delay_r2,True,20.0,12.031630250014132
2,ss,cell_balanced_random,top20_recall,True,0.0,0.0
2,ss,cell_balanced_random,joint,True,20.0,12.031630250014132
2,ss,cell_balanced_space_filling,delay_r2,True,8.0,4.939611790992785
2,ss,cell_balanced_space_filling,top20_recall,True,0.0,0.0
2,ss,cell_balanced_space_filling,joint,True,8.0,4.939611790992785
2,ss,random,delay_r2,True,48.0,29.78338954600622
2,ss,random,top20_recall,True,0.0,0.0
2,ss,random,joint,True,48.0,29.78338954600622
2,ss,space_filling,delay_r2,True,8.0,5.10226541798329
2,ss,space_filling,top20_recall,True,0.0,0.0
2,ss,space_filling,joint,True,8.0,5.10226541798329
2,ss,uncertainty,delay_r2,True,16.0,9.75258237394155
2,ss,uncertainty,top20_recall,True,0.0,0.0
2,ss,uncertainty,joint,True,24.0,15.069072457990842
2,typical,cell_balanced_random,delay_r2,True,0.0,0.0
2,typical,cell_balanced_random,top20_recall,True,48.0,28.745723667147104
2,typical,cell_balanced_random,joint,True,48.0,28.745723667147104
2,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
2,typical,cell_balanced_space_filling,top20_recall,True,8.0,4.971681458002422
2,typical,cell_balanced_space_filling,joint,True,8.0,4.971681458002422
2,typical,random,delay_r2,True,0.0,0.0
2,typical,random,top20_recall,True,28.0,16.67259912492591
2,typical,random,joint,True,28.0,16.67259912492591
2,typical,space_filling,delay_r2,True,0.0,0.0
2,typical,space_filling,top20_recall,True,16.0,9.29278770799283
2,typical,space_filling,joint,True,16.0,9.29278770799283
2,typical,uncertainty,delay_r2,True,0.0,0.0
2,typical,uncertainty,top20_recall,True,4.0,3.3613673339714296
2,typical,uncertainty,joint,True,4.0,3.3613673339714296
3,ff,cell_balanced_random,delay_r2,True,16.0,9.66852320995531
3,ff,cell_balanced_random,top20_recall,True,4.0,2.3815285000018775
3,ff,cell_balanced_random,joint,True,16.0,9.66852320995531
3,ff,cell_balanced_space_filling,delay_r2,True,28.0,16.74281203901046
3,ff,cell_balanced_space_filling,top20_recall,False,,
3,ff,cell_balanced_space_filling,joint,False,,
3,ff,random,delay_r2,True,32.0,19.884624829079257
3,ff,random,top20_recall,True,16.0,10.607324958080426
3,ff,random,joint,True,32.0,19.884624829079257
3,ff,space_filling,delay_r2,True,24.0,14.274480499094352
3,ff,space_filling,top20_recall,True,8.0,5.494838542013895
3,ff,space_filling,joint,True,44.0,26.54549071015208
3,ff,uncertainty,delay_r2,True,32.0,20.13485783408396
3,ff,uncertainty,top20_recall,True,32.0,20.13485783408396
3,ff,uncertainty,joint,True,32.0,20.13485783408396
3,ss,cell_balanced_random,delay_r2,True,40.0,23.94369545596419
3,ss,cell_balanced_random,top20_recall,True,0.0,0.0
3,ss,cell_balanced_random,joint,True,40.0,23.94369545596419
3,ss,cell_balanced_space_filling,delay_r2,True,24.0,14.378205961023925
3,ss,cell_balanced_space_filling,top20_recall,True,0.0,0.0
3,ss,cell_balanced_space_filling,joint,True,24.0,14.378205961023925
3,ss,random,delay_r2,False,,
3,ss,random,top20_recall,True,0.0,0.0
3,ss,random,joint,False,,
3,ss,space_filling,delay_r2,True,12.0,7.110094540985301
3,ss,space_filling,top20_recall,True,0.0,0.0
3,ss,space_filling,joint,True,12.0,7.110094540985301
3,ss,uncertainty,delay_r2,True,12.0,7.708991375984624
3,ss,uncertainty,top20_recall,True,0.0,0.0
3,ss,uncertainty,joint,True,12.0,7.708991375984624
3,typical,cell_balanced_random,delay_r2,True,0.0,0.0
3,typical,cell_balanced_random,top20_recall,True,20.0,11.92437612908543
3,typical,cell_balanced_random,joint,True,20.0,11.92437612908543
3,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
3,typical,cell_balanced_space_filling,top20_recall,True,44.0,26.48127037397353
3,typical,cell_balanced_space_filling,joint,True,44.0,26.48127037397353
3,typical,random,delay_r2,True,0.0,0.0
3,typical,random,top20_recall,True,8.0,4.325837292039068
3,typical,random,joint,True,12.0,6.779859708040021
3,typical,space_filling,delay_r2,True,0.0,0.0
3,typical,space_filling,top20_recall,True,20.0,11.824874703976093
3,typical,space_filling,joint,True,20.0,11.824874703976093
3,typical,uncertainty,delay_r2,True,0.0,0.0
3,typical,uncertainty,top20_recall,True,12.0,7.186461288947612
