heldout_corner,strategy,threshold,runs,reached_runs,median_queries,median_wall_time_s,random_runs,random_reached_runs,random_median_queries,query_reduction_vs_random_pct
ff,cell_balanced_random,delay_r2,5,5,16.0,9.68384437597706,5,5,24.0,33.333333333333336
ff,cell_balanced_random,joint,5,3,16.0,9.66852320995531,5,2,38.0,
ff,cell_balanced_random,top20_recall,5,4,2.0,1.1907642500009388,5,3,0.0,
ff,cell_balanced_space_filling,delay_r2,5,5,24.0,14.394854999904055,5,5,24.0,0.0
ff,cell_balanced_space_filling,joint,5,2,28.0,16.88119483391347,5,2,38.0,
ff,cell_balanced_space_filling,top20_recall,5,4,8.0,4.879052417483763,5,3,0.0,
ff,random,delay_r2,5,5,24.0,15.536982579098549,5,5,24.0,0.0
ff,random,joint,5,2,38.0,23.83121733063308,5,2,38.0,
ff,random,top20_recall,5,3,0.0,0.0,5,3,0.0,
ff,space_filling,delay_r2,5,5,24.0,14.274480499094352,5,5,24.0,0.0
ff,space_filling,joint,5,3,36.0,22.779727083077887,5,2,38.0,
ff,space_filling,top20_recall,5,5,4.0,1.8526627499959432,5,3,0.0,
ff,uncertainty,delay_r2,5,5,32.0,20.741483915015124,5,5,24.0,-33.333333333333336
ff,uncertainty,joint,5,4,32.0,20.43817087454954,5,2,38.0,
ff,uncertainty,top20_recall,5,5,8.0,5.078744415048277,5,3,0.0,
ss,cell_balanced_random,delay_r2,5,5,24.0,14.337022373976652,5,3,32.0,
ss,cell_balanced_random,joint,5,5,24.0,14.337022373976652,5,3,32.0,
ss,cell_balanced_random,top20_recall,5,5,0.0,0.0,5,5,0.0,
ss,cell_balanced_space_filling,delay_r2,5,4,18.0,10.704174438491464,5,3,32.0,
ss,cell_balanced_space_filling,joint,5,4,18.0,10.704174438491464,5,3,32.0,
ss,cell_balanced_space_filling,top20_recall,5,5,0.0,0.0,5,5,0.0,
ss,random,delay_r2,5,3,32.0,24.199643789994298,5,3,32.0,
ss,random,joint,5,3,32.0,24.199643789994298,5,3,32.0,
ss,random,top20_recall,5,5,0.0,0.0,5,5,0.0,
ss,space_filling,delay_r2,5,5,12.0,7.110094540985301,5,3,32.0,
ss,space_filling,joint,5,5,12.0,7.287772541923914,5,3,32.0,
ss,space_filling,top20_recall,5,5,0.0,0.0,5,5,0.0,
ss,uncertainty,delay_r2,5,5,12.0,7.708991375984624,5,3,32.0,
ss,uncertainty,joint,5,5,16.0,13.428628584049877,5,3,32.0,
ss,uncertainty,top20_recall,5,5,0.0,0.0,5,5,0.0,
typical,cell_balanced_random,delay_r2,5,5,0.0,0.0,5,5,0.0,
typical,cell_balanced_random,joint,5,5,16.0,9.629789001075553,5,5,36.0,55.55555555555556
typical,cell_balanced_random,top20_recall,5,5,16.0,9.629789001075553,5,5,36.0,55.55555555555556
typical,cell_balanced_space_filling,delay_r2,5,5,0.0,0.0,5,5,0.0,
typical,cell_balanced_space_filling,joint,5,5,40.0,23.92179078780464,5,5,36.0,-11.11111111111111
typical,cell_balanced_space_filling,top20_recall,5,5,40.0,23.92179078780464,5,5,36.0,-11.11111111111111
typical,random,delay_r2,5,5,0.0,0.0,5,5,0.0,
typical,random,joint,5,5,36.0,23.54731241398258,5,5,36.0,0.0
typical,random,top20_recall,5,5,36.0,23.54731241398258,5,5,36.0,0.0
typical,space_filling,delay_r2,5,5,0.0,0.0,5,5,0.0,
typical,space_filling,joint,5,5,20.0,11.824874703976093,5,5,36.0,44.44444444444444
typical,space_filling,top20_recall,5,5,20.0,11.824874703976093,5,5,36.0,44.44444444444444
typical,uncertainty,delay_r2,5,5,0.0,0.0,5,5,0.0,
typical,uncertainty,joint,5,5,12.0,8.78044954201323,5,5,36.0,66.66666666666667
typical,uncertainty,top20_recall,5,5,4.0,3.3613673339714296,5,5,36.0,88.88888888888889
