seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
0,ff,cell_balanced_random,0,0,0,0.0,0,0,0,0,0,0.3054777304678308,0.1174011236599826,0.1353642472808171,0.9487128385465088,0.5470338953949646,0.7571740590695029,-0.1865182604853337,-0.0633853753433626,0.6428194054952068,0.129359779722494,-0.1865182604853337,0.9801037149888668,0.880503144654088,0.875,0.875,0.9950637277494024
0,ff,cell_balanced_random,4,4,0,2.417760874988744,0,1,1,1,1,0.561338197094116,0.0903307906107608,0.1075785767629169,0.947756673428256,0.5486382533165928,0.7641996004043399,0.1735700651481609,0.3149460796445086,0.788911094150589,0.5020021969471871,0.1735700651481609,0.981592054377124,0.8838050314465409,0.875,0.875,0.9959437109303028
0,ff,cell_balanced_random,8,8,0,4.842354958993383,0,2,2,2,2,0.6732067169646956,0.0755285608711774,0.0928533218726635,0.9487118680393836,0.5463681768012154,0.7571812230392208,0.3710630379743748,0.4871437656410029,0.8496758743091619,0.6285771070806703,0.3710630379743748,0.982406539317942,0.885377358490566,0.875,0.875,0.9958986587132423
0,ff,cell_balanced_random,12,12,0,7.263839042017935,0,3,3,3,3,0.7203889690500027,0.0666537669677021,0.0858890966763071,0.947577278666864,0.5550413219053818,0.7655105421713321,0.4329076331569161,0.5419704704176677,0.891636028554971,0.6804068466419272,0.4329076331569161,0.982148716746748,0.8856918238993711,0.875,0.875,0.9954862387226768
0,ff,cell_balanced_random,16,16,0,9.68384437597706,0,4,4,4,4,0.7603240270298565,0.0637268567633463,0.0795194072847349,0.9459073328648512,0.5648191899305559,0.7776077722476794,0.5533340037214475,0.5614273669524845,0.8941721427877686,0.7501749837263947,0.5533340037214475,0.9830598851517638,0.8918238993710692,0.875,0.875,0.9957789360899024
0,ff,cell_balanced_random,20,20,0,12.090713000943651,0,5,5,5,5,0.7693441638718567,0.0609966557984158,0.0780087122319327,0.9482865790956574,0.5520288715538194,0.7603140725160389,0.5362155465853584,0.5958950384290728,0.9024740713898476,0.7693165645005863,0.5362155465853584,0.9841409820696122,0.8949685534591194,0.875,0.875,0.9958923854859943
0,ff,cell_balanced_random,24,24,0,14.574140625918515,0,6,6,6,6,0.7917531647872484,0.0585469707576389,0.0741225052931753,0.9485320036362472,0.548715056990017,0.758507755610807,0.6062449136901875,0.6690812536873785,0.8977032476782043,0.773603339269417,0.6062449136901875,0.9833850931677016,0.8919811320754717,0.875,0.875,0.9951999153500588
0,ff,cell_balanced_random,28,28,0,17.0831072909059,0,7,7,7,7,0.7774438536597614,0.0591980915122829,0.0766267985318325,0.9464026496573192,0.5611916736783854,0.774039377645764,0.5894682149286352,0.6321905705871578,0.8689091254840549,0.8053704263981649,0.5894682149286352,0.9799865229110511,0.8817610062893082,0.875,0.875,0.9950879614732544
0,ff,cell_balanced_random,32,32,0,19.54183145688148,0,8,8,8,8,0.8238051372505608,0.0540506129891493,0.0681800798622326,0.9470962678434984,0.5584283585828991,0.7690145385404343,0.6685805507871436,0.7377519095350137,0.882322315901499,0.8604985235590257,0.6685805507871436,0.979063635298254,0.8786163522012579,0.875,0.875,0.995024348156296
0,ff,cell_balanced_random,36,36,0,22.032993705855915,0,9,9,9,9,0.8451529276959028,0.0500771947361173,0.0639164114877353,0.9508051261822892,0.537805249129774,0.7415685796424517,0.7107480342147721,0.7611805954828734,0.8888876002497901,0.898125140505426,0.7107480342147721,0.9787765147076056,0.8779874213836477,0.875,0.875,0.9949830135131738
0,ff,cell_balanced_random,40,40,0,24.46227378884214,0,10,10,10,10,0.8491178576850306,0.0483670067738064,0.063092800615909,0.9496160955383124,0.5366548199891494,0.7504768581904597,0.7153670890187112,0.7658626815361104,0.8871624291932235,0.914235041345248,0.7153670890187112,0.9791984061877416,0.8800314465408805,0.875,0.875,0.9951565507034558
0,ff,cell_balanced_random,44,44,0,26.88969508081209,0,11,11,11,11,0.8624195328757387,0.0454675237492404,0.0602475338813135,0.951994413194814,0.521500859654948,0.7325500229578167,0.744289131411679,0.7778852101895855,0.8978168913643065,0.9229860644430772,0.744289131411679,0.9811525840853156,0.8888364779874215,0.875,0.875,0.9955292899607108
0,ff,cell_balanced_random,48,48,0,29.31839412183035,0,12,12,12,12,0.8694874994737843,0.0442667423762587,0.0586795723393626,0.95132827897633,0.5193383479513891,0.7376150112265252,0.7394636892820861,0.812059063558654,0.90646615835912,0.9199600425039666,0.7394636892820861,0.980068557365522,0.8875786163522014,0.875,0.875,0.9954740408891404
0,ff,cell_balanced_space_filling,0,0,0,0.0,0,0,0,0,0,0.3054777304678305,0.1174011236599826,0.1353642472808171,0.9487128385465088,0.5470338953949647,0.7571740590695026,-0.1865182604853341,-0.0633853753433635,0.6428194054952067,0.1293597797224938,-0.1865182604853341,0.9801037149888668,0.880503144654088,0.875,0.875,0.9950637277494024
0,ff,cell_balanced_space_filling,4,4,0,2.575058791990159,0,1,1,1,1,0.5656191020928065,0.0882610732083333,0.1070523595628228,0.944287457508474,0.5661876647200514,0.7891651241808486,0.1775808397726989,0.3195245629678623,0.7968564540630344,0.4996419747027506,0.1775808397726989,0.9785011133247392,0.8778301886792453,0.875,0.875,0.9957810685254592
0,ff,cell_balanced_space_filling,8,8,0,5.0250243750051595,0,2,2,2,2,0.5971459095615078,0.0805643987311415,0.1030943283516744,0.9454568809693596,0.556380987773437,0.7808387896223803,0.1441156311447213,0.3931115101995494,0.8366256977855816,0.5529455705061037,0.1441156311447213,0.9790577756943633,0.8814465408805032,0.875,0.875,0.9958581859737856
0,ff,cell_balanced_space_filling,12,12,0,7.495989334973274,0,3,3,3,3,0.7121833037179677,0.0690182249326063,0.0871402650672873,0.9473073647181878,0.5509018934895831,0.7674787411392296,0.382233915310691,0.504240035786466,0.8960753254027185,0.7048745484087697,0.382233915310691,0.979268721434431,0.8825471698113208,0.875,0.875,0.9960813512449872
0,ff,cell_balanced_space_filling,16,16,0,9.944978918909328,0,4,4,4,4,0.7230819213967563,0.0645718092421875,0.0854744942075379,0.9491873772968596,0.5436868585069441,0.7536630104770871,0.389841583085305,0.5199271253812321,0.9029972371361916,0.7269044860963911,0.389841583085305,0.9794298605414272,0.8811320754716981,0.90625,0.90625,0.9964812949389964
0,ff,cell_balanced_space_filling,20,20,0,12.306212959898405,0,5,5,5,5,0.7562338459381571,0.0634463957361111,0.0801950546127599,0.9487789208493648,0.5452910304817704,0.7566861013433431,0.4690716570204098,0.591603870112013,0.8951173251130342,0.7850762688890879,0.4690716570204098,0.9796056486581508,0.8797169811320755,0.875,0.875,0.9954955226280056
0,ff,cell_balanced_space_filling,24,24,0,14.65681812594994,0,6,6,6,6,0.7714704999578103,0.0573011479149305,0.0776483120883551,0.944986456243662,0.5644478961306421,0.7841988581981345,0.4488354162729576,0.5975133953036127,0.9178841553952836,0.8289085979158798,0.4488354162729576,0.9787032696589713,0.8794025157232704,0.875,0.875,0.9957469125220396
0,ff,cell_balanced_space_filling,28,28,0,17.012566540943226,0,7,7,7,7,0.8253512277463988,0.0514559677994791,0.0678802844029976,0.9471494917462084,0.5507856682139749,0.7686276069109461,0.5807898505481893,0.7284027628092973,0.9127895318641742,0.8932998453869626,0.5807898505481893,0.9778917145200984,0.8756289308176101,0.875,0.875,0.9949054429437232
0,ff,cell_balanced_space_filling,32,32,0,19.3993439169426,0,8,8,8,8,0.8281598575740199,0.0499380454366505,0.0673322607725145,0.9431953465569632,0.5648364101323777,0.7968624314503189,0.6162312189057739,0.7202157729480068,0.9015816088681866,0.9040421647573058,0.6162312189057739,0.974290987929216,0.8680817610062893,0.875,0.875,0.995506683859852
0,ff,cell_balanced_space_filling,36,36,0,21.78781154291937,0,9,9,9,9,0.850714740919711,0.047223765317144,0.0627580365592438,0.94213530905539,0.5785412662788308,0.8042632303184698,0.6510389873418876,0.7928247560977125,0.9140932015612042,0.9058836158223316,0.6510389873418876,0.9760664479081216,0.8732704402515723,0.875,0.875,0.9953389533897056
0,ff,cell_balanced_space_filling,40,40,0,24.18675770991831,0,10,10,10,10,0.8658751971439308,0.0440232580584852,0.0594860912641695,0.9397528096961288,0.5810421687103166,0.8206534391999689,0.6994453696009575,0.8521017667753787,0.915845978647598,0.88994281493105,0.6994453696009575,0.980083206375249,0.8825471698113208,0.875,0.875,0.9958657734850712
0,ff,cell_balanced_space_filling,44,44,0,26.588814126938814,0,11,11,11,11,0.8610769633147355,0.0443328264751302,0.0605407809258852,0.9366858199139992,0.5946829775954859,0.8412825649155282,0.6678323701947672,0.8592777111262957,0.9110304948854254,0.9005118079194264,0.6678323701947672,0.9759258174147428,0.8724842767295597,0.875,0.875,0.9954777367685482
0,ff,cell_balanced_space_filling,48,48,0,28.97246462694602,0,12,12,12,12,0.879737503566635,0.0412872491018291,0.0563282154104496,0.938664722847567,0.5826234437152769,0.8280309326023045,0.7263063884695846,0.8723017274519242,0.9215557972131267,0.9080994068468404,0.7263063884695846,0.977710066799484,0.8778301886792453,0.875,0.875,0.995731430459685
0,ff,random,0,0,0,0.0,0,0,0,0,0,0.3054777304678305,0.1174011236599826,0.1353642472808171,0.9487128385465088,0.5470338953949647,0.7571740590695027,-0.1865182604853337,-0.063385375343363,0.6428194054952067,0.1293597797224938,-0.1865182604853337,0.9801037149888668,0.880503144654088,0.875,0.875,0.9950637277494024
0,ff,random,4,4,0,1.612222749972716,2,1,2,0,1,0.48273268958084,0.0959802411180122,0.1168203226523248,0.947019321792286,0.5515002429210061,0.7695735835200386,0.018982810850283,0.2539659379996287,0.7388086254074112,0.3998044490137082,0.018982810850283,0.978046994023204,0.8727987421383648,0.875,0.875,0.9938088518046352
0,ff,random,8,8,0,3.6720127089647576,2,1,2,3,2,0.5117835491974627,0.08840286373023,0.113492480829817,0.9474768735933526,0.547085424565972,0.7662432814543472,-0.0289691409191317,0.2697386645422137,0.7774832929816967,0.499108635353834,-0.0289691409191317,0.9715369741005508,0.8556603773584905,0.875,0.875,0.9929333425992046
0,ff,random,12,12,0,6.0041335839778185,2,2,3,4,3,0.5537672578189641,0.0821240214353732,0.108502963838548,0.9456923190223498,0.5485060308463537,0.7791517025559572,0.0423307346655262,0.3268759290241602,0.8016109214130195,0.5519600646039811,0.0423307346655262,0.9771475448259695,0.870754716981132,0.875,0.875,0.9951452856705296
0,ff,random,16,16,0,9.094997708976734,2,3,4,4,5,0.634873196616877,0.0733522701870659,0.0981482910838131,0.9462231805342938,0.5519411126171864,0.7753342184591349,0.1392725397979904,0.4546307269080093,0.8614851057865816,0.6515760716649225,0.1392725397979904,0.9771592640337514,0.870754716981132,0.875,0.875,0.9951996963041227
0,ff,random,20,20,0,12.127235416934129,3,3,6,5,6,0.695558497413092,0.065529664340625,0.0896216247835937,0.9450179225008324,0.5440704747699648,0.7839745558650922,0.347746941754342,0.5265938907495047,0.8712643152541759,0.6895065350276592,0.347746941754342,0.9793654048986288,0.8790880503144655,0.875,0.875,0.9961248564480998
0,ff,random,24,24,0,14.667525167926216,3,4,7,6,7,0.70592813785664,0.0633238610391059,0.0880820919478347,0.9485214950772256,0.5311954966796874,0.7585851864149853,0.3611279448883182,0.5437379207809026,0.877026400717562,0.7047689954757901,0.3611279448883182,0.9813518106176023,0.8856918238993711,0.875,0.875,0.9958354516160824
0,ff,random,28,28,0,16.892429542931495,2,6,8,6,8,0.7133371878284525,0.0613093275155164,0.0869654128967436,0.9494087048831592,0.5253653200412328,0.7520198316274349,0.3932660759322215,0.5886474516435672,0.8692080213882069,0.6957988663870291,0.3932660759322215,0.9809211297316304,0.8875786163522014,0.875,0.875,0.9957619803686006
0,ff,random,32,32,0,19.456966793892207,3,6,9,8,9,0.7431611599588357,0.0565111169600911,0.0823173222733529,0.9464162456477327,0.5465327010286456,0.7739411964915814,0.4497626169462265,0.6258393926451442,0.8970442076179016,0.707352426787604,0.4497626169462265,0.9823069260517988,0.8908805031446542,0.875,0.875,0.9956960487589352
0,ff,random,36,36,0,21.036130377906375,2,10,9,8,9,0.8262329296566749,0.0490990279444227,0.0677087232054256,0.947867410073778,0.5322630333051217,0.763389259669722,0.7020921515801923,0.7175265289231023,0.9104893257601616,0.7955526509428943,0.7020921515801923,0.9844896285011132,0.8963836477987421,0.875,0.875,0.995852281061385
0,ff,random,40,40,0,23.45383979388862,3,12,9,9,10,0.8339243309618544,0.0475776985406033,0.0661932782280613,0.949764887357584,0.5216793580729164,0.7493678990767519,0.7140607969894205,0.733645812602477,0.9082542679993256,0.8163861442320054,0.7140607969894205,0.9839007383100904,0.8946540880503145,0.875,0.875,0.9956011606403212
0,ff,random,44,44,0,26.49405566888163,3,12,11,9,12,0.8520688312456095,0.0452247178072699,0.0624727651523479,0.9520862324555924,0.5245150032248261,0.7318491212543987,0.7021095420734158,0.8157450469775003,0.8940465004905555,0.8904254707835537,0.7021095420734158,0.983423180592992,0.8921383647798743,0.875,0.875,0.9955277691166314
0,ff,random,48,48,0,29.43961608584505,3,12,13,10,13,0.8564449326931248,0.0424195175891276,0.0615417934531449,0.9540129971756396,0.5018191219249127,0.7169831473760364,0.6866801343693789,0.830887717676559,0.9018265551290048,0.8995925004323875,0.6866801343693789,0.9832532520801592,0.8963836477987421,0.875,0.875,0.9957577976955598
0,ff,space_filling,0,0,0,0.0,0,0,0,0,0,0.3054777304678305,0.1174011236599826,0.1353642472808171,0.9487128385465088,0.5470338953949647,0.7571740590695026,-0.1865182604853339,-0.063385375343363,0.6428194054952068,0.1293597797224938,-0.1865182604853339,0.9801037149888668,0.880503144654088,0.875,0.875,0.9950637277494024
0,ff,space_filling,4,4,0,2.3717166669666767,0,1,1,1,1,0.5601980780352328,0.0893408102441623,0.1077182889424445,0.9450559666833788,0.5630342340125865,0.7837032780811696,0.1704130945262395,0.2863734203942073,0.7956317301095588,0.5057907171372018,0.1704130945262395,0.9816389312082502,0.885062893081761,0.875,0.875,0.9955737677670404
0,ff,space_filling,8,8,0,4.412916540924925,2,2,3,2,1,0.665684390301854,0.0794108271235026,0.0939159189209338,0.9457001271814846,0.5727535904405374,0.7790956887558438,0.3718687232157468,0.5009356035517754,0.8529878947116937,0.5721599812175556,0.3718687232157468,0.9812844251728582,0.8828616352201257,0.875,0.875,0.9952082312813304
0,ff,space_filling,12,12,0,7.086176207958488,2,3,3,4,2,0.7037348533407162,0.0718878585825087,0.0884099543403081,0.9414823552550204,0.6060087632226561,0.8087882140839507,0.3920445447030235,0.5528146130881464,0.8821959083760677,0.6464514603517018,0.3920445447030235,0.9822864174381812,0.8877358490566037,0.875,0.875,0.9959930804525856
0,ff,space_filling,16,16,0,10.058872707944827,2,3,5,5,3,0.7375653018864705,0.06649011247398,0.0832092317667489,0.9475790898250837,0.5526773951171872,0.7654973182042165,0.4609367158241171,0.6207103115080532,0.8932299704593298,0.6801273000977912,0.4609367158241171,0.9823801711004336,0.8889937106918239,0.90625,0.90625,0.996378306170028
0,ff,space_filling,20,20,0,12.304348290956112,2,5,6,5,4,0.766067129546679,0.0601147930839193,0.0785609107719543,0.9487534971485684,0.5484221510243054,0.7568738694924312,0.485807890959927,0.646846072766293,0.9066872701955392,0.7539292933887861,0.485807890959927,0.9810353920075002,0.8878930817610062,0.90625,0.90625,0.996460114388383
