sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4011001,INV,I_to_Z,4.0809589481375905,0.28,2.9278756515110826,1.9123383481210738,75.50726946782382,60.13406287820569,80.25576967237838,ss,0.152537,0.142739,0.147638,8.22711,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011001_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011001_INV.log,5,0,0,ss,cell_balanced_random,1,1,0.38700479199178517,,0.06172291985256163,0.7115785467021459
4011002,NAND2,A1_A2_tied_to_Z,4.177535098184293,0.28,2.6143237819273923,1.9348566087284191,69.97687680984019,68.49096430038122,393.0079182606594,ss,0.371048,0.18923700000000002,0.2801425,10.3637,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011002_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011002_NAND2.log,42,0,0,ss,cell_balanced_random,2,1,0.5537643329880666,,0.14466549017897973,0.5649789785020218
4011003,NOR2,A1_A2_tied_to_Z,0.6915224899170753,0.28,2.004286308023991,1.8648007430563451,39.61425221907891,92.86940156169779,455.708345197474,ss,0.5605709999999999,2.85543,1.7080005,9.50888,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011003_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011003_NOR2.log,48,0,0,ss,cell_balanced_random,3,1,0.5711331659986172,,0.9378393826086822,0.7235940857506175
4011004,XOR2,A1_to_Z_A2_held_1,1.8450214546048902,0.28,2.3536353479969234,1.883310031592403,16.21549605750576,43.04290805722952,198.99514965280707,ss,0.368471,0.441641,0.405056,6.80986,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011004_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011004_XOR2.log,78,0,0,ss,cell_balanced_random,4,1,0.8816023329854943,,0.20150715052406462,0.11133133487530651
4011005,INV,I_to_Z,0.6054693570128388,0.28,2.3280710936932096,1.8784543319453213,57.58507546973635,70.79012043471627,376.65905581663003,ss,0.8747689999999999,1.06691,0.9708395,7.37468,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011005_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011005_INV.log,19,0,0,ss,cell_balanced_random,5,2,0.3760333329846617,,1.0,0.3384538840059043
4011006,NAND2,A1_A2_tied_to_Z,4.596491795315291,0.28,1.6160657213160732,1.8284800214485784,25.902150824329823,93.0934588152507,25.623572791150337,ss,0.31102799999999997,0.160435,0.23573149999999998,11.2711,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011006_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011006_NAND2.log,31,0,0,ss,cell_balanced_random,6,2,0.5541377080080565,,0.4930767810401282,0.9557766565700799
4011007,NOR2,A1_A2_tied_to_Z,1.0958072527742835,0.28,2.563862317010317,1.6761329421963935,-8.535942465058493,56.31751595290155,379.3131926917582,ss,0.311217,1.20319,0.7572035,5.07542,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011007_NOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011007_NOR2.log,62,0,0,ss,cell_balanced_random,7,2,0.5568344579951372,,0.6669080208635627,0.6834416819025534
4011008,XOR2,A1_to_Z_A2_held_1,3.941712580292225,0.28,2.6126386188911424,1.7537381589032368,12.409748035985025,75.76339904444964,133.9568363801193,ss,0.36024300000000004,0.41996700000000003,0.39010500000000004,11.5177,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011008_XOR2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011008_XOR2.log,86,0,0,ss,cell_balanced_random,8,2,0.8730372499849182,,0.4029591797592061,0.5137908513231715
4011009,INV,I_to_Z,4.022761045656074,0.28,1.5503327015810724,1.8321412168530014,-1.7296401285167384,91.42069556068935,34.70223180754154,ss,0.17027499999999998,0.31754699999999997,0.243911,9.9209,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011009_INV.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011009_INV.log,12,0,0,ss,cell_balanced_random,9,3,0.37293149999459274,,0.17313871734174366,0.2817957891498906
4011010,NAND2,A1_A2_tied_to_Z,4.3548670568491055,0.28,2.7204581562377848,1.9578644254195037,97.81231618769063,57.58222700143255,157.6379842491162,ss,0.296754,0.11249,0.204622,9.91498,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,0,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/netlists/4011010_NAND2.cir,results/online_spice_deterministic/runs/seed_0/corner_ss/cell_balanced_random/logs/4011010_NAND2.log,26,0,0,ss,cell_balanced_random,10,3,0.5510639170242939,,0.00784481101789636,0.3156319737122127
