sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4110001,INV,I_to_Z,1.0075400404155488,0.28,2.467301947194292,1.7692874282115638,14.867001616502819,51.97147559996644,311.068940619013,ss,0.457059,0.547187,0.5021230000000001,4.9964,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110001_INV.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110001_INV.log,9,1,1,ss,random,1,1,0.3792671659903135,,0.5236682563026478,0.126502382086844
4110002,XOR2,A1_to_Z_A2_held_1,3.083453312066586,0.28,1.6738248496481356,1.932276312288768,30.934699519648824,70.2394441064161,465.4064889476038,ss,0.395296,0.581377,0.4883365,10.9961,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110002_XOR2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110002_XOR2.log,90,1,1,ss,random,2,1,0.8982454590150155,,0.1947472331026655,0.47394367670971593
4110003,XOR2,A1_to_Z_A2_held_1,3.623076375562361,0.28,2.7275607857465936,1.74378935236413,13.079181078364485,8.692835479668851,27.416379717219908,ss,0.189445,0.207292,0.1983685,5.36215,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110003_XOR2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110003_XOR2.log,88,1,1,ss,random,3,1,0.8953110000002198,,0.1361423504198016,0.5649924311691386
4110004,NAND2,A1_A2_tied_to_Z,2.4548763115174017,0.28,2.41691996676789,1.8672006856352397,36.05528200840463,8.236225718065004,376.1027100851185,ss,0.210689,0.133674,0.1721815,2.19733,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110004_NAND2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110004_NAND2.log,47,1,1,ss,random,4,1,0.5482564170088153,,0.09291114888327884,0.2100078819063794
4110005,NOR2,A1_A2_tied_to_Z,1.060368427834108,0.28,2.085719923557929,1.7496642820203618,56.36625038675896,25.606043533238676,224.76052289053825,ss,0.16869699999999999,0.7096520000000001,0.4391745,2.76613,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110005_NOR2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110005_NOR2.log,53,1,1,ss,random,5,2,0.5950614160101395,,0.24336017529967854,0.23254057360416186
4110006,NOR2,A1_A2_tied_to_Z,4.439732794929606,0.28,1.6204936382830097,1.6508825163056162,78.37157762887574,50.00072209123308,165.72065271026045,ss,0.11073,0.566962,0.338846,5.59827,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110006_NOR2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110006_NOR2.log,50,1,1,ss,random,6,2,0.6013302080100402,,0.12576700875318042,0.8220305774714823
4110007,INV,I_to_Z,1.8740083616481664,0.28,2.033606025356261,1.6249969408689808,72.78294105556093,28.165389512724516,15.016425457418933,ss,0.16317500000000001,0.237583,0.200379,2.63595,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110007_INV.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110007_INV.log,21,1,1,ss,random,7,2,0.41268183299689554,,0.24631708109221773,0.5791982964414797
4110008,XOR2,A1_to_Z_A2_held_1,1.5717266051006455,0.28,1.72579175877993,1.871669511451454,94.69324656892063,46.55547759583556,492.73649090352086,ss,0.520087,0.7261799999999999,0.6231335,6.41728,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110008_XOR2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110008_XOR2.log,95,1,1,ss,random,8,2,0.9370780420140363,,0.4068117510735997,0.2608291953387899
4110009,NAND2,A1_A2_tied_to_Z,2.690787843353776,0.28,1.9350341786362941,1.721457935930311,-2.6302717400291513,58.848156847151984,117.4154666874636,ss,0.377735,0.19145800000000002,0.2845965,6.3036,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110009_NAND2.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110009_NAND2.log,40,1,1,ss,random,9,3,0.5635602090042084,,0.23610592442827727,0.4217350338685421
4110010,INV,I_to_Z,2.2066560989125747,0.28,2.933441044338636,1.8776461998179501,-17.19354296985624,95.44696105927576,479.1898413211501,ss,0.40059,0.420143,0.4103665,10.535,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,1,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_1/corner_ss/random/netlists/4110010_INV.cir,results/online_spice_deterministic/runs/seed_1/corner_ss/random/logs/4110010_INV.log,5,1,1,ss,random,10,3,0.3881121659942437,,0.30350806164906696,0.42752360788328003
