seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
2,ff,space_filling,0,0,0,0.0,0,0,0,0,0,0.29018748334402766,0.11863994482136349,0.13684619028347958,0.9447146424991938,0.5739639667968748,0.7861337761192296,-0.18871171018446464,-0.10484627985179151,0.6321206846459501,0.10683112798612737,-0.18871171018446464,0.9791310207429977,0.8781446540880503,0.875,0.875,0.9952695492492613
2,ff,space_filling,4,4,0,1.8526627499959432,2,2,1,1,0,0.5205141427674989,0.09144142133606775,0.11247313115524517,0.9452306658759203,0.5777318120529517,0.7824563607541821,0.18661634334558586,0.19189019575915622,0.7766899461824227,0.39794837304958797,0.18661634334558586,0.9781173092698933,0.8790880503144655,0.90625,0.90625,0.9961331299068857
2,ff,space_filling,8,8,0,4.393250708992127,2,3,2,2,1,0.5276560142992538,0.0884191256463976,0.1116323531954794,0.9466000098083784,0.5616270244618063,0.7726129506184446,0.15961896189404978,0.2526954779542211,0.7906584112935043,0.38535248002623135,0.15961896189404978,0.9768311262158679,0.8737421383647799,0.875,0.875,0.9953325496339298
2,ff,space_filling,12,12,0,6.501806291984394,3,4,3,4,1,0.588046574488807,0.08224138055677085,0.1042521317021831,0.9469468981440253,0.5561232927126729,0.770099400611429,0.3015650456834974,0.4002860616384517,0.805409075678685,0.4186461951812044,0.3015650456834974,0.9788292511426229,0.8794025157232704,0.875,0.875,0.9953202003341449
2,ff,space_filling,16,16,0,9.791354210028658,3,4,3,6,3,0.6786861023079953,0.0721681948682726,0.09207158932485203,0.947820782944267,0.5629904521180558,0.7637305691516225,0.38574969380941915,0.5134930272775766,0.8301442189219419,0.6651002714634209,0.38574969380941915,0.9786974100550802,0.8764150943396227,0.875,0.875,0.9950675948497445
2,ff,space_filling,20,20,0,12.331967919017188,5,5,3,8,4,0.70070758541217,0.06476395237098524,0.0888604973730369,0.948680163773771,0.5618763432552087,0.7574152164113083,0.3891110764900604,0.5561631465780197,0.8497444834924889,0.7009059682565855,0.3891110764900604,0.9748388608930035,0.8671383647798742,0.875,0.875,0.9950812490643363
2,ff,space_filling,24,24,0,15.80813691802905,4,5,4,8,7,0.742334550658738,0.05686054259516062,0.0824496807665293,0.9497972205605674,0.5648332166796877,0.7491266996136815,0.44497888500280147,0.5961369397827333,0.8701321711949178,0.7872377538116837,0.44497888500280147,0.9769571076995195,0.8746855345911949,0.875,0.875,0.9952142285798058
2,ff,space_filling,28,28,0,19.10566312604351,4,5,5,9,9,0.7742945909551617,0.05385869248810764,0.07716704471791909,0.9489814596218077,0.563373686592882,0.7551885725849925,0.46715626659815257,0.6474778924818585,0.8953221952667098,0.8375481343274858,0.46715626659815257,0.9761045353334115,0.8710691823899371,0.875,0.875,0.9949844168482082
2,ff,space_filling,32,32,0,22.025451251043705,5,6,6,9,11,0.7939313941220338,0.05139223430123698,0.07373383134647188,0.9454158890876917,0.588952253337674,0.7811321542133741,0.5196224578078192,0.6516852838658462,0.8944738279902987,0.8867005461226758,0.5196224578078192,0.9763008320637525,0.8715408805031447,0.875,0.875,0.9951210584974952
2,ff,space_filling,36,36,0,23.869883876031963,4,9,7,9,11,0.8695017565559515,0.04472686263370223,0.05867636719682985,0.9476804793701394,0.570819790915799,0.7647566691981155,0.7557196382281774,0.7748252518295886,0.9194977645799967,0.9040477652388134,0.7557196382281774,0.9785040431266846,0.8746855345911949,0.875,0.875,0.9948957337805877
2,ff,space_filling,40,40,0,26.3408709600335,3,10,9,9,12,0.892412229268547,0.04084315905891924,0.05327731615987719,0.946779825078561,0.5679018793055555,0.7713110331743953,0.7976785199843267,0.8487447217251956,0.9278990466299687,0.908763924965776,0.7976785199843267,0.9811408648775343,0.8855345911949686,0.875,0.875,0.9963082174140491
2,ff,space_filling,44,44,0,28.789602126023965,3,11,10,10,13,0.8970875437703616,0.03970823039060329,0.052106854430162566,0.9479357808002474,0.5634527634375003,0.7628885114600886,0.8076813158677785,0.891913272705469,0.918076731891205,0.9124345340400781,0.8076813158677785,0.9807482714168522,0.8838050314465409,0.875,0.875,0.9963020832961406
2,ff,space_filling,48,48,0,30.986719043023186,4,13,11,10,14,0.9016766711204288,0.037708347479789815,0.05093181719740456,0.9503661563816709,0.5610369787196181,0.7448697697271719,0.8568312323171274,0.905641512456886,0.8995807213165544,0.918753347022752,0.8568312323171274,0.9793683347005742,0.8797169811320755,0.875,0.875,0.9961498230302136
