sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4203001,XOR2,A1_to_Z_A2_held_1,0.5838064330482767,0.28,2.1549259567953034,1.9587942713522875,66.10429464127378,40.78136723093239,288.58955086280173,ff,0.48120099999999993,0.564562,0.5228815,5.32522,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203001_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203001_XOR2.log,83,2,2,ff,uncertainty,1,1,0.8763634999922942,1.0,1.0,0.6252779822780272
4203002,INV,I_to_Z,0.5578044995288276,0.28,2.3744992587617695,1.8260327708624033,80.2794395118141,59.618950305727495,116.22460495533431,ff,0.497694,0.556869,0.5272815,5.89726,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203002_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203002_INV.log,14,2,2,ff,uncertainty,2,1,0.3696503749815747,0.9125891491624626,0.9125891491624626,0.5775210238195568
4203003,NOR2,A1_A2_tied_to_Z,0.6590214130229595,0.28,2.993518720711274,1.625040231054366,2.6297451238806033,60.68559593345544,250.55243846396553,ff,0.272947,0.907484,0.5902155,4.9504,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203003_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203003_NOR2.log,61,2,2,ff,uncertainty,3,1,0.557722792000277,0.8988039583283925,0.8988039583283925,0.9360102152662544
4203004,NAND2,A1_A2_tied_to_Z,0.5680734217218785,0.28,1.5411972173303161,1.7218663659202775,74.77510181211849,74.4719652518049,310.1928511226134,ff,1.17951,0.610224,0.894867,6.56928,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203004_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203004_NAND2.log,42,2,2,ff,uncertainty,4,1,0.5604889999958687,0.8467782589417242,0.8467782589417242,0.8036623001369136
4203005,XOR2,A1_to_Z_A2_held_1,0.7077044425303332,0.28,1.6095622124619662,1.8674927092506053,90.15284462476711,75.25667954613108,297.30335804960737,ff,0.74048,1.0463,0.8933899999999999,8.28896,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203005_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203005_XOR2.log,88,2,2,ff,uncertainty,5,2,0.9252482919837348,1.0,1.0,0.11507494481783637
4203006,XOR2,A1_to_Z_A2_held_1,1.015708158118884,0.28,2.3545192598858047,1.744687042698305,20.870402101042075,64.00393454624708,259.2784395017996,ff,0.482734,0.545119,0.5139265000000001,6.7366,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203006_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203006_XOR2.log,91,2,2,ff,uncertainty,6,2,0.9484487500158139,0.9812307031557317,0.9812307031557317,0.24325928441260125
4203007,INV,I_to_Z,0.9504758555050226,0.28,2.257778743514743,1.6895744196191052,53.565074844275074,94.89388665726054,240.9568314081291,ff,0.523252,0.618444,0.570848,8.03316,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203007_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203007_INV.log,18,2,2,ff,uncertainty,7,2,0.39510791600332595,0.9295775540139553,0.9295775540139553,0.16108994502095197
4203008,XOR2,A1_to_Z_A2_held_1,1.2222117683561606,0.28,2.6042506518901387,1.9424601932405654,73.36265139559501,74.55401381279198,343.48127867413945,ff,0.466849,0.470246,0.4685475,10.04,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203008_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203008_XOR2.log,72,2,2,ff,uncertainty,8,2,0.9321411249984521,0.8553266618012714,0.8553266618012714,0.0
4203009,INV,I_to_Z,1.3175362405893285,0.28,2.4409184437395197,1.9495885144347143,-4.468173673972675,88.45543931754113,161.0241672410472,ff,0.295103,0.311767,0.303435,10.1622,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203009_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203009_INV.log,22,2,2,ff,uncertainty,9,3,0.41982133299461566,1.0,1.0,0.45545043681628566
4203010,NOR2,A1_A2_tied_to_Z,1.3434023200947,0.28,2.5364488453381724,1.6787600097630737,83.34341002231298,47.10052651219044,110.06473580323971,ff,0.125978,0.449707,0.2878425,4.55884,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203010_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203010_NOR2.log,54,2,2,ff,uncertainty,10,3,0.636885916988831,0.8840710317763807,0.8840710317763807,0.21640122635275233
4203011,XOR2,A1_to_Z_A2_held_1,1.3663447437194551,0.28,2.5267728002168797,1.9307077593649118,88.53962161905832,31.897852456823095,41.95682409551364,ff,0.223215,0.21926700000000002,0.22124100000000002,5.51131,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203011_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203011_XOR2.log,87,2,2,ff,uncertainty,11,3,0.9563390830007847,0.8748879438794742,0.8748879438794742,0.21856260046394418
4203012,NAND2,A1_A2_tied_to_Z,1.5699278480188443,0.28,2.761165320118631,1.7414803187327095,23.70628524065922,76.94326739157883,448.115625189474,ff,0.5290389999999999,0.22811,0.3785744999999999,7.65442,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203012_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203012_NAND2.log,38,2,2,ff,uncertainty,12,3,0.6073925000091549,0.8708892875998724,0.8708892875998724,0.2479766346497349
4203013,NAND2,A1_A2_tied_to_Z,1.1178710344878278,0.28,1.76332273513862,1.9035844103363182,60.89104147074124,67.28215512071317,321.26309918875774,ff,0.553631,0.270272,0.41195149999999997,7.61979,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203013_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203013_NAND2.log,44,2,2,ff,uncertainty,13,4,0.5719514170195907,1.0,1.0,0.0700419068705735
4203014,INV,I_to_Z,1.1562390846253132,0.28,1.6024490989929305,1.9628729788945853,38.59641264230062,78.85104774791476,396.493354929044,ff,0.353372,0.529543,0.4414575,9.06671,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203014_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203014_INV.log,19,2,2,ff,uncertainty,14,4,0.3922054579888936,0.9278597266453106,0.9278597266453106,0.3323187379758709
4203015,INV,I_to_Z,0.8566101376379114,0.28,1.8260253717095116,1.652706237768405,14.331198796270542,10.978280662651082,39.750398708075046,ff,0.08212359999999999,0.11978499999999999,0.1009543,1.06783,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203015_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203015_INV.log,7,2,2,ff,uncertainty,15,4,0.3888144579832442,0.9083729364123888,0.9083729364123888,0.6796045220848241
4203016,NOR2,A1_A2_tied_to_Z,2.2678886958573363,0.28,1.9156916629817524,1.6368710288078598,46.52193412891978,92.39694477461993,148.4714435201313,ff,0.14148300000000003,0.6645059999999999,0.40299450000000003,8.06056,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203016_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203016_NOR2.log,70,2,2,ff,uncertainty,16,4,0.5658038749825209,0.831274164073438,0.831274164073438,0.20590624569324537
4203017,NAND2,A1_A2_tied_to_Z,0.742282113659707,0.28,2.149072593597226,1.8478934678498764,10.364773641043694,52.29748854193782,81.03782306629462,ff,0.546877,0.20680199999999999,0.37683949999999994,5.58597,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203017_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203017_NAND2.log,40,2,2,ff,uncertainty,17,5,0.6149442919995636,1.0,1.0,0.2768837115656863
4203018,NOR2,A1_A2_tied_to_Z,1.0902480263283731,0.28,2.300862568936657,1.8781284978038437,59.03010507456024,51.47523359798951,172.67321601553593,ff,0.14722000000000002,0.537953,0.3425865,5.90401,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203018_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203018_NOR2.log,62,2,2,ff,uncertainty,18,5,0.6350164170144126,0.951403287828061,0.951403287828061,0.05717667923897846
4203019,NOR2,A1_A2_tied_to_Z,0.7926572962323886,0.28,1.9440650115350024,1.7110952934956711,13.7224772014088,32.16685344454562,61.1987478355402,ff,0.112069,0.581065,0.346567,3.07274,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203019_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203019_NOR2.log,50,2,2,ff,uncertainty,19,5,0.6225393330096267,0.7995330891306113,0.7995330891306113,0.044270742124252166
4203020,NOR2,A1_A2_tied_to_Z,4.3455444500100615,0.28,2.9157527258694556,1.6535185986726362,74.49675182533622,73.2673254217525,420.3577303738366,ff,0.130431,0.316226,0.2233285,8.09681,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203020_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203020_NOR2.log,68,2,2,ff,uncertainty,20,5,0.6306145420239773,0.779481003334226,0.779481003334226,0.6417173956932072
4203021,INV,I_to_Z,2.0760495531024845,0.28,1.6661727129542954,1.770298438712273,99.13410542352264,86.28935961329374,134.82452920015817,ff,0.23634500000000003,0.349478,0.29291150000000005,8.30974,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/netlists/4203021_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ff/uncertainty/logs/4203021_INV.log,8,2,2,ff,uncertainty,21,6,0.42908874998101965,1.0,1.0,0.43668881831543355
