sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4212001,NOR2,A1_A2_tied_to_Z,0.7253141100363969,0.28,1.5123096567245056,1.7484541033481331,-8.585847445886271,76.00235788223804,475.671255780562,ss,0.483747,3.3184199999999997,1.9010835000000001,6.78398,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212001_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212001_NOR2.log,54,2,2,ss,space_filling,1,1,0.5604573749878909,1.0,0.9349973544386649,1.0
4212002,XOR2,A1_to_Z_A2_held_1,4.648131325696203,0.28,1.9990569115512755,1.9736634719625243,89.354451011014,9.568277745494388,181.82931547199624,ss,0.180543,0.22158,0.20106149999999998,7.40816,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212002_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212002_XOR2.log,83,2,2,ss,space_filling,2,1,0.8868404589884449,0.9078789426665851,0.06994995594316106,0.9078789426665851
4212003,INV,I_to_Z,4.82535880464737,0.28,2.8310983743909413,1.625406372946932,11.170415304646497,54.167356742752084,47.179830149596704,ss,0.136719,0.153582,0.14515050000000002,5.67111,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212003_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212003_INV.log,21,2,2,ss,space_filling,3,1,0.3792872920166701,0.9471442095014666,0.11475297218011755,0.9471442095014666
4212004,NAND2,A1_A2_tied_to_Z,0.6201986438444723,0.28,2.9246652930185935,1.8917146262210744,58.148723826280985,37.76058120970095,483.8937602015943,ss,0.9336230000000001,0.352702,0.6431625000000001,4.36694,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212004_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212004_NAND2.log,42,2,2,ss,space_filling,4,1,0.5570836249971762,0.850087594042551,0.5739724639367172,0.850087594042551
4212005,XOR2,A1_to_Z_A2_held_1,0.8127747013457498,0.28,2.4155659975529913,1.9239264158623732,-3.2193806351630876,63.48167592694768,64.75449051484583,ss,0.745091,0.8911119999999999,0.8181014999999999,7.85276,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212005_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212005_XOR2.log,72,2,2,ss,space_filling,5,2,0.8957407499838155,1.0,0.6649630130473618,1.0
4212006,INV,I_to_Z,4.0813202103494035,0.28,1.7999528270224845,1.7294751429828121,79.27178318755907,99.19722537919013,245.14802762328574,ss,0.27129800000000004,0.406729,0.3390135,9.58719,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212006_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212006_INV.log,2,2,2,ss,space_filling,6,2,0.379303958005039,0.946909539773809,0.11480509578859992,0.946909539773809
4212007,XOR2,A1_to_Z_A2_held_1,4.878012555700492,0.28,1.7072880614474075,1.743050434824031,8.49176437999257,2.451200086333394,454.08400407143756,ss,0.232985,0.341518,0.2872515,4.60087,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212007_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212007_XOR2.log,86,2,2,ss,space_filling,7,2,0.8866008750046603,0.906693887767229,0.0,0.906693887767229
4212008,NOR2,A1_A2_tied_to_Z,2.3920036536959013,0.28,2.8790289405232743,1.6799370818612145,86.98107752914699,17.533824795841586,43.711903149555525,ss,0.07227019999999999,0.265137,0.1687036,2.85597,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212008_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212008_NOR2.log,71,2,2,ss,space_filling,8,2,0.5569510839995928,0.7521238499337496,0.9530676207574459,0.7521238499337496
4212009,NOR2,A1_A2_tied_to_Z,2.0822588253000105,0.28,1.7426681711452883,1.699669860183991,-0.5313435471528365,16.682205096055846,127.67635427277803,ss,0.0819844,0.390476,0.23623019999999997,2.19518,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212009_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212009_NOR2.log,69,2,2,ss,space_filling,9,3,0.6332532500091475,1.0,0.8118703419340594,1.0
4212010,XOR2,A1_to_Z_A2_held_1,0.951416452621589,0.28,1.6777157324822596,1.760290848251319,94.65800342508903,60.55651057606497,428.2718453231539,ss,0.9262239999999999,1.37683,1.151527,6.27778,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/netlists/4212010_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_ss/space_filling/logs/4212010_XOR2.log,91,2,2,ss,space_filling,10,3,0.9847555840096902,0.9448971893940213,0.785202760057515,0.9448971893940213
