sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4220001,NOR2,A1_A2_tied_to_Z,4.321605354771174,0.28,1.9348721372174262,1.8565286347285475,39.87830456782269,72.99414510255497,58.44826486296712,typical,0.072318,0.34710799999999997,0.20971299999999998,9.63013,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220001_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220001_NOR2.log,57,2,2,typical,random,1,1,0.5526022499834653,,0.14163017705081915,0.4680926009015744
4220002,NOR2,A1_A2_tied_to_Z,4.695113617020278,0.28,2.2991364702052817,1.9274688528179684,57.72660934132894,5.962208349473464,195.38744218174736,typical,0.0453823,0.128528,0.08695515000000001,3.34597,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220002_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220002_NOR2.log,62,2,2,typical,random,2,1,0.5553291249962058,,0.05254729554340019,0.6304989596458289
4220003,XOR2,A1_to_Z_A2_held_1,1.3799360086455943,0.28,2.0650402508435137,1.7792733506826885,41.465012264967726,89.3295058078337,396.22148910410056,typical,0.660454,0.833778,0.747116,9.6001,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220003_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220003_XOR2.log,89,2,2,typical,random,3,1,0.8803705830068793,,0.6222579884828525,0.40083186917099356
4220004,INV,I_to_Z,2.9062232204193585,0.28,2.984201624863253,1.7803892145342695,72.11221287620657,52.434854519738145,68.13241825467976,typical,0.147517,0.134348,0.1409325,5.96069,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220004_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220004_INV.log,15,2,2,typical,random,4,1,0.37139941699570045,,0.10854901148381481,0.5346017165853472
4220005,NAND2,A1_A2_tied_to_Z,0.6888194286108662,0.28,2.2048186491228954,1.954365236076171,88.40365266605987,2.8860256571794434,114.45372554601053,typical,0.12746200000000002,0.06223159999999999,0.0948468,0.763396,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220005_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220005_NAND2.log,41,2,2,typical,random,5,2,0.5428343749954365,,1.0,0.8524399967256973
4220006,INV,I_to_Z,3.1338473195793064,0.28,2.4656525548203487,1.6649211231825913,85.00604956819849,13.77208725671549,238.0185627751421,typical,0.10548199999999999,0.12124800000000001,0.11336500000000001,1.92601,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220006_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220006_INV.log,0,2,2,typical,random,6,2,0.3723868330125697,,0.014888118106265962,0.37281462138679533
4220007,INV,I_to_Z,2.1881556594725273,0.28,2.34974238992799,1.741091148183686,40.1921610273058,30.294578255539342,292.36827116721804,typical,0.16570600000000002,0.194656,0.180181,3.26655,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220007_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220007_INV.log,9,2,2,typical,random,7,2,0.3680038749880623,,0.14215559430346716,0.41145092344225603
4220008,INV,I_to_Z,4.957487833974253,0.28,1.8637540127550132,1.8220493085577,7.983422806653373,55.023437219424125,81.81410985322505,typical,0.09214710000000001,0.129607,0.11087705,6.67785,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220008_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220008_INV.log,18,2,2,typical,random,8,2,0.3746182500035502,,0.061490132515003786,0.12324231192901552
4220009,NAND2,A1_A2_tied_to_Z,3.3522786606273747,0.28,2.883106077807937,1.756615762347337,53.00792225238419,42.79246374813438,67.9582701421003,typical,0.23692,0.0757196,0.1563198,6.14562,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220009_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220009_NAND2.log,26,2,2,typical,random,9,3,0.5673527090111747,,0.06712415284775519,0.0
4220010,INV,I_to_Z,4.371589536792767,0.28,2.1694814320836993,1.6472966931531137,68.95017947370607,3.68791307887267,476.9586275997729,typical,0.0861036,0.131033,0.1085683,1.27642,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/random/netlists/4220010_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/random/logs/4220010_INV.log,19,2,2,typical,random,10,3,0.3896824999828823,,0.027309439227061333,0.26140004350316287
