seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
2,typical,space_filling,0,0,0,0.0,0,0,0,0,0,0.8025515904740103,0.05971775887213544,0.07841171869071101,0.9515610069717626,0.5210960546354161,0.6850947140049458,0.511705296641455,0.7683662627040632,0.8226578365192404,0.8078187542401558,0.511705296641455,0.9747978436657682,0.8702830188679246,0.8125,0.8125,0.9853563176170606
2,typical,space_filling,4,4,0,2.3676103749894537,0,1,1,1,1,0.7686955596296425,0.05336911594187127,0.08486842416871379,0.9491159220634213,0.5323352534244787,0.7021728256236996,0.8193342624646897,0.8116986550251294,0.791213291142145,0.6341274536125295,0.6341274536125295,0.9749912105941639,0.8734276729559748,0.84375,0.84375,0.9861552955215911
2,typical,space_filling,8,8,0,4.583034916984616,2,1,3,3,1,0.7541321780678555,0.05389089717797304,0.0874993849436762,0.9477282505193815,0.5344037185221353,0.711682982683131,0.8046176909654352,0.8070470450019815,0.7779603792798033,0.6088829921644063,0.6088829921644063,0.9694480253134888,0.861006289308176,0.8125,0.8125,0.9827945123080721
2,typical,space_filling,12,12,0,7.230396290979115,3,2,5,3,2,0.8323387308142285,0.047110308247761676,0.07225543633532713,0.947761864677653,0.5250907816059025,0.711454116499701,0.662034340215871,0.8736507714399918,0.8174779010521886,0.8149757667418478,0.662034340215871,0.9761748505801007,0.8761006289308176,0.875,0.875,0.9898814657504812
2,typical,space_filling,16,16,0,9.29278770799283,4,3,6,5,2,0.8465419068973226,0.04538721224448787,0.06912721365648648,0.9483671097969327,0.5277276847135415,0.7073205588869943,0.6726630811845145,0.8947811961558837,0.8315495940062472,0.8321374250426821,0.6726630811845145,0.9796671744990038,0.8885220125786164,0.90625,0.90625,0.9907308732297236
2,typical,space_filling,20,20,0,11.746846541005652,4,5,7,5,3,0.8756642488041617,0.04173825846603733,0.06222317455780544,0.9463731113006494,0.5322537149131948,0.7208491057191856,0.7419134312759748,0.9352070803368194,0.8587281540607391,0.8574810792064461,0.7419134312759748,0.9809797257705379,0.8858490566037736,0.875,0.875,0.990501008841015
2,typical,space_filling,24,24,0,14.35508033199585,4,5,8,7,4,0.8557001302635256,0.04881003463352863,0.06703276331001924,0.9481359758222148,0.5246135356814239,0.7089019468294734,0.7020033235612766,0.8982560172137658,0.8306223300591918,0.8510824524618028,0.7020033235612766,0.9816242821985235,0.885062893081761,0.875,0.875,0.9912646381214576
2,typical,space_filling,28,28,0,16.35527749801986,3,8,8,7,5,0.8768167800245421,0.04139669443654514,0.061934114033881334,0.9452057701068357,0.5271065845572919,0.7286525301438168,0.8007718005826114,0.9491776814964262,0.8654986842901669,0.8326135080151935,0.8007718005826114,0.9802677838978087,0.8838050314465409,0.875,0.875,0.9903885926708823
2,typical,space_filling,32,32,0,18.870635330997175,4,8,10,8,6,0.8721314257953413,0.04100051251768664,0.06310097424792964,0.9468332165001017,0.5246329200520841,0.7177500923183403,0.8123625876364624,0.9446447764730687,0.8625379278759617,0.8202483948080829,0.8123625876364624,0.9793507558889017,0.879874213836478,0.84375,0.84375,0.9884800319311283
2,typical,space_filling,36,36,0,22.10304291502689,2,9,10,8,9,0.8753108928810955,0.0398784464003038,0.06231152938654478,0.9442508463022893,0.5392207290407984,0.7349743841126956,0.8095572359530472,0.9236004486755067,0.8448152458221202,0.8565295993201045,0.8095572359530472,0.9782257119418727,0.8764150943396227,0.84375,0.84375,0.9881918837305208
2,typical,space_filling,40,40,0,25.147791374009103,3,10,11,8,11,0.8817016920614735,0.040006428878190094,0.06069367288734248,0.9447422533856978,0.531495410230034,0.7317279577683391,0.8113724415814347,0.9318228973458187,0.856041923532435,0.861023512475413,0.8113724415814347,0.9800480487519043,0.8809748427672957,0.84375,0.84375,0.9884325493682456
2,typical,space_filling,44,44,0,27.57069999896339,3,12,11,9,12,0.878461566768818,0.0404880117298828,0.06151924119217743,0.9429261090110393,0.5332723438932291,0.7436555170051599,0.8086369477395434,0.9200918445516741,0.8552532153167879,0.8579923152839264,0.8086369477395434,0.9799074182585257,0.8803459119496855,0.84375,0.84375,0.9888781414090252
2,typical,space_filling,48,48,0,29.97666741500143,2,13,11,11,13,0.8986521660327473,0.03586059973990884,0.05617736812544033,0.9449671664279067,0.5141110786848956,0.7302372801847534,0.8741809324473248,0.9281434945495771,0.8803163980073915,0.873914600867397,0.873914600867397,0.9868832766904957,0.9029874213836478,0.9375,0.9375,0.9968958575298118
