sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4223001,NAND2,A1_A2_tied_to_Z,0.6888194286108662,0.28,2.2048186491228954,1.954365236076171,88.40365266605987,2.8860256571794434,114.45372554601053,typical,0.12746200000000002,0.06223159999999999,0.0948468,0.763396,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223001_NAND2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223001_NAND2.log,41,2,2,typical,uncertainty,1,1,0.5512150829890743,1.0,1.0,0.9244124879974455
4223002,XOR2,A1_to_Z_A2_held_1,0.5405249640965587,0.28,1.623202647336091,1.9236097831113173,83.46569983776033,93.66340684394116,318.950892621048,typical,1.36897,1.98874,1.678855,10.427,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223002_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223002_XOR2.log,90,2,2,typical,uncertainty,2,1,0.9330917499901261,0.8916692710015256,0.8916692710015256,0.9314057347705293
4223003,XOR2,A1_to_Z_A2_held_1,1.0612334857672194,0.28,2.271790073016097,1.901964026701336,65.88020716891843,51.23716002565339,473.8707748318366,typical,0.530444,0.607403,0.5689235,6.75329,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223003_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223003_XOR2.log,73,2,2,typical,uncertainty,3,1,0.9375205840042327,0.8331157825992176,0.8331157825992176,0.5409592675172976
4223004,XOR2,A1_to_Z_A2_held_1,0.8548855381880934,0.28,1.9056840530884656,1.9580388039758199,64.4882528481586,12.978011649343808,123.36483931841137,typical,0.21572,0.274964,0.24534200000000003,2.52373,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223004_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223004_XOR2.log,74,2,2,typical,uncertainty,4,1,0.9395399169879965,0.773151730407737,0.773151730407737,0.758445683889482
4223005,INV,I_to_Z,0.8100588200038316,0.28,2.3950634398186823,1.6965853474268073,11.436318821275695,94.8053130281327,394.04529193053315,typical,0.7477860000000001,0.905932,0.8268590000000001,8.05143,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223005_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223005_INV.log,10,2,2,typical,uncertainty,5,2,0.4394384170009289,1.0,1.0,0.5413886323199393
4223006,INV,I_to_Z,0.5904566279951309,0.28,2.5692361116706275,1.9401414403140467,1.1759183330336391,34.641595883559496,202.11656282081907,typical,0.32818800000000004,0.356788,0.342488,3.98063,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223006_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223006_INV.log,12,2,2,typical,uncertainty,6,2,0.44319474999792874,0.8837802471440295,0.8837802471440295,0.41596841158476006
4223007,XOR2,A1_to_Z_A2_held_1,1.3799360086455943,0.28,2.0650402508435137,1.7792733506826885,41.465012264967726,89.3295058078337,396.22148910410056,typical,0.660454,0.833778,0.747116,9.6001,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223007_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223007_XOR2.log,89,2,2,typical,uncertainty,7,2,0.9350196660088841,0.6822699442701559,0.6822699442701559,0.13841751379650125
4223008,INV,I_to_Z,1.016466898106707,0.28,2.8119224376592724,1.7305239171756668,-5.575566797513609,76.2584939986745,229.99658172744333,typical,0.468573,0.48512999999999995,0.47685149999999993,6.89521,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223008_INV.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223008_INV.log,23,2,2,typical,uncertainty,8,2,0.44258283299859613,0.5978517800339457,0.5978517800339457,0.681135427965895
4223009,NOR2,A1_A2_tied_to_Z,2.244107277347758,0.28,1.777573666287605,1.7273966063801531,81.23492851819621,82.2889731348048,416.5930561358078,typical,0.218195,0.891387,0.554791,8.01441,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223009_NOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223009_NOR2.log,55,2,2,typical,uncertainty,9,3,0.5566421250114217,1.0,1.0,0.172919312041374
4223010,XOR2,A1_to_Z_A2_held_1,1.8856172304103136,0.28,2.67778714718124,1.8800550008800438,75.54042775077006,59.00413650550384,93.10530699308926,typical,0.353967,0.353303,0.353635,8.79474,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,2,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/netlists/4223010_XOR2.cir,results/online_spice_deterministic/runs/seed_2/corner_typical/uncertainty/logs/4223010_XOR2.log,84,2,2,typical,uncertainty,10,3,0.8899031670007389,0.8845190404441512,0.8845190404441512,0.3649776663711336
