sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4301001,INV,I_to_Z,2.5838796796237897,0.28,2.4544766072811592,1.6507362302628474,10.791395674203827,76.34072449644117,433.18554964353405,ff,0.24162400000000003,0.276828,0.259226,6.65707,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301001_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301001_INV.log,3,3,3,ff,cell_balanced_random,1,1,0.374887125013629,,0.2088049663786246,0.5093678289182693
4301002,NAND2,A1_A2_tied_to_Z,0.9857414364339749,0.28,2.7569754931481985,1.7998316893175437,20.128884666425137,37.67524885036605,422.8423632743882,ff,0.425742,0.191713,0.3087275,4.14122,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301002_NAND2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301002_NAND2.log,32,3,3,ff,cell_balanced_random,2,1,0.550017375004245,,0.44360981623139994,0.48394992116386665
4301003,NOR2,A1_A2_tied_to_Z,0.7962434828081631,0.28,2.2820581547983094,1.7961967213383585,31.410543639045514,1.802348990957896,90.14382012049768,ff,0.0347772,0.0965682,0.0656727,0.576822,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301003_NOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301003_NOR2.log,51,3,3,ff,cell_balanced_random,3,1,0.5649608749954496,,0.20896123607702544,0.6085937002090962
4301004,XOR2,A1_to_Z_A2_held_1,3.879917681126611,0.28,1.8130898942799267,1.7122565548105988,87.94186175882888,96.6830937336196,369.9128731766653,ff,0.308473,0.399777,0.354125,11.9403,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301004_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301004_XOR2.log,86,3,3,ff,cell_balanced_random,4,1,0.891663124988554,,0.2683581783074794,0.7003054149452651
4301005,INV,I_to_Z,3.261309323477203,0.28,2.6174294772640794,1.7286855328947441,39.5122872910502,89.53525973674797,67.67805709503173,ff,0.155901,0.158322,0.1571115,8.79794,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301005_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301005_INV.log,14,3,3,ff,cell_balanced_random,5,2,0.384872832975816,,0.09644192806904538,0.5628965836601066
4301006,NAND2,A1_A2_tied_to_Z,1.5403650552729529,0.28,2.9953074563581623,1.658913838566174,54.82155516799608,27.09369887544205,124.07766352056676,ff,0.254651,0.0864427,0.17054685,3.09187,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301006_NAND2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301006_NAND2.log,38,3,3,ff,cell_balanced_random,6,2,0.5613219999941066,,0.20071607409148517,0.5281174657350831
4301007,NOR2,A1_A2_tied_to_Z,3.4972685269288335,0.28,1.9906397809709446,1.9575199327907868,50.301117783798176,29.918088380524843,63.167454372208,ff,0.0420188,0.156053,0.0990359,5.44525,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301007_NOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301007_NOR2.log,50,3,3,ff,cell_balanced_random,7,2,0.5698735000041779,,0.1137240783632711,0.5559730726520847
4301008,XOR2,A1_to_Z_A2_held_1,4.288436044455958,0.28,2.3645628965113312,1.9091978556119846,76.84086770746629,79.29006177255673,461.1766408554912,ff,0.26496,0.289648,0.277304,14.7356,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301008_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301008_XOR2.log,85,3,3,ff,cell_balanced_random,8,2,0.9003511249902658,,0.2942188977261127,0.4254698524349323
4301009,INV,I_to_Z,0.743250857253073,0.28,2.6705173378760696,1.88144067111998,23.332185733021703,56.93524780380661,23.728850539239133,ff,0.323028,0.317006,0.320017,6.0876,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301009_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301009_INV.log,10,3,3,ff,cell_balanced_random,9,3,0.3852306249900721,,0.6879609261011487,0.6959076173714447
4301010,NAND2,A1_A2_tied_to_Z,2.894397762835617,0.28,2.567701393282932,1.8646571230625169,27.260170803560477,59.61769091196273,44.55066491611483,ff,0.215448,0.068839,0.14214349999999998,8.08854,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/netlists/4301010_NAND2.cir,results/online_spice_deterministic/runs/seed_3/corner_ff/cell_balanced_random/logs/4301010_NAND2.log,45,3,3,ff,cell_balanced_random,10,3,0.5601620420056861,,0.10929045792394224,0.48543602008663933
