sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4313001,NOR2,A1_A2_tied_to_Z,0.6688683752271505,0.28,2.4442000914671307,1.642861286296885,-4.423681288426275,90.79845782258695,353.68931402837376,ss,0.611578,3.09114,1.851359,7.23866,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313001_NOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313001_NOR2.log,49,3,3,ss,uncertainty,1,1,0.6074388329870999,1.0,1.0,0.8164614993755644
4313002,XOR2,A1_to_Z_A2_held_1,0.7819682061842459,0.28,2.852593966834623,1.6249255811565038,76.97387235002138,71.67096810556696,222.40471450973163,ss,1.3380200000000002,1.44355,1.390785,6.30723,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313002_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313002_XOR2.log,86,3,3,ss,uncertainty,2,1,0.9516285840072669,0.8917319366037624,0.8917319366037624,0.7874050322197546
4313003,INV,I_to_Z,0.8590989022804469,0.28,1.8648053790959682,1.6845561875657982,4.445141358831297,84.07336632331541,409.26013456703475,ss,0.827633,1.34686,1.0872465,7.04034,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313003_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313003_INV.log,22,3,3,ss,uncertainty,3,1,0.42821591600659303,0.8364628749728906,0.8364628749728906,0.6899137933824719
4313004,XOR2,A1_to_Z_A2_held_1,1.706781068091716,0.28,2.025244465942328,1.6650298296844768,55.995177896132304,83.68996828769514,60.431765728457215,ss,0.71524,1.00698,0.8611099999999999,8.26922,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313004_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313004_XOR2.log,75,3,3,ss,uncertainty,4,1,0.9602497089945246,0.8123240600600461,0.8123240600600461,0.5203144959176308
4313005,INV,I_to_Z,3.239617356144564,0.28,1.67871437804802,1.6270563812283456,-3.846470528408684,75.3355665663639,366.4506675168473,ss,0.29686300000000004,0.499959,0.39841099999999996,6.39474,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313005_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313005_INV.log,12,3,3,ss,uncertainty,5,2,0.43985704198712483,1.0,1.0,0.15401274703614012
4313006,INV,I_to_Z,3.815737164626455,0.28,2.3297795755374877,1.7903522705480557,50.12212881612025,28.744584291635157,498.15432195131916,ss,0.19372,0.241768,0.217744,3.74217,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313006_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313006_INV.log,15,3,3,ss,uncertainty,6,2,0.43597937500453554,0.9998840129307597,0.9998840129307597,0.6823645467322745
4313007,XOR2,A1_to_Z_A2_held_1,4.8708120799618655,0.28,2.64713686267088,1.871126873489519,17.14480701451972,58.04274156509073,301.7100003100378,ss,0.308484,0.343426,0.325955,12.6822,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313007_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313007_XOR2.log,82,3,3,ss,uncertainty,7,2,0.9502410830173176,0.9996943762459369,0.9996943762459369,0.8318993472694378
4313008,XOR2,A1_to_Z_A2_held_1,1.3165338476373531,0.28,2.9162424065119072,1.7822790670649709,22.81237832198893,62.689630161482995,332.2232978743689,ss,0.681448,0.7216,0.701524,7.48943,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313008_XOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313008_XOR2.log,74,3,3,ss,uncertainty,8,2,0.9604424590070266,0.9993261957175116,0.9993261957175116,0.2662982549579918
4313009,INV,I_to_Z,2.0386949593995034,0.28,2.7758668883105204,1.6472865627474453,41.449654049423145,9.37577193483871,179.07837853245513,ss,0.11899200000000001,0.13267800000000002,0.125835,1.32516,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313009_INV.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313009_INV.log,19,3,3,ss,uncertainty,9,3,0.4019797499931883,1.0,1.0,0.7097855967441781
4313010,NOR2,A1_A2_tied_to_Z,0.873003441406351,0.28,1.9311265778834275,1.9014706471504057,-8.094720243289908,13.957625353639747,148.1438254485589,ss,0.102075,0.44007100000000005,0.271073,1.91107,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,3,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/netlists/4313010_NOR2.cir,results/online_spice_deterministic/runs/seed_3/corner_ss/uncertainty/logs/4313010_NOR2.log,54,3,3,ss,uncertainty,10,3,0.5897570829838514,0.9901984918494385,0.9901984918494385,0.9547360722339944
