sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4414001,INV,I_to_Z,4.907176831045233,0.28,2.991117332424009,1.9301202173789809,13.474138687686398,4.775127417870684,48.5225442103731,ss,0.0462855,0.0445217,0.0454036,2.56854,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414001_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414001_INV.log,21,4,4,ss,cell_balanced_space_filling,1,1,0.3774682499933988,0.9516608649489539,0.0,0.9516608649489539
4414002,NAND2,A1_A2_tied_to_Z,4.324130516378377,0.28,2.751837819433648,1.9358134976896937,-18.46200779296335,93.1388185883055,365.24685586459276,ss,0.37357599999999996,0.193449,0.2835125,13.1567,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414002_NAND2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414002_NAND2.log,45,4,4,ss,cell_balanced_space_filling,2,1,0.5503767079790123,0.8146636599847789,0.21118471366525773,0.8146636599847789
4414003,NOR2,A1_A2_tied_to_Z,4.953646707836522,0.28,2.8503872977844806,1.9663953034206891,-7.061783778303985,98.9309213136221,418.6176717285663,ss,0.172664,0.42545299999999997,0.2990585,14.4497,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414003_NOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414003_NOR2.log,59,4,4,ss,cell_balanced_space_filling,3,1,0.5561665420245845,1.0,0.3806506300574569,1.0
4414004,XOR2,A1_to_Z_A2_held_1,0.6607631405869004,0.28,1.5178491634726934,1.8670810976532577,80.03063718997775,69.05522225604545,447.8353024105018,ss,1.2268400000000002,1.9664400000000002,1.59664,7.50855,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414004_XOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414004_XOR2.log,77,4,4,ss,cell_balanced_space_filling,4,1,0.8780722079973202,0.7700678362138584,0.9707779977698449,0.7700678362138584
4414005,INV,I_to_Z,4.104495306250453,0.28,1.9302020671159674,1.6319674479280692,88.73829209574234,33.902974566087906,225.74531286197893,ss,0.15797499999999998,0.218585,0.18828,3.55494,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414005_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414005_INV.log,12,4,4,ss,cell_balanced_space_filling,5,2,0.36790754200774245,0.9587198967496009,0.28639422591283364,0.9587198967496009
4414006,NAND2,A1_A2_tied_to_Z,0.936559683856244,0.28,1.814733156410088,1.7044524887540224,-9.398684741605333,24.18819660912348,92.38699886430122,ss,0.42695,0.220427,0.3236885,2.43768,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414006_NAND2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414006_NAND2.log,31,4,4,ss,cell_balanced_space_filling,6,2,0.5446724169887602,1.0,0.2349555406141403,1.0
4414007,NOR2,A1_A2_tied_to_Z,0.6323332578188072,0.28,1.8953129036222238,1.6639072407806568,-0.3608904855667525,8.138923722757706,306.2756876093863,ss,0.150217,0.575669,0.362943,0.886502,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414007_NOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414007_NOR2.log,57,4,4,ss,cell_balanced_space_filling,7,2,0.5514543329773005,0.9085775632372246,0.30770435740109153,0.9085775632372246
4414008,XOR2,A1_to_Z_A2_held_1,3.070268130668211,0.28,2.277832223960485,1.6366208695327584,50.88351695308948,3.796562440717694,50.73632329225695,ss,0.195371,0.253176,0.22427350000000001,3.36335,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414008_XOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414008_XOR2.log,91,4,4,ss,cell_balanced_space_filling,8,2,0.8645160000014585,0.8510435709143206,0.21715630165197575,0.8510435709143206
4414009,INV,I_to_Z,1.0046017099701827,0.28,2.495391903356298,1.7915478539561567,70.29859550999416,96.57824731169694,99.4731468746147,ss,0.744147,0.84117,0.7926584999999999,9.24251,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414009_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414009_INV.log,9,4,4,ss,cell_balanced_space_filling,9,3,0.37000187500962056,1.0,0.7053523011756911,1.0
4414010,NAND2,A1_A2_tied_to_Z,4.803194595436053,0.28,1.6669165126874899,1.9649114081956838,18.028655418001755,1.935392388589031,291.89291461896465,ss,0.124098,0.0929189,0.10850844999999999,2.3429,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/netlists/4414010_NAND2.cir,results/online_spice_deterministic/runs/seed_4/corner_ss/cell_balanced_space_filling/logs/4414010_NAND2.log,37,4,4,ss,cell_balanced_space_filling,10,3,0.5490406249882653,0.9865552554929932,0.08245763780565991,0.9865552554929932
