seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
4,ss,random,0,0,0,0.0,0,0,0,0,0,0.48852075543974594,0.1510662591188802,0.22393531824503257,0.9258353031994544,0.5827116939453127,0.7765216863275262,0.655745129278869,0.6439260320008575,0.30733098842623074,0.3262352011785937,0.30733098842623074,0.9779356615492792,0.880503144654088,0.96875,0.96875,0.9988921243586489
4,ss,random,4,4,0,2.1925555409980007,2,2,0,1,1,0.6002542320628557,0.13190423950846344,0.19797052011016744,0.9244898900078675,0.5841763625868055,0.7835334245447719,0.7848087915708943,0.7777760708194356,0.4349715435278504,0.4356785678605536,0.4349715435278504,0.9778946443220438,0.8809748427672957,0.96875,0.96875,0.9989269202331236
4,ss,random,8,8,0,4.746454124018783,0,2,2,2,2,0.6809918637553507,0.10168131893139257,0.17685179276368715,0.9209247785987471,0.5981992018880203,0.801816860857318,0.8183996504866362,0.8558075637910479,0.6360011045457752,0.5036608330444026,0.5036608330444026,0.9770215633423179,0.8753144654088051,0.96875,0.96875,0.9987247009728699
4,ss,random,12,12,0,7.431926707038656,2,2,4,3,3,0.6928710136092058,0.10152343775703114,0.17352777170895642,0.9213179192735864,0.5915788006814241,0.79982116866145,0.7519300079493909,0.8529831785108577,0.7414250497949795,0.5190254468034987,0.5190254468034987,0.9701599671862181,0.8581761006289309,0.96875,0.96875,0.9986894264329897
4,ss,random,16,16,0,9.837729833001504,3,3,6,3,4,0.7251811420202461,0.09204109052167961,0.16414658507114532,0.9195328982625527,0.5967614301605904,0.8088428593765086,0.8114849346125378,0.8819006206890935,0.7713064224670443,0.5485198532443882,0.5485198532443882,0.9649742177428805,0.8485849056603774,0.96875,0.96875,0.9987256847952504
4,ss,random,20,20,0,11.685892000998138,3,5,7,4,4,0.7423426193821713,0.08841950490260408,0.15893878196133857,0.9210020464351448,0.5812712332335062,0.801425020057047,0.814864663476919,0.9048952962278417,0.7858125634076615,0.5732502449155003,0.5732502449155003,0.9617397163951716,0.8400943396226416,0.96875,0.96875,0.9986894088380217
4,ss,random,24,24,0,13.802184502012096,4,8,7,4,5,0.7545623543869259,0.08589797452120225,0.15512406430729495,0.9204339098787793,0.5724606335243057,0.8043016967426512,0.793703940305618,0.9116458796791773,0.7760949321920088,0.6132085951790754,0.6132085951790754,0.9769717567092465,0.875943396226415,0.96875,0.96875,0.9980229398741843
4,ss,random,28,28,0,15.593804128002375,5,10,7,6,5,0.7543905540793279,0.09066801402039937,0.15517834632234512,0.9157871880806049,0.5917254234939234,0.8274543828973159,0.7603846022662919,0.8970131430212435,0.7851352242206638,0.6295663630239796,0.6295663630239796,0.977654400562522,0.8827044025157234,0.96875,0.96875,0.9991547842466957
4,ss,random,32,32,0,18.5316399190051,5,11,8,6,7,0.7601608311960664,0.08737075703266062,0.15334465471627035,0.9160091943729093,0.5904085560199652,0.8263629734951324,0.7993008512586421,0.9189700587965955,0.7925152587401985,0.6146900917527978,0.6146900917527978,0.9756299074182586,0.8768867924528302,0.9375,0.9375,0.9972981744547426
4,ss,random,36,36,0,21.48103337897919,5,12,8,7,9,0.8007664661690687,0.07827957888326827,0.13976222496376262,0.9252280410351217,0.5491879909461804,0.779694293523998,0.8379072122216153,0.9517913111616635,0.837617805507228,0.6654658261704329,0.6654658261704329,0.9695066213523965,0.8635220125786163,0.9375,0.9375,0.9976788370608383
4,ss,random,40,40,0,24.00354558796971,6,13,10,7,10,0.7947324640406688,0.07857247990614157,0.14186286332252582,0.9247262022667759,0.5548686781814238,0.7823064123862771,0.8303677913102866,0.9530941550947046,0.8295979393199435,0.6564867529691957,0.6564867529691957,0.973098558537443,0.8732704402515723,0.9375,0.9375,0.9976285562589116
4,ss,random,44,44,0,26.437364379962673,6,14,11,8,11,0.7920165131257675,0.07831856023437511,0.14279829243501818,0.9272019121911036,0.5557197173741324,0.7693340638110348,0.8251384115439148,0.9485500293494026,0.8223091791675502,0.6569863364129482,0.6569863364129482,0.9725096683464196,0.8715408805031447,0.9375,0.9375,0.997485277672886
4,ss,random,48,48,0,28.840893880988006,5,15,11,10,12,0.7944128671639121,0.0789085393225261,0.14197325899137736,0.9286940182782389,0.5410777299262156,0.7614089158678986,0.832335679686412,0.9590194660067642,0.8075908095155515,0.6612454469063358,0.6612454469063358,0.9734559943747803,0.8729559748427673,0.9375,0.9375,0.9978700372557637
