seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
4,ss,space_filling,0,0,0,0.0,0,0,0,0,0,0.48852075543974594,0.1510662591188802,0.22393531824503257,0.9258353031994544,0.5827116939453129,0.7765216863275265,0.655745129278869,0.6439260320008574,0.30733098842623097,0.3262352011785936,0.30733098842623097,0.9779356615492792,0.880503144654088,0.96875,0.96875,0.9988921243586489
4,ss,space_filling,4,4,0,2.2116307510004845,2,0,2,2,0,0.6083584077401782,0.13115724831920578,0.19595348446065078,0.9358314372014799,0.5379011811848965,0.7222975344431484,0.7971043434881865,0.78121044953408,0.42745177215838837,0.45200805004688305,0.42745177215838837,0.9814514238837453,0.8918238993710692,0.96875,0.96875,0.9987998240079454
4,ss,space_filling,8,8,0,5.688592875027098,2,1,2,2,3,0.7539181877255988,0.10733452449391448,0.15532749738472554,0.9381910163521952,0.538440285394965,0.708893146053928,0.6475086424310126,0.6989100746136344,0.7578082295270039,0.7745371605535596,0.6475086424310126,0.9398042892300481,0.7858490566037736,0.875,0.875,0.9819857578116787
4,ss,space_filling,12,12,0,8.026548666035524,2,2,3,4,3,0.8342883137029171,0.07721308869811203,0.12746329913330734,0.9397185196723912,0.535314923654514,0.7000788066929432,0.8255630907396531,0.9272833728954558,0.8513291456668756,0.7583791937596565,0.7583791937596565,0.9713348177663189,0.8617924528301887,0.96875,0.96875,0.9986594176372203
4,ss,space_filling,16,16,0,10.49975933204405,0,4,4,4,4,0.833661468938569,0.0742211765463325,0.12770415204492916,0.9402709573340737,0.5406861454253469,0.6968635567226867,0.8849840406626305,0.9463893451267814,0.7573169646872568,0.7618166613731134,0.7573169646872568,0.9789112855970936,0.8811320754716981,0.9375,0.9375,0.9957447947436038
4,ss,space_filling,20,20,0,12.351011580089107,2,6,5,5,4,0.8301692184753289,0.07638645939815536,0.12903775269428272,0.9435096559068887,0.5085391086935767,0.6777071791402953,0.8725773628222768,0.9344822583899417,0.7514988983381108,0.7660752793994048,0.7514988983381108,0.9813898980428922,0.884748427672956,0.9375,0.9375,0.9955534757034687
4,ss,space_filling,24,24,0,15.60423266410362,2,7,5,5,7,0.8329872003835066,0.07466413106145833,0.12796272054791547,0.9429569095757799,0.5080954975303821,0.6810147202119018,0.872894630101559,0.9528352024428672,0.8105337264156647,0.740653696614376,0.740653696614376,0.9753427868276104,0.8709119496855345,0.96875,0.96875,0.9975939199544857
4,ss,space_filling,28,28,0,19.322857207152992,5,7,5,6,10,0.843012620488202,0.072752124195638,0.12406262237215024,0.9415070664363856,0.50056704375868,0.6896149654718382,0.8515073198570537,0.9466253373201006,0.7957843178267234,0.7830876448365423,0.7830876448365423,0.9819553498183522,0.8913522012578616,0.96875,0.96875,0.9984542085096967
4,ss,space_filling,32,32,0,21.90110899915453,4,7,6,9,10,0.8468796808672872,0.07811908592645397,0.12252508135548243,0.9401489712884624,0.49496458890376954,0.6975748042733917,0.814746440687661,0.9215530208444235,0.8556206095541437,0.7946931896719202,0.7946931896719202,0.978627094808391,0.8803459119496855,0.96875,0.96875,0.9984634293939962
4,ss,space_filling,36,36,0,24.824868207157124,4,7,8,10,11,0.8521808740040926,0.0760074197914062,0.12038542264801456,0.9453367285704368,0.4905810771657985,0.6666575253609702,0.8103790432025207,0.9413053196726535,0.8515684897377225,0.8025059942559236,0.8025059942559236,0.9794298605414273,0.8823899371069183,0.96875,0.96875,0.9984211962926174
4,ss,space_filling,40,40,0,26.711436707148096,2,9,10,10,11,0.8534036417027739,0.0750814121808345,0.1198864713470543,0.9440043599826311,0.48873967600694357,0.6747332041588177,0.8293749648054836,0.9388481160497313,0.8438979422726338,0.8017469324707516,0.8017469324707516,0.9796378764795499,0.8834905660377359,0.96875,0.96875,0.9984142431304398
4,ss,space_filling,44,44,0,28.666724499169504,0,11,11,11,11,0.8505159811294392,0.0768060389087456,0.12106147734492317,0.9448482744694996,0.4912511211371524,0.6696294239491543,0.8206475047836083,0.9407611015163702,0.8374883697281073,0.8000832927688558,0.8000832927688558,0.9755449431618423,0.8724842767295597,0.96875,0.96875,0.9980411470400152
4,ss,space_filling,48,48,0,30.8522895401984,2,12,13,12,11,0.8553094286901441,0.0724716614946831,0.11910464595522358,0.9472585023857667,0.4756635774869789,0.654833976526274,0.835984654535932,0.9542355302997892,0.8367170985194587,0.7997942256261735,0.7997942256261735,0.9825852572366107,0.8927672955974842,0.96875,0.96875,0.998153935627468
