seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
4,typical,cell_balanced_space_filling,0,0,0,0.0,0,0,0,0,0,0.7807943965666516,0.06341611435026047,0.08261900855994186,0.9515981756291472,0.5183433587239576,0.6848318169481372,0.4056588973423063,0.7503467087733042,0.8022302414122816,0.798122511396633,0.4056588973423063,0.9725565451775461,0.8672955974842768,0.78125,0.78125,0.9847371886694757
4,typical,cell_balanced_space_filling,4,4,0,2.4602915850409772,0,1,1,1,1,0.7634776213001004,0.05666414210451389,0.08582034820629633,0.9524940230618454,0.49989140518880204,0.6784645964724746,0.8436528227867066,0.7831851077250236,0.7682130826204515,0.6462285251656815,0.6462285251656815,0.969351341849291,0.8616352201257862,0.8125,0.8125,0.98276408908439
4,typical,cell_balanced_space_filling,8,8,0,4.837673710047966,0,2,2,2,2,0.7438539073439798,0.05631967615006507,0.08930957464825807,0.9521704283829376,0.511357764750434,0.680771410734556,0.8387744125432604,0.7833820840408741,0.7545910012532882,0.601359006014708,0.601359006014708,0.9715779913277862,0.8655660377358491,0.8125,0.8125,0.9832782324786375
4,typical,cell_balanced_space_filling,12,12,0,7.217099668079754,0,3,3,3,3,0.8421558558232006,0.04193580587941775,0.0701081311875856,0.9496175092237084,0.520689510171441,0.6987034385104478,0.8333373574663355,0.8683681755384969,0.8183127443945235,0.8001303154704223,0.8001303154704223,0.9748505801007852,0.8679245283018868,0.78125,0.78125,0.9831619638915537
4,typical,cell_balanced_space_filling,16,16,0,9.571754752105335,0,4,4,4,4,0.8092197844575423,0.04724521994636138,0.07707629332566028,0.9494173833738805,0.5224701246115454,0.7000897340066856,0.8299157555919703,0.818265696905395,0.7817199524231049,0.7588593802730182,0.7588593802730182,0.9734120473455994,0.8654088050314466,0.8125,0.8125,0.9838999404698344
4,typical,cell_balanced_space_filling,20,20,0,11.954009793116711,0,5,5,5,5,0.8825406922908776,0.04000606417375372,0.06047806280906163,0.9506075015943094,0.5240691061241325,0.6918047837174968,0.8479828028349968,0.9248261484842865,0.8797674465470031,0.8345834938081998,0.8345834938081998,0.9772500878940585,0.8734276729559748,0.875,0.875,0.9882425727283958
4,typical,cell_balanced_space_filling,24,24,0,14.358961792080663,0,6,6,6,6,0.8996036548999269,0.03730389284357638,0.05591303988329864,0.9515431170846613,0.5115004227604165,0.6852212147317742,0.8492489414327998,0.9353965026811223,0.8975418621485272,0.8640524014817446,0.8492489414327998,0.978799953123169,0.8745283018867924,0.875,0.875,0.9890889764558762
4,typical,cell_balanced_space_filling,28,28,0,16.780018168094102,0,7,7,7,7,0.8914608964549374,0.03900183882515189,0.05813628395715528,0.949813731420362,0.5208514290711805,0.6973415082820569,0.8409013926915963,0.9213848136066205,0.889946947902629,0.8552174116659681,0.8409013926915963,0.9786388140161725,0.8738993710691825,0.875,0.875,0.9887847631988667
4,typical,cell_balanced_space_filling,32,32,0,19.20713479508413,0,8,8,8,8,0.8811724397032954,0.03949943504353297,0.060829289458770704,0.9505017120306135,0.515190979079861,0.6925452461656729,0.8778684091897999,0.921372635013151,0.8765707419498582,0.8270132631549207,0.8270132631549207,0.9787735849056605,0.8742138364779873,0.875,0.875,0.9887019592193785
4,typical,cell_balanced_space_filling,36,36,0,21.621995628083823,0,9,9,9,9,0.9042396309456168,0.03688604189160156,0.054606841689268014,0.9508181609129371,0.5019882355642362,0.6903279314460595,0.80737266894008,0.9531544559376588,0.9104179223873606,0.8691908701999955,0.80737266894008,0.9767520215633423,0.8694968553459119,0.875,0.875,0.9891868219719946
4,typical,cell_balanced_space_filling,40,40,0,24.080246128083672,0,10,10,10,10,0.9059682838814989,0.03572168422463106,0.05411171946738643,0.9507530392324604,0.51020329781684,0.6907848119157542,0.8231222597794478,0.9593909208586083,0.9106440440092585,0.8671747070470914,0.8231222597794478,0.9786622524317358,0.8745283018867924,0.90625,0.90625,0.9920674009085049
4,typical,cell_balanced_space_filling,44,44,0,26.490243336040294,0,11,11,11,11,0.88478578994563,0.03734753451074217,0.0598972904103491,0.9515952152358302,0.49312272999565926,0.6848527597592964,0.8459571593841752,0.9491732117485386,0.8801563898761489,0.8306690628393705,0.8306690628393705,0.9765469354271651,0.870754716981132,0.875,0.875,0.990238856244689
4,typical,cell_balanced_space_filling,48,48,0,28.88018225299311,0,12,12,12,12,0.8904875931415372,0.034870315715972225,0.058396365114611624,0.9531402890101135,0.4860658992317708,0.673833915833503,0.8772259366501297,0.9549586224784041,0.9041991779275091,0.8142659094547691,0.8142659094547691,0.9814309152701276,0.8839622641509435,0.9375,0.9375,0.9935438356286023
