seed,heldout_corner,strategy,spice_queries,successful_support_rows,failed_queries,cumulative_spice_wall_time_s,support_balance_range,support_inv,support_nand2,support_nor2,support_xor2,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
4,typical,random,0,0,0,0.0,0,0,0,0,0,0.7807943965666516,0.06341611435026047,0.08261900855994186,0.9515981756291472,0.5183433587239576,0.6848318169481373,0.4056588973423063,0.7503467087733042,0.8022302414122817,0.7981225113966329,0.4056588973423063,0.9725565451775461,0.8672955974842768,0.78125,0.78125,0.9847371886694757
4,typical,random,4,4,0,2.354856624006061,2,1,0,2,1,0.7408563180767778,0.07188520098787826,0.08983063419276387,0.9509599141198495,0.5209359909244788,0.6893323727941836,0.4020108215297594,0.6567552250305757,0.7656727784045294,0.7552121655978553,0.4020108215297594,0.9731512949724598,0.8674528301886792,0.8125,0.8125,0.9844231318000262
4,typical,random,8,8,0,4.9055749569961336,2,1,3,2,2,0.7134238767391095,0.08129663181532121,0.09446570171151004,0.9508452968632379,0.523844803068576,0.6901374618598275,0.38590236126333344,0.623304181408948,0.7422968456080286,0.7140400246419873,0.38590236126333344,0.9755625219735145,0.8751572327044026,0.875,0.875,0.988606903303778
4,typical,random,12,12,0,7.34423112202785,2,2,3,4,3,0.715163591888941,0.07671062795669645,0.09417852916199648,0.9512635323680453,0.5125421961805559,0.6871951534476756,0.276776572296513,0.6092342614566841,0.7411038533660754,0.7558522721040566,0.276776572296513,0.9728524551740302,0.8687106918238994,0.8125,0.8125,0.9851307084071629
4,typical,random,16,16,0,9.755205413064687,2,3,4,5,4,0.8009001536517133,0.06541156180199659,0.0787389493887824,0.9496125802107239,0.5248780644748268,0.6987376154044491,0.5038440590991822,0.7496638137147846,0.8134561685891153,0.8219219597000615,0.5038440590991822,0.9791456697527247,0.879874213836478,0.875,0.875,0.9916029533802416
4,typical,random,20,20,0,12.481127578066662,2,4,5,5,6,0.8830324739015442,0.04266821907753905,0.06035132446793105,0.9491245109240496,0.5247645078298616,0.7021135623011269,0.7640232376287199,0.900903283900528,0.9056383536479411,0.8448957579281963,0.7640232376287199,0.9802443454822454,0.8809748427672957,0.84375,0.84375,0.9905549253417688
4,typical,random,24,24,0,14.51277566209319,0,6,6,6,6,0.8890523314933095,0.039615715413671884,0.05877778871456139,0.9486788502412902,0.5366504906401912,0.7051820551331703,0.8053693052042886,0.9309961519572519,0.9109833180635672,0.8334874307013771,0.8053693052042886,0.9805461150826206,0.8811320754716981,0.875,0.875,0.9902604268479428
4,typical,random,28,28,0,17.413854912127135,2,6,7,8,7,0.8800905726110683,0.04172291574624567,0.061105572562519625,0.949364454633584,0.5281980898090282,0.7004559188925988,0.7215104489962733,0.931587374500501,0.8990191469647306,0.8400188117816758,0.7215104489962733,0.975421891480136,0.8672955974842768,0.84375,0.84375,0.988379632238828
4,typical,random,32,32,0,19.64434199515381,2,8,7,9,8,0.8782572031096907,0.04023907245154079,0.061570940956379674,0.9490663647654615,0.5295207445920145,0.7025146743989957,0.7538327130348226,0.947787776735078,0.9036879079342127,0.8142788194677744,0.7538327130348226,0.9763389194890426,0.8688679245283019,0.84375,0.84375,0.9892307039389359
4,typical,random,36,36,0,21.446035203174688,2,10,9,9,8,0.8310342140930639,0.043616075489040826,0.07253598946129197,0.9496023995246737,0.5317227151041675,0.6988082011680788,0.8495249138945511,0.9179119096310778,0.8606103898016525,0.7007014087737411,0.7007014087737411,0.978416149068323,0.8765723270440252,0.84375,0.84375,0.9885538729192916
4,typical,random,40,40,0,23.925578287162352,2,11,9,11,9,0.8607301033196539,0.03823739407736548,0.0658540941125305,0.9526402417803524,0.5096124853211803,0.6774196682007306,0.8805556533822883,0.9367019246251798,0.8876023587595141,0.747794972863559,0.747794972863559,0.9818967537794444,0.8831761006289308,0.90625,0.90625,0.9939196722510306
4,typical,random,44,44,0,26.060874327173224,4,12,10,13,9,0.8544398394212052,0.039115030430490465,0.06732485338192205,0.954876400479755,0.4972507850564233,0.6612336271453262,0.8957987861634628,0.9298488377004941,0.8883622363122978,0.7271770770111076,0.7271770770111076,0.9831243407945623,0.8875786163522014,0.90625,0.90625,0.9944015158841965
4,typical,random,48,48,0,29.09969203613582,4,13,10,14,11,0.8482435044303556,0.03872721443279083,0.06874289183333951,0.9559609532310668,0.48675526450086765,0.6532388694839472,0.9165816512364794,0.9224087528511131,0.8799315545832489,0.71424434755756,0.71424434755756,0.9837864760342202,0.8904088050314465,0.90625,0.90625,0.9950156660194289
