sample_id,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,simulator,ngspice_version,model_file,nmos_model,pmos_model,statistical_mode,sw_stat_global,sw_stat_mismatch,sampling_seed,fidelity,status,netlist_path,log_path,candidate_id,seed,pool_seed,heldout_corner,strategy,query_order,batch_index,spice_wall_time_s,acquisition_score,delay_uncertainty_scaled,diversity_scaled
4422001,INV,I_to_Z,4.924576911261045,0.28,2.8435869774755753,1.6379493740217919,77.63844988833918,7.912495193026369,22.55224087161875,typical,0.0477478,0.0450754,0.046411600000000004,2.19468,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422001_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422001_INV.log,10,4,4,typical,space_filling,1,1,0.36959587497403845,1.0,0.0007734624477764022,1.0
4422002,XOR2,A1_to_Z_A2_held_1,1.5268436173543407,0.28,1.513935757001006,1.6427366742189105,31.339669834005484,88.04843832532336,478.4755753605997,typical,0.685625,1.1156400000000002,0.9006325,7.95847,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422002_XOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422002_XOR2.log,78,4,4,typical,space_filling,2,1,0.8575366250006482,0.8222164941690006,0.6149973647395316,0.8222164941690006
4422003,NOR2,A1_A2_tied_to_Z,2.0674970801526946,0.28,2.5890556557110624,1.947418330626384,21.447331589515294,88.63480130227971,37.51109537398052,typical,0.127688,0.5008469999999999,0.3142675,11.1742,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422003_NOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422003_NOR2.log,68,4,4,typical,space_filling,3,1,0.5507912920147646,0.6037905971561974,0.5078155512055472,0.6037905971561974
4422004,INV,I_to_Z,4.501012612278368,0.28,1.6127436219484905,1.9698198190276899,10.807181092688744,13.066326898090288,313.9455860154304,typical,0.0699578,0.116504,0.0932309,2.6768,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422004_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422004_INV.log,12,4,4,typical,space_filling,4,1,0.37316370898042805,0.750458432270224,0.0,0.750458432270224
4422005,NOR2,A1_A2_tied_to_Z,0.6853249119823589,0.28,2.1156260672734772,1.6334318946910227,98.72129687645305,20.625512908721035,173.213892219057,typical,0.156988,0.6891029999999999,0.42304549999999996,1.89213,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422005_NOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422005_NOR2.log,67,4,4,typical,space_filling,5,2,0.5529119999846444,1.0,1.0,1.0
4422006,XOR2,A1_to_Z_A2_held_1,1.7487429701956547,0.28,2.8474828344821432,1.9408944830715325,36.83145628248076,6.375254741399072,493.5139638559135,typical,0.23289,0.23790799999999998,0.23539900000000002,3.51918,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422006_XOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422006_XOR2.log,94,4,4,typical,space_filling,6,2,0.8750967079831753,0.9892290194584796,0.21218895748403685,0.9892290194584796
4422007,INV,I_to_Z,4.339698345290497,0.28,2.334812740519138,1.6251400010804629,-9.794264633081134,92.1875667021975,180.26231293753634,typical,0.185697,0.23415100000000003,0.20992400000000003,8.11831,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422007_INV.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422007_INV.log,4,4,4,typical,space_filling,7,2,0.3649065000063274,0.9451516434257083,0.11586766471531788,0.9451516434257083
4422008,NAND2,A1_A2_tied_to_Z,0.5711632972491345,0.28,1.6222993044630396,1.7408580644630218,-15.366520513856814,6.973144839360038,285.76626424680813,typical,0.227743,0.16043000000000002,0.19408650000000002,0.824216,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422008_NAND2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422008_NAND2.log,29,4,4,typical,space_filling,8,2,0.5497077920008451,0.8903966373039679,0.3762182670490521,0.8903966373039679
4422009,XOR2,A1_to_Z_A2_held_1,3.8057708434125406,0.28,1.7059483459891456,1.8680642657153628,94.58137473966433,92.70271931895834,285.3012805406849,typical,0.33048500000000003,0.450249,0.390367,13.5158,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422009_XOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422009_XOR2.log,81,4,4,typical,space_filling,9,3,0.8909010409843177,1.0,0.22365462005772918,1.0
4422010,NOR2,A1_A2_tied_to_Z,4.792931986933226,0.28,2.7443426733002747,1.8217029929526025,63.4310113106022,41.84089979302283,327.28737037191104,typical,0.10195599999999999,0.250132,0.176044,6.86931,ngspice,ngspice-46 : Circuit level simulation program,gf180mcu-pdk/libraries/gf180mcu_fd_pr/latest/models/ngspice/sm141064.ngspice,nmos_3p3,pmos_3p3,off,0,0,4,SPICE_GF180MCU,ok,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/netlists/4422010_NOR2.cir,results/online_spice_deterministic/runs/seed_4/corner_typical/space_filling/logs/4422010_NOR2.log,59,4,4,typical,space_filling,10,3,0.5622340000118129,0.9035593157120804,0.05270614451907487,0.9035593157120804
