candidate_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
48,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.640305394667693,-37.097641114770674,0.3383338192639075,0.05344084605791398,ss,5,ss,1
56,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.6835745891871812,115.70623146478593,4.08029494856989,0.0011779853409113082,ss,5,ss,2
1,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.939061947486968,-29.755545387218262,10.417841110703833,0.030515289355533465,ss,5,ss,3
7,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.6329262926379338,53.49891340282912,1.35206002314181,0.2035787117109057,ss,5,ss,4
74,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.655094175992566,-38.191114863238674,2.439784856362671,0.161503438684936,ss,5,ss,5
81,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.9208318763848697,0.28342536198333335,0.8322309875094314,0.2001486407185431,ss,5,ss,6
17,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.9515686530184682,34.363930204612046,0.8060133791443286,0.1850602805158598,ss,5,ss,7
18,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.6410988088173275,97.93901382367298,1.9386881655433281,0.039369708081994255,ss,5,ss,8
84,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.9337816730086401,-21.01322929507901,11.620396760453323,0.06341696916981607,ss,5,ss,9
94,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.8682201782137955,122.24073657208422,2.179097044089092,0.012798637321420968,ss,5,ss,10
24,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.914642120089686,107.7439130596369,0.3556561725674876,0.022921304054172087,ss,5,ss,11
33,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.6358410382264095,45.925527140986915,1.3264082646465696,0.0525481069426217,ss,5,ss,12
65,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.6987925580202805,123.67749585461931,11.103874894574075,0.014758911377842496,ss,5,ss,13
