sample_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,sw_stat_global,sw_stat_mismatch,released_cdl_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
21520001,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.640305394667693,-37.097641114770674,0.3383338192639075,0.05344084605791398,ss,2.62223,8.70518,5.663705,0.942224,0.7258197499904782,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520001_aoi21_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520001_aoi21_1_ss.log,0,48,5,ss,1,1,stopping_evaluation
21520002,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.6835745891871812,115.70623146478593,4.08029494856989,0.0011779853409113082,ss,0.657939,1.4002,1.0290694999999999,0.160731,2.479806750023272,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520002_aoi21_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520002_aoi21_4_ss.log,0,56,5,ss,2,1,stopping_evaluation
21520003,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.939061947486968,-29.755545387218262,10.417841110703833,0.030515289355533465,ss,2.71908,4.70574,3.71241,0.745184,0.35759608302032575,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520003_inv_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520003_inv_1_ss.log,0,1,5,ss,3,1,stopping_evaluation
21520004,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.6329262926379338,53.49891340282912,1.35206002314181,0.2035787117109057,ss,1.82815,4.40766,3.1179049999999995,3.51065,0.9022675409796648,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520004_inv_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520004_inv_4_ss.log,0,7,5,ss,4,1,stopping_evaluation
21520005,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.655094175992566,-38.191114863238674,2.439784856362671,0.161503438684936,ss,6.768689999999999,12.463099999999999,9.615895,2.87184,1.34229887498077,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520005_mux2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520005_mux2_1_ss.log,0,74,5,ss,5,1,stopping_evaluation
21520006,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.9208318763848697,0.28342536198333335,0.8322309875094314,0.2001486407185431,ss,3.41602,3.45174,3.4338800000000003,5.13651,1.9368692499701865,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520006_mux2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520006_mux2_4_ss.log,0,81,5,ss,6,1,stopping_evaluation
21520007,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.9515686530184682,34.363930204612046,0.8060133791443286,0.1850602805158598,ss,6.61076,9.60999,8.110375,4.46193,0.5805956659605727,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520007_nand2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520007_nand2_1_ss.log,0,17,5,ss,7,1,stopping_evaluation
21520008,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.6410988088173275,97.93901382367298,1.9386881655433281,0.039369708081994255,ss,1.1516300000000002,1.58863,1.37013,0.795022,1.652669791947119,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520008_nand2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520008_nand2_4_ss.log,0,18,5,ss,8,1,stopping_evaluation
21520009,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.9337816730086401,-21.01322929507901,11.620396760453323,0.06341696916981607,ss,5.72275,7.33535,6.52905,1.52883,0.8000391669920646,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520009_nand3_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520009_nand3_1_ss.log,0,84,5,ss,9,1,stopping_evaluation
21520010,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.8682201782137955,122.24073657208422,2.179097044089092,0.012798637321420968,ss,0.760965,1.0041799999999999,0.8825725,0.457045,2.276140542002395,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520010_nand3_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520010_nand3_4_ss.log,0,94,5,ss,10,1,stopping_evaluation
