sample_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,sw_stat_global,sw_stat_mismatch,released_cdl_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
21500001,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.9734111968672543,-9.21438599850898,2.4905914088985694,0.1587460004635193,typical,3.77423,9.23742,6.505825,3.93151,0.8326395829790272,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500001_aoi21_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500001_aoi21_1_typical.log,0,52,5,typical,1,1,stopping_evaluation
21500002,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.6907891784496032,110.78119329286378,0.36911284187490295,0.02981967323711039,typical,0.422506,0.995429,0.7089675,0.72867,2.399883750011213,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/aoi21/gf180mcu_fd_sc_mcu7t5v0__aoi21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500002_aoi21_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500002_aoi21_4_typical.log,0,54,5,typical,2,1,stopping_evaluation
21500003,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.6763484989376745,-36.77599036324286,7.583105172800737,0.0771802536805144,typical,3.1244899999999998,5.34422,4.234355,1.38028,0.43246237497078255,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500003_inv_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500003_inv_1_typical.log,0,5,5,typical,3,1,stopping_evaluation
21500004,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.939589158905766,121.23273733794494,9.667789966841436,0.10511977739801588,typical,1.3327499999999999,3.09882,2.215785,2.9176,0.9776384999859147,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/inv/gf180mcu_fd_sc_mcu7t5v0__inv_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500004_inv_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500004_inv_4_typical.log,0,6,5,typical,4,1,stopping_evaluation
21500005,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.9251163265902795,111.54896660767093,11.545379918562695,0.07717983214429158,typical,4.191330000000001,3.12073,3.6560300000000003,2.02537,1.3368285420001484,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500005_mux2_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500005_mux2_1_typical.log,0,72,5,typical,5,1,stopping_evaluation
21500006,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.9478437879496593,124.14935447867813,0.08055734183361737,0.14496668048181255,typical,2.16413,1.95366,2.058895,4.03778,1.9608509590034373,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500006_mux2_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500006_mux2_4_typical.log,0,79,5,typical,6,1,stopping_evaluation
21500007,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.640607289362193,110.51345800079642,9.378854900651488,0.16130516615112384,typical,7.41559,10.2882,8.851895,2.75343,0.6068048750166781,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500007_nand2_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500007_nand2_1_typical.log,0,16,5,typical,7,1,stopping_evaluation
21500008,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.975757949820486,67.13368185562963,7.906300778270747,0.004455369073059419,typical,0.0728114,1.08195,0.5773807,0.571206,1.6681924579897895,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500008_nand2_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500008_nand2_4_typical.log,0,20,5,typical,8,1,stopping_evaluation
21500009,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.7584593787218048,85.34794184702938,0.2415413533207126,0.002394546603321582,typical,0.26412399999999997,0.300563,0.2823435,0.0927653,0.7367637919960544,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500009_nand3_1_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500009_nand3_1_typical.log,0,84,5,typical,9,1,stopping_evaluation
21500010,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.6521795988599817,116.64760637399121,1.4775769874550957,0.06627179190164394,typical,1.2220900000000001,1.43744,1.329765,1.29955,2.1434843339957297,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/netlists/21500010_nand3_4_typical.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_typical/logs/21500010_nand3_4_typical.log,0,95,5,typical,10,1,stopping_evaluation
