candidate_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
50,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9741046778727587,120.58238978341998,0.04265612966775008,0.05571047088445848,ff,5,ff,1
59,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9292680859660167,-24.075464288274112,0.1192040597322229,0.06963174685569753,ff,5,ff,2
5,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8098376558570288,116.18179090355906,10.00972943076294,0.022188808369698453,ff,5,ff,3
11,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.9482030972134643,-4.564495439389681,3.0690766310990463,0.014753212300577294,ff,5,ff,4
75,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.7769841234929147,117.70497890114856,1.4324424327553882,0.02428808577371604,ff,5,ff,5
83,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.6654536444184664,76.90104638422152,10.386831522204801,0.1774773316893486,ff,5,ff,6
17,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.8939640255050807,-6.583189398500529,10.546702807905433,0.009547464597974564,ff,5,ff,7
18,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.9680202151511383,123.23484037240084,9.422703797315485,0.045601625608917055,ff,5,ff,8
86,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6580890146579608,61.66245043828957,11.860709452867814,0.038899075537876984,ff,5,ff,9
93,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9437253140911248,-21.271947198401858,11.317800763491853,0.016946834786629356,ff,5,ff,10
29,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.9731322631804884,36.41874133240421,11.17507815638454,0.10199900360358773,ff,5,ff,11
31,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.834651650978246,108.06223540171794,1.1287128693158277,0.17692486640639407,ff,5,ff,12
