sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
26510001,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9741046778727587,120.58238978341998,0.04265612966775008,0.05571047088445848,ff,ff,0.224615,0.469356,0.34698549999999995,1.43631,0.938477750052698,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510001_aoi21_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510001_aoi21_1_ff.log,0,50,5,ff,1,1,stopping_evaluation
26510002,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9292680859660167,-24.075464288274112,0.1192040597322229,0.06963174685569753,ff,ff,0.0787679,0.21851199999999998,0.14863995,1.86233,3.0567092500277795,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510002_aoi21_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510002_aoi21_4_ff.log,0,59,5,ff,2,1,stopping_evaluation
26510003,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8098376558570288,116.18179090355906,10.00972943076294,0.022188808369698453,ff,ff,-0.19736900000000002,1.16191,0.4822705,1.88625,0.48959141597151756,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510003_inv_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510003_inv_1_ff.log,0,5,5,ff,3,1,stopping_evaluation
26510004,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.9482030972134643,-4.564495439389681,3.0690766310990463,0.014753212300577294,ff,ff,-0.194427,0.39840499999999995,0.101989,1.63903,1.2116578340064734,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510004_inv_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510004_inv_4_ff.log,0,11,5,ff,4,1,stopping_evaluation
26510005,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.7769841234929147,117.70497890114856,1.4324424327553882,0.02428808577371604,ff,ff,0.40335200000000004,0.21412399999999998,0.308738,0.634223,1.6783515420393087,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510005_mux2_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510005_mux2_1_ff.log,0,75,5,ff,5,1,stopping_evaluation
26510006,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.6654536444184664,76.90104638422152,10.386831522204801,0.1774773316893486,ff,ff,1.5765099999999999,0.190185,0.8833475,3.88032,2.4743040410103276,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510006_mux2_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510006_mux2_4_ff.log,0,83,5,ff,6,1,stopping_evaluation
26510007,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.8939640255050807,-6.583189398500529,10.546702807905433,0.009547464597974564,ff,ff,-0.60742,1.25701,0.324795,1.00181,0.7136988340062089,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510007_nand2_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510007_nand2_1_ff.log,0,17,5,ff,7,1,stopping_evaluation
26510008,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.9680202151511383,123.23484037240084,9.422703797315485,0.045601625608917055,ff,ff,-0.206066,0.795517,0.2947255,10.6292,2.0900817919755355,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510008_nand2_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510008_nand2_4_ff.log,0,18,5,ff,8,1,stopping_evaluation
26510009,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6580890146579608,61.66245043828957,11.860709452867814,0.038899075537876984,ff,ff,0.447708,1.9155200000000001,1.181614,1.04266,1.0620727500063367,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510009_nand3_1_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510009_nand3_1_ff.log,0,86,5,ff,9,1,stopping_evaluation
26510010,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9437253140911248,-21.271947198401858,11.317800763491853,0.016946834786629356,ff,ff,-0.782073,1.17361,0.1957685,4.31797,2.869890125002712,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/netlists/26510010_nand3_4_ff.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ff/logs/26510010_nand3_4_ff.log,0,93,5,ff,10,1,stopping_evaluation
