sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
26520001,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.7247033802492424,120.47195391992565,11.964957990332758,0.08979402811722091,ss,ss,3.03317,4.19754,3.615355,1.74709,0.9994313750066794,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520001_aoi21_1_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520001_aoi21_1_ss.log,0,48,5,ss,1,1,stopping_evaluation
26520002,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9035030826265,3.3513810341561836,10.448948425130345,0.013651265772472027,ss,ss,0.16863,1.3746800000000001,0.7716550000000001,0.609803,3.245731834031176,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520002_aoi21_4_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520002_aoi21_4_ss.log,0,54,5,ss,2,1,stopping_evaluation
26520003,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7046543887030725,-21.951412635170122,11.206628151856135,0.2018078469580305,ss,ss,3.4895099999999997,6.25873,4.87412,3.68184,0.49769216700224206,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520003_inv_1_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520003_inv_1_ss.log,0,4,5,ss,3,1,stopping_evaluation
26520004,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.725407105772174,-33.83966316606296,2.896011651501431,0.031669725129846664,ss,ss,0.41302300000000003,0.9366209999999999,0.6748219999999999,0.642484,1.2328186659724452,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520004_inv_4_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520004_inv_4_ss.log,0,8,5,ss,4,1,stopping_evaluation
26520005,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.9566401142261851,119.99788598899454,11.404469026424085,0.03349095687542037,ss,ss,1.80108,0.419567,1.1103235,1.03651,1.6990230839583091,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520005_mux2_1_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520005_mux2_1_ss.log,0,72,5,ss,5,1,stopping_evaluation
26520006,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.814869989079037,-22.958188251815002,0.5235506962427845,0.05737378596106893,ss,ss,0.548124,0.40356800000000004,0.47584600000000005,1.49534,2.5501729999668896,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520006_mux2_4_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520006_mux2_4_ss.log,0,82,5,ss,6,1,stopping_evaluation
26520007,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.9556888530337528,94.08786624617227,9.411651995531837,0.1537389363439629,ss,ss,2.81741,3.4968700000000004,3.15714,3.77716,0.757932125008665,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520007_nand2_1_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520007_nand2_1_ss.log,0,16,5,ss,7,1,stopping_evaluation
26520008,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.6287142792792442,7.26862064248683,11.98843005238375,0.11005671807322985,ss,ss,2.01528,3.62434,2.81981,1.89372,2.208915583032649,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520008_nand2_4_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520008_nand2_4_ss.log,0,18,5,ss,8,1,stopping_evaluation
26520009,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.8684071085410479,65.929649891285,11.555547502605886,0.015141665033046044,ss,ss,0.866177,1.63002,1.2480985,0.445754,1.1283029170008376,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_1.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520009_nand3_1_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520009_nand3_1_ss.log,0,85,5,ss,9,1,stopping_evaluation
26520010,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.6462492393614212,-36.17603501655497,8.157381042460688,0.19501086849467358,ss,ss,2.2643,3.52462,2.8944600000000005,3.39579,2.975908249965869,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_4.spice,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/netlists/26520010_nand3_4_ss.cir,results/prospective_locked_confirmation/sky130/seed_5/corner_ss/logs/26520010_nand3_4_ss.log,0,94,5,ss,10,1,stopping_evaluation
