pdk,cohort,seed,heldout_corner,evaluation_stage,support_budget,delay_r2,delay_mae_ns,delay_p95_absolute_error_ns,delay_max_absolute_error_ns,spearman_rho,top20_slowest_recall,model_fit_time_s,model_predict_time_s
GF180MCU,confirmation,3,ff,stopped,80,0.912885603843299,0.39290276003900443,1.120173984114585,2.55271759374999,0.9707277622548356,0.9743589743589743,0.11033616698114201,0.026976083987392485
GF180MCU,confirmation,3,ff,full_96,96,0.9097002195011625,0.3920940231347658,1.1051191283776014,2.707500774739577,0.9661110056153869,0.9487179487179487,0.09533620800357312,0.027714708005078137
GF180MCU,confirmation,3,ss,stopped,96,0.8884015923712498,0.9726774325752771,2.9568445236979097,6.350234598177092,0.9595902395355779,0.9230769230769231,0.1013379159849137,0.027912083023693413
GF180MCU,confirmation,3,ss,full_96,96,0.8884015923712498,0.9726774325752771,2.956844523697909,6.350234598177092,0.9595902395355779,0.9230769230769231,0.10474016703665257,0.028103874996304512
GF180MCU,confirmation,3,typical,stopped,80,0.9092765874639471,0.5376967157187779,1.666327104752617,2.3047120067708438,0.9464486748229934,0.8717948717948718,0.09434579202206805,0.025990666006691754
GF180MCU,confirmation,3,typical,full_96,96,0.9276972030413614,0.47493788235229556,1.3005223040104235,2.665247294270846,0.9596834902205464,0.8974358974358975,0.09923958400031552,0.02822741598356515
GF180MCU,confirmation,4,ff,stopped,80,0.8672316037460384,0.44924143021287694,1.7388766045312425,2.411240549479158,0.9721010905243741,0.8717948717948718,0.09514975000638515,0.02790358295897022
GF180MCU,confirmation,4,ff,full_96,96,0.8898604412311922,0.40963193407097664,1.5253527874609307,2.0931297039062313,0.9732217942109976,0.9230769230769231,0.10310195799684152,0.02805545798037201
GF180MCU,confirmation,4,ss,stopped,96,0.9123478490142065,0.8709190486786547,2.840462588671873,6.162065148437485,0.9639187667851234,0.8974358974358975,0.0947401660378091,0.02774762496119365
GF180MCU,confirmation,4,ss,full_96,96,0.9123478490142065,0.8709190486786547,2.8404625886718717,6.162065148437485,0.9639187667851234,0.8974358974358975,0.10678658296819776,0.027616582985501736
GF180MCU,confirmation,4,typical,stopped,96,0.8982707419128734,0.5424577424219177,1.536941541861984,3.2232985484374916,0.9536917098445596,0.8461538461538461,0.09374291700078174,0.027796874986961484
GF180MCU,confirmation,4,typical,full_96,96,0.8982707419128734,0.5424577424219176,1.536941541861984,3.22329854843749,0.9536917098445596,0.8461538461538461,0.10190545802470297,0.02784795901970938
SKY130,external_replication,0,ff,stopped,80,0.908109953417553,0.14981546768470036,0.3300094249687499,0.464540254609378,0.9552667986870305,0.9487179487179487,0.10143812501337379,0.026627750019542873
SKY130,external_replication,0,ff,full_96,96,0.9190466668087179,0.1381079739378662,0.32313259159635416,0.5147112529947933,0.9528592355478395,0.9487179487179487,0.09234924998600036,0.026575208001304418
SKY130,external_replication,0,ss,stopped,96,0.9031895454559777,0.23185490550037982,0.5932437074648435,1.1811450927083378,0.9503414670536854,0.8974358974358975,0.1238365420140326,0.05463825003243983
SKY130,external_replication,0,ss,full_96,96,0.9031895454559777,0.23185490550037988,0.5932437074648433,1.1811450927083373,0.9503414670536854,0.8974358974358975,0.09890670800814405,0.028368832950945944
SKY130,external_replication,0,typical,stopped,80,0.8528021312476759,0.218782331137207,0.6262661212182289,1.419090192968743,0.9345736239589835,0.8461538461538461,0.1032799169770442,0.028244999994058162
SKY130,external_replication,0,typical,full_96,96,0.8637624091343532,0.20783858373918992,0.6405459142447897,1.4258907372395773,0.9397617529772402,0.8717948717948718,0.1039608339779079,0.02497358398977667
SKY130,external_replication,1,ff,stopped,80,0.9284709399518084,0.12794762196014395,0.3105039321421844,0.5541671231770828,0.963038819412419,0.9743589743589743,0.10624404100235552,0.028434291016310453
