pdk,cohort,method,subset,runs,successful_runs,gap_le_0p02_rate,exact_95ci_lower,exact_95ci_upper,median_stop_budget,median_query_reduction_pct,median_gap_to_full,maximum_gap_to_full,median_worst_family_r2,median_worst_variant_r2
GF180MCU,confirmation,coverage_only,all_runs,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.48843366853777925
GF180MCU,confirmation,coverage_only,early_stop_only,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.48843366853777925
GF180MCU,confirmation,coverage_only,full_budget_fallback,0,0,,,,,,,,,
GF180MCU,confirmation,fixed_48,all_runs,6,1,0.16666666666666666,0.00421074451448947,0.6412345789976748,48.0,50.0,0.0391957339718452,0.1423856782494561,0.3717143759822096,0.0851832539747885
GF180MCU,confirmation,fixed_48,early_stop_only,6,1,0.16666666666666666,0.00421074451448947,0.6412345789976748,48.0,50.0,0.0391957339718452,0.1423856782494561,0.3717143759822096,0.0851832539747885
GF180MCU,confirmation,fixed_48,full_budget_fallback,0,0,,,,,,,,,
GF180MCU,confirmation,fixed_64,all_runs,6,1,0.16666666666666666,0.00421074451448947,0.6412345789976748,64.0,33.333333333333336,0.02724428794989895,0.0579969015741904,0.4746938583921509,0.03008974321372715
GF180MCU,confirmation,fixed_64,early_stop_only,6,1,0.16666666666666666,0.00421074451448947,0.6412345789976748,64.0,33.333333333333336,0.02724428794989895,0.0579969015741904,0.4746938583921509,0.03008974321372715
GF180MCU,confirmation,fixed_64,full_budget_fallback,0,0,,,,,,,,,
GF180MCU,confirmation,fixed_80,all_runs,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.48843366853777925
GF180MCU,confirmation,fixed_80,early_stop_only,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.48843366853777925
GF180MCU,confirmation,fixed_80,full_budget_fallback,0,0,,,,,,,,,
GF180MCU,confirmation,fixed_96,all_runs,6,6,1.0,0.5407418735600995,1.0,96.0,0.0,0.0,0.0,0.7432871057820016,0.541380599861596
GF180MCU,confirmation,fixed_96,early_stop_only,0,0,,,,,,,,,
GF180MCU,confirmation,fixed_96,full_budget_fallback,6,6,1.0,0.5407418735600995,1.0,96.0,0.0,0.0,0.0,0.7432871057820016,0.541380599861596
GF180MCU,confirmation,locked_three_signal_rule,all_runs,6,5,0.8333333333333334,0.35876542100232517,0.9957892554855106,88.0,8.333333333333334,0.0,0.0226288374851538,0.7388636009536746,0.4696652807363417
GF180MCU,confirmation,locked_three_signal_rule,early_stop_only,3,2,0.6666666666666666,0.09429932405024609,0.9915962413403874,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6408770566345703,0.41296917933334
GF180MCU,confirmation,locked_three_signal_rule,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.7393767851966571,0.5263613821393434
GF180MCU,confirmation,prediction_change_only,all_runs,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.4998283433602346
GF180MCU,confirmation,prediction_change_only,early_stop_only,5,3,0.6,0.14663279963467313,0.9472550494736831,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6494920041855106,0.41296917933334
GF180MCU,confirmation,prediction_change_only,full_budget_fallback,1,1,1.0,0.025,1.0,96.0,0.0,0.0,0.0,0.7383504167106922,0.5995456018627252
GF180MCU,confirmation,prediction_change_plus_coverage,all_runs,6,4,0.6666666666666666,0.22277809550351213,0.9567281317072583,80.0,16.666666666666668,0.015668492740213,0.0226288374851538,0.6576974821423678,0.4998283433602346
GF180MCU,confirmation,prediction_change_plus_coverage,early_stop_only,5,3,0.6,0.14663279963467313,0.9472550494736831,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6494920041855106,0.41296917933334
GF180MCU,confirmation,prediction_change_plus_coverage,full_budget_fallback,1,1,1.0,0.025,1.0,96.0,0.0,0.0,0.0,0.7383504167106922,0.5995456018627252
GF180MCU,confirmation,prequential_only,all_runs,6,5,0.8333333333333334,0.35876542100232517,0.9957892554855106,88.0,8.333333333333334,0.0,0.0226288374851538,0.7388636009536746,0.4696652807363417
GF180MCU,confirmation,prequential_only,early_stop_only,3,2,0.6666666666666666,0.09429932405024609,0.9915962413403874,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6408770566345703,0.41296917933334
GF180MCU,confirmation,prequential_only,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.7393767851966571,0.5263613821393434
GF180MCU,confirmation,prequential_plus_coverage,all_runs,6,5,0.8333333333333334,0.35876542100232517,0.9957892554855106,88.0,8.333333333333334,0.0,0.0226288374851538,0.7388636009536746,0.4696652807363417
GF180MCU,confirmation,prequential_plus_coverage,early_stop_only,3,2,0.6666666666666666,0.09429932405024609,0.9915962413403874,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6408770566345703,0.41296917933334
GF180MCU,confirmation,prequential_plus_coverage,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.7393767851966571,0.5263613821393434
GF180MCU,confirmation,prequential_plus_prediction_change,all_runs,6,5,0.8333333333333334,0.35876542100232517,0.9957892554855106,88.0,8.333333333333334,0.0,0.0226288374851538,0.7388636009536746,0.4696652807363417
