pdk,cohort,minimum_budget,prequential_nmae_threshold,prediction_change_threshold,coverage_ratio_threshold,median_stop_budget,early_stop_runs,gap_le_0p02_rate,maximum_gap_to_full,meets_development_constraints
GF180MCU,development,16,0.15,0.02,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.15,0.02,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.02,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.02,0.5,96.0,1,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.02,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.02,0.5,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.02,0.65,96.0,1,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.02,0.65,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.02,0.65,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.02,0.8,96.0,1,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.02,0.8,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.02,0.8,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.05,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.15,0.05,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.05,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.05,0.5,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.05,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.05,0.5,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.05,0.65,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.05,0.65,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.05,0.65,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.05,0.8,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.05,0.8,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.05,0.8,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.1,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.15,0.1,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.1,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.1,0.5,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.1,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.1,0.5,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.1,0.65,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.1,0.65,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.1,0.65,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.1,0.8,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.1,0.8,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.1,0.8,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.2,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.15,0.2,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.2,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.2,0.5,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.2,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.2,0.5,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.2,0.65,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.2,0.65,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.2,0.65,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.2,0.8,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.2,0.8,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.2,0.8,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.4,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.15,0.4,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.4,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.15,0.4,0.5,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.4,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.4,0.5,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.4,0.65,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.4,0.65,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.4,0.65,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.15,0.4,0.8,96.0,3,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.15,0.4,0.8,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.15,0.4,0.8,96.0,1,1.0,0.0044598070964144,False
GF180MCU,development,16,0.25,0.02,0.35,96.0,0,1.0,0.0,True
GF180MCU,confirmation,16,0.25,0.02,0.35,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.25,0.02,0.35,96.0,0,1.0,0.0,False
GF180MCU,development,16,0.25,0.02,0.5,96.0,1,0.8888888888888888,0.022736335160523,True
GF180MCU,confirmation,16,0.25,0.02,0.5,96.0,0,1.0,0.0,False
SKY130,external_replication,16,0.25,0.02,0.5,96.0,1,1.0,0.0,False
