experiment,seed,target,model,train_rows,calibration_rows,test_rows,nominal_coverage,empirical_coverage,interval_width,median_abs_err,p95_abs_err
v2_split_conformal,0,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.96875,0.2866161289002217,0.0269981372301019,0.0900735821663456
v2_split_conformal,0,power_avg_uW,GradientBoosting,192,64,64,0.9,0.90625,2.4299774634997053,0.3827738191457064,1.480856928801634
v2_split_conformal,1,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.953125,0.2747814637737245,0.03124206707376076,0.12628209252481312
v2_split_conformal,1,power_avg_uW,GradientBoosting,192,64,64,0.9,1.0,2.9530470351568816,0.5258107556048282,1.1930358227518978
v2_split_conformal,2,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.953125,0.4027860817891272,0.02711271762944026,0.17471415098039036
v2_split_conformal,2,power_avg_uW,GradientBoosting,192,64,64,0.9,0.953125,2.1240096814299054,0.31822404850069574,1.0277581103784894
v2_split_conformal,3,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.890625,0.3442619055163689,0.02630247114297843,0.29725883169730716
v2_split_conformal,3,power_avg_uW,GradientBoosting,192,64,64,0.9,0.90625,2.445456906096542,0.3804114579774165,1.58717067224165
v2_split_conformal,4,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.890625,0.28042396294484995,0.04136372334962389,0.19087102878725332
v2_split_conformal,4,power_avg_uW,GradientBoosting,192,64,64,0.9,0.96875,3.225596574115233,0.4319156784303608,1.3192360762729138
v2_split_conformal,5,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.953125,0.3925788007123947,0.029778572025886824,0.18494163665067168
v2_split_conformal,5,power_avg_uW,GradientBoosting,192,64,64,0.9,0.9375,2.0482223162910635,0.2994618879220483,1.1240275693386808
v2_split_conformal,6,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.9375,0.40505966842935526,0.030006381866988674,0.215245860204905
v2_split_conformal,6,power_avg_uW,GradientBoosting,192,64,64,0.9,0.90625,2.987712702266318,0.4217665026283801,1.7122193644097707
v2_split_conformal,7,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.9375,0.4225534202371626,0.0323264480695961,0.2363653310913528
v2_split_conformal,7,power_avg_uW,GradientBoosting,192,64,64,0.9,0.9375,2.046955731354057,0.32984166497134904,1.087855571090268
v2_split_conformal,8,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.984375,0.40187907454426575,0.02427990680502795,0.10136676948602791
v2_split_conformal,8,power_avg_uW,GradientBoosting,192,64,64,0.9,0.953125,3.314134764164269,0.45161652457690493,1.3906212448212876
v2_split_conformal,9,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.9375,0.23320472515952084,0.028337404785379827,0.11789071728141688
v2_split_conformal,9,power_avg_uW,GradientBoosting,192,64,64,0.9,0.890625,2.1333647681616767,0.4022091247847195,1.7839194018074926
v2_split_conformal,10,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.953125,0.26916106067833095,0.031150426354265737,0.13037769734642007
v2_split_conformal,10,power_avg_uW,GradientBoosting,192,64,64,0.9,0.96875,2.6840171422588206,0.2658410530501678,1.1905942064223742
v2_split_conformal,11,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.890625,0.27751617685394436,0.03544772208031001,0.2164519912073284
v2_split_conformal,11,power_avg_uW,GradientBoosting,192,64,64,0.9,0.859375,1.81028478776439,0.2906658748053479,1.2366159950556914
v2_split_conformal,12,delay_avg_ns,GradientBoosting,192,64,64,0.9,0.96875,0.3684673068772484,0.027828492752948436,0.17152363124739145
v2_split_conformal,12,power_avg_uW,GradientBoosting,192,64,64,0.9,0.921875,2.13928103198396,0.3910180029634488,1.1384802254825435
