target,model,feature,importance_mean_delta_r2,importance_std_delta_r2
delay_avg_ns,GradientBoosting,Wn_um,0.7066895814732737,0.11988051279599254
delay_avg_ns,GradientBoosting,L_um,0.0,0.0
delay_avg_ns,GradientBoosting,Wp_Wn_ratio,0.0007524619262036624,0.00812070577495612
delay_avg_ns,GradientBoosting,Vdd,0.013845852183126329,0.005821211720018858
delay_avg_ns,GradientBoosting,Temp,-0.0009616210381586776,0.0028896671329505436
delay_avg_ns,GradientBoosting,Cload_fF,0.5274009518572941,0.16930285687522212
delay_avg_ns,GradientBoosting,slew_ps,0.015034945425313907,0.003486961680206206
delay_avg_ns,GradientBoosting,cell_type,0.025915043500134526,0.01691475420109113
delay_avg_ns,GradientBoosting,input_arc,0.011040173863023972,0.015545995008394901
delay_avg_ns,GradientBoosting,corner,0.14876288987896472,0.06294746674898556
power_avg_uW,GradientBoosting,Wn_um,0.12027573518939849,0.025210476796664175
power_avg_uW,GradientBoosting,L_um,0.0,0.0
power_avg_uW,GradientBoosting,Wp_Wn_ratio,0.006368170210655,0.0022740575405325912
power_avg_uW,GradientBoosting,Vdd,0.10563081577474556,0.016529028762607135
power_avg_uW,GradientBoosting,Temp,3.9851536551316345e-05,0.0003626404493559842
power_avg_uW,GradientBoosting,Cload_fF,1.336594874115486,0.23464762439772252
power_avg_uW,GradientBoosting,slew_ps,0.0002702759597730586,0.0006629003815371642
power_avg_uW,GradientBoosting,cell_type,0.033561583123950536,0.00915783339997228
power_avg_uW,GradientBoosting,input_arc,0.05354515630715221,0.01132292555912165
power_avg_uW,GradientBoosting,corner,-0.00021803323887685798,0.0001346209564354789
