experiment,seed,pool_rows,selected_k,spearman,kendall_tau,precision_at_k_top10,recall_at_k_top10,precision_at_k_top20,recall_at_k_top20,ndcg_at_k,median_actual_rank_selected
v2_repeated_holdout,0,64.0,13.0,0.9754120879120878,0.8849206349206349,0.5384615384615384,1.0,0.7692307692307693,0.7692307692307693,0.9948957117151085,7.0
v2_repeated_holdout,1,64.0,13.0,0.9843864468864468,0.9047619047619047,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9962067828108009,7.0
v2_repeated_holdout,2,64.0,13.0,0.9771520146520146,0.8958333333333333,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9962539727801879,7.0
v2_repeated_holdout,3,64.0,13.0,0.9737179487179486,0.8819444444444444,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9966506122127894,7.0
v2_repeated_holdout,4,64.0,13.0,0.973260073260073,0.8710317460317459,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9971979860625425,7.0
v2_repeated_holdout,5,64.0,13.0,0.9652930402930402,0.8601190476190476,0.5384615384615384,1.0,1.0,1.0,0.9974420252069053,7.0
v2_repeated_holdout,6,64.0,13.0,0.9574633699633699,0.8521825396825397,0.5384615384615384,1.0,1.0,1.0,0.9982044662806592,7.0
v2_repeated_holdout,7,64.0,13.0,0.9821428571428571,0.8998015873015873,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9921924915500777,7.0
v2_repeated_holdout,8,64.0,13.0,0.9845238095238095,0.9037698412698412,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9952232063927656,7.0
v2_repeated_holdout,9,64.0,13.0,0.9702838827838827,0.8571428571428571,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.99588725746908,7.0
v2_repeated_holdout,10,64.0,13.0,0.9812728937728937,0.8948412698412699,0.5384615384615384,1.0,0.7692307692307693,0.7692307692307693,0.9904527150495306,7.0
v2_repeated_holdout,11,64.0,13.0,0.9839285714285714,0.9146825396825395,0.5384615384615384,1.0,1.0,1.0,0.9996153408409906,7.0
v2_repeated_holdout,12,64.0,13.0,0.9919413919413917,0.9325396825396824,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9969686704548605,7.0
v2_repeated_holdout,13,64.0,13.0,0.9815934065934065,0.8898809523809524,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9901539527438347,7.0
v2_repeated_holdout,14,64.0,13.0,0.974587912087912,0.8670634920634921,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.990405512157831,7.0
v2_repeated_holdout,15,64.0,13.0,0.9775641025641023,0.8789682539682538,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9950115825909799,7.0
v2_repeated_holdout,16,64.0,13.0,0.98003663003663,0.8908730158730158,0.5384615384615384,1.0,1.0,1.0,0.9986630874300692,7.0
v2_repeated_holdout,17,64.0,13.0,0.9713827838827838,0.8710317460317459,0.5384615384615384,1.0,0.6923076923076923,0.6923076923076923,0.9903587667697927,7.0
v2_repeated_holdout,18,64.0,13.0,0.9743589743589743,0.875,0.5384615384615384,1.0,0.9230769230769231,0.9230769230769231,0.9952552544348147,7.0
v2_repeated_holdout,19,64.0,13.0,0.9850274725274725,0.9007936507936508,0.5384615384615384,1.0,0.8461538461538461,0.8461538461538461,0.9949875450892305,7.0
v2_train_v3_validation,,480.0,96.0,0.987042912512641,0.9030793319415448,0.5,1.0,0.9479166666666666,0.9479166666666666,0.9983515209938228,48.5
