sample_id,cell_type,dataset,elapsed_seconds
0,INV,v2,0.481
1,INV,v2,0.456
2,INV,v2,0.457
3,INV,v2,0.455
4,INV,v2,0.434
5,INV,v2,0.436
6,INV,v2,0.422
7,INV,v2,0.433
8,INV,v2,0.446
9,INV,v2,0.493
10,INV,v2,0.431
11,INV,v2,0.425
12,INV,v2,0.434
13,INV,v2,0.42
14,INV,v2,0.436
15,INV,v2,0.421
16,INV,v2,0.441
17,INV,v2,0.736
18,INV,v2,0.433
19,INV,v2,0.488
20,INV,v2,0.441
21,INV,v2,0.455
22,INV,v2,0.43
23,INV,v2,0.426
24,INV,v2,0.431
25,INV,v2,0.434
26,INV,v2,0.429
27,INV,v2,0.429
28,INV,v2,0.415
29,INV,v2,0.427
30,INV,v2,0.426
31,INV,v2,0.43
32,INV,v2,0.43
33,INV,v2,0.436
34,INV,v2,0.427
35,INV,v2,0.429
36,INV,v2,0.432
37,INV,v2,0.425
38,INV,v2,0.424
39,INV,v2,0.451
40,INV,v2,0.437
41,INV,v2,0.425
42,INV,v2,0.426
43,INV,v2,0.425
44,INV,v2,0.424
45,INV,v2,0.422
46,INV,v2,0.415
47,INV,v2,0.438
48,INV,v2,0.598
49,INV,v2,0.425
50,INV,v2,0.444
51,INV,v2,0.428
52,INV,v2,0.496
53,INV,v2,0.422
54,INV,v2,0.456
55,INV,v2,0.414
56,INV,v2,0.446
57,INV,v2,0.453
58,INV,v2,0.412
59,INV,v2,0.432
60,INV,v2,0.511
61,INV,v2,0.443
62,INV,v2,0.436
63,INV,v2,0.432
64,INV,v2,0.419
65,INV,v2,0.45
66,INV,v2,0.482
67,INV,v2,0.449
68,INV,v2,0.428
69,INV,v2,0.432
70,INV,v2,0.426
71,INV,v2,0.433
72,INV,v2,0.423
73,INV,v2,0.448
74,INV,v2,0.422
75,INV,v2,0.434
76,INV,v2,0.429
77,INV,v2,0.427
78,INV,v2,0.454
79,INV,v2,0.412
80,NAND2,v2,0.623
81,NAND2,v2,0.632
82,NAND2,v2,0.615
83,NAND2,v2,0.627
84,NAND2,v2,0.616
85,NAND2,v2,0.602
86,NAND2,v2,0.606
87,NAND2,v2,0.616
88,NAND2,v2,0.605
89,NAND2,v2,0.615
90,NAND2,v2,0.615
91,NAND2,v2,0.616
92,NAND2,v2,0.602
93,NAND2,v2,0.598
94,NAND2,v2,0.607
95,NAND2,v2,0.603
96,NAND2,v2,0.614
97,NAND2,v2,0.613
98,NAND2,v2,0.597
99,NAND2,v2,0.602
100,NAND2,v2,0.611
101,NAND2,v2,0.599
102,NAND2,v2,0.62
103,NAND2,v2,0.616
104,NAND2,v2,0.607
105,NAND2,v2,0.608
106,NAND2,v2,0.612
107,NAND2,v2,0.602
108,NAND2,v2,0.636
109,NAND2,v2,0.629
110,NAND2,v2,0.612
111,NAND2,v2,0.61
112,NAND2,v2,0.613
113,NAND2,v2,0.62
114,NAND2,v2,0.608
115,NAND2,v2,0.623
116,NAND2,v2,0.598
117,NAND2,v2,0.594
118,NAND2,v2,0.594
119,NAND2,v2,0.594
120,NAND2,v2,0.593
121,NAND2,v2,0.594
122,NAND2,v2,0.954
123,NAND2,v2,0.77
124,NAND2,v2,0.686
125,NAND2,v2,0.625
126,NAND2,v2,0.617
127,NAND2,v2,0.625
128,NAND2,v2,0.7
129,NAND2,v2,0.639
130,NAND2,v2,0.603
131,NAND2,v2,0.599
132,NAND2,v2,0.634
133,NAND2,v2,0.612
134,NAND2,v2,0.627
135,NAND2,v2,0.61
136,NAND2,v2,0.602
137,NAND2,v2,0.6
138,NAND2,v2,0.593
139,NAND2,v2,0.611
140,NAND2,v2,0.605
141,NAND2,v2,0.577
142,NAND2,v2,0.574
143,NAND2,v2,0.602
144,NAND2,v2,0.584
145,NAND2,v2,0.594
146,NAND2,v2,0.592
147,NAND2,v2,0.588
148,NAND2,v2,0.586
149,NAND2,v2,0.568
150,NAND2,v2,0.593
151,NAND2,v2,0.554
152,NAND2,v2,0.617
153,NAND2,v2,0.597
154,NAND2,v2,0.59
155,NAND2,v2,0.592
156,NAND2,v2,0.591
157,NAND2,v2,0.61
158,NAND2,v2,0.625
159,NAND2,v2,0.684
160,NOR2,v2,0.672
161,NOR2,v2,0.595
162,NOR2,v2,0.594
163,NOR2,v2,0.603
164,NOR2,v2,0.612
165,NOR2,v2,0.611
166,NOR2,v2,0.601
167,NOR2,v2,0.588
168,NOR2,v2,0.585
169,NOR2,v2,0.586
170,NOR2,v2,0.607
171,NOR2,v2,0.595
172,NOR2,v2,0.612
173,NOR2,v2,0.594
174,NOR2,v2,0.597
175,NOR2,v2,0.592
176,NOR2,v2,0.595
177,NOR2,v2,0.599
178,NOR2,v2,0.568
179,NOR2,v2,0.58
180,NOR2,v2,0.57
181,NOR2,v2,0.562
182,NOR2,v2,0.592
183,NOR2,v2,0.604
184,NOR2,v2,0.586
185,NOR2,v2,0.58
186,NOR2,v2,0.576
187,NOR2,v2,0.588
188,NOR2,v2,0.581
189,NOR2,v2,0.592
190,NOR2,v2,0.595
191,NOR2,v2,0.583
192,NOR2,v2,0.612
193,NOR2,v2,0.608
194,NOR2,v2,0.587
195,NOR2,v2,0.592
196,NOR2,v2,0.586
197,NOR2,v2,0.599
198,NOR2,v2,0.593
199,NOR2,v2,0.593
200,NOR2,v2,0.599
201,NOR2,v2,0.576
202,NOR2,v2,0.58
203,NOR2,v2,0.594
204,NOR2,v2,0.59
205,NOR2,v2,0.586
206,NOR2,v2,0.586
207,NOR2,v2,0.587
208,NOR2,v2,0.599
209,NOR2,v2,0.598
210,NOR2,v2,0.709
211,NOR2,v2,0.619
212,NOR2,v2,0.59
213,NOR2,v2,0.577
214,NOR2,v2,0.596
215,NOR2,v2,0.599
216,NOR2,v2,0.639
217,NOR2,v2,0.602
218,NOR2,v2,0.59
219,NOR2,v2,0.657
220,NOR2,v2,0.608
221,NOR2,v2,0.649
222,NOR2,v2,0.62
223,NOR2,v2,0.612
224,NOR2,v2,0.627
225,NOR2,v2,0.605
226,NOR2,v2,0.615
227,NOR2,v2,0.595
228,NOR2,v2,0.609
229,NOR2,v2,0.612
230,NOR2,v2,0.597
231,NOR2,v2,0.588
232,NOR2,v2,0.579
233,NOR2,v2,0.601
234,NOR2,v2,0.649
235,NOR2,v2,0.655
236,NOR2,v2,0.624
237,NOR2,v2,0.613
238,NOR2,v2,0.612
239,NOR2,v2,0.596
240,XOR2,v2,0.995
241,XOR2,v2,1.028
242,XOR2,v2,0.995
243,XOR2,v2,1.132
244,XOR2,v2,1.066
245,XOR2,v2,1.015
246,XOR2,v2,0.995
247,XOR2,v2,0.991
248,XOR2,v2,1.086
249,XOR2,v2,0.998
250,XOR2,v2,0.97
251,XOR2,v2,0.984
252,XOR2,v2,0.99
253,XOR2,v2,0.953
254,XOR2,v2,0.976
255,XOR2,v2,1.008
256,XOR2,v2,1.111
257,XOR2,v2,1.005
258,XOR2,v2,0.974
259,XOR2,v2,1.233
260,XOR2,v2,1.01
261,XOR2,v2,0.986
262,XOR2,v2,0.977
263,XOR2,v2,1.002
264,XOR2,v2,0.97
265,XOR2,v2,0.971
266,XOR2,v2,1.007
267,XOR2,v2,0.996
268,XOR2,v2,1.198
269,XOR2,v2,1.053
270,XOR2,v2,1.029
271,XOR2,v2,1.183
272,XOR2,v2,1.021
273,XOR2,v2,1.009
274,XOR2,v2,1.04
275,XOR2,v2,1.204
276,XOR2,v2,1.041
277,XOR2,v2,1.051
278,XOR2,v2,1.109
279,XOR2,v2,1.178
280,XOR2,v2,1.031
281,XOR2,v2,1.124
282,XOR2,v2,1.129
283,XOR2,v2,1.032
284,XOR2,v2,1.113
285,XOR2,v2,1.031
286,XOR2,v2,1.003
287,XOR2,v2,0.996
288,XOR2,v2,0.977
289,XOR2,v2,0.99
290,XOR2,v2,1.003
291,XOR2,v2,1.0
292,XOR2,v2,1.009
293,XOR2,v2,1.019
294,XOR2,v2,0.997
295,XOR2,v2,1.015
296,XOR2,v2,1.007
297,XOR2,v2,1.013
298,XOR2,v2,0.991
299,XOR2,v2,0.98
300,XOR2,v2,0.981
301,XOR2,v2,1.016
302,XOR2,v2,0.99
303,XOR2,v2,0.981
304,XOR2,v2,1.026
305,XOR2,v2,1.123
306,XOR2,v2,1.007
307,XOR2,v2,0.995
308,XOR2,v2,0.997
309,XOR2,v2,1.036
310,XOR2,v2,0.994
311,XOR2,v2,0.992
312,XOR2,v2,1.082
313,XOR2,v2,1.026
314,XOR2,v2,1.001
315,XOR2,v2,0.987
316,XOR2,v2,1.019
317,XOR2,v2,0.984
318,XOR2,v2,0.982
319,XOR2,v2,1.043
20000,INV,v3,0.675
20001,INV,v3,0.659
20002,INV,v3,0.555
20003,INV,v3,0.793
20004,INV,v3,0.491
20005,INV,v3,0.573
20006,INV,v3,0.606
20007,INV,v3,0.449
20008,INV,v3,0.482
20009,INV,v3,0.456
20010,INV,v3,0.588
20011,INV,v3,0.617
