sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index
15200001,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.8862403261321514,115.92727446927881,1.2308803213578965,0.008070700496560659,typical,tt,0.169373,0.301769,0.235571,0.269121,1.8220299999811687,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200001_aoi21_1_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200001_aoi21_1_typical.log,0,51,2,typical,1,1
15200002,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.6227630997688223,103.55831150352128,10.881658000308235,0.013239725355305841,typical,tt,0.0908434,0.9614729999999999,0.5261581999999999,0.929829,5.658435291028582,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200002_aoi21_4_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200002_aoi21_4_typical.log,0,58,2,typical,2,1
15200003,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8234898212822428,118.96483489658772,1.2482869019031004,0.17814422498843385,typical,tt,0.843291,1.35273,1.0980105,3.73425,0.8739380000042729,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200003_inv_1_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200003_inv_1_typical.log,0,5,2,typical,3,1
15200004,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.8858910967807723,121.77523555825042,11.182868288990452,0.19687051658800392,typical,tt,0.561071,1.78122,1.1711455,7.12392,2.2181717079947703,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200004_inv_4_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200004_inv_4_typical.log,0,10,2,typical,4,1
15200005,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.6463525802314327,-34.46682612517954,2.8285516838023055,0.025413107326181485,typical,tt,1.03932,0.5751740000000001,0.807247,0.499682,3.1490194590296596,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200005_mux2_1_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200005_mux2_1_typical.log,0,76,2,typical,5,1
15200006,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.7165088688894814,-35.30867300756371,1.5071473326604654,0.1728413024293247,typical,tt,0.839288,0.658604,0.748946,3.45564,4.464378125034273,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200006_mux2_4_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200006_mux2_4_typical.log,0,79,2,typical,6,1
15200007,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.6931082230406997,-25.011754511874926,1.1836335932846185,0.05257706164850775,typical,tt,0.509205,0.827773,0.6684889999999999,0.964415,1.3443310409784317,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200007_nand2_1_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200007_nand2_1_typical.log,0,15,2,typical,7,1
15200008,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.7252614922272764,117.29032391689069,11.967428886583907,0.02555781093935004,typical,tt,0.0519897,0.890275,0.47113235000000003,2.22312,3.922335707989987,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200008_nand2_4_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200008_nand2_4_typical.log,0,18,2,typical,8,1
15200009,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6627391255269053,73.75688771976704,11.988881468076015,0.14995635829235412,typical,tt,3.1638,4.20112,3.6824600000000003,2.66349,1.8880232920055278,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200009_nand3_1_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200009_nand3_1_typical.log,0,85,2,typical,9,1
15200010,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.9098956907370095,-24.510888924796422,10.394693870870718,0.005886351828329248,typical,tt,-0.49383499999999997,0.967529,0.236847,0.947481,5.62182058399776,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/netlists/15200010_nand3_4_typical.cir,results/sky130_cross_pdk_replication/online/runs/seed_2/corner_typical/logs/15200010_nand3_4_typical.log,0,95,2,typical,10,1
