sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index
15420001,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.9257167152463808,-17.4611095885769,7.7574278970453925,0.1987317267510832,ss,ss,2.77166,5.648280000000001,4.209969999999999,4.66402,1.0159322080435231,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420001_aoi21_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420001_aoi21_1_ss.log,0,52,4,ss,1,1
15420002,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.6955576885721537,76.53596657198743,11.963418143121878,0.03303051132900924,ss,ss,0.8900899999999999,1.86227,1.3761800000000002,0.848345,3.141460000013467,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420002_aoi21_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420002_aoi21_4_ss.log,0,59,4,ss,2,1
15420003,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.675341023574148,-38.884760670682795,6.683481244095391,0.009015410836462987,ss,ss,0.789834,1.93333,1.361582,0.17025,0.4896738749812357,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420003_inv_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420003_inv_1_ss.log,0,4,4,ss,3,1
15420004,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.928016359649458,116.51965833133386,1.634656404662322,0.06858458639227945,ss,ss,0.31728700000000004,0.49491300000000005,0.4061,1.74812,1.1696142079890706,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420004_inv_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420004_inv_4_ss.log,0,11,4,ss,4,1
15420005,SKY130,130,MUX2,MUX2_1,MUX2_1,1,"A0_to_X__A1=0,S=0",0,3,12,2.75,3.1,1.7761693164462897,-36.21496762678389,3.9769270160232755,0.19316747637664047,ss,ss,2.0524899999999997,2.65739,2.35494,3.89429,1.714639250014443,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420005_mux2_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420005_mux2_1_ss.log,0,74,4,ss,5,1
15420006,SKY130,130,MUX2,MUX2_4,MUX2_4,4,"A0_to_X__A1=0,S=0",0,3,18,5.8500000000000005,9.0,1.959924878877962,113.37505626031086,0.5202386707329177,0.0021446262374291702,ss,ss,0.319384,0.239107,0.2792455,0.443749,2.5100317079923116,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/mux2/sky130_fd_sc_hd__mux2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420006_mux2_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420006_mux2_4_ss.log,0,79,4,ss,6,1
15420007,SKY130,130,NAND2,NAND2_1,NAND2_1,1,A_to_Y__B=1,1,2,4,1.3,2.0,1.9397314260811502,92.9344796066568,11.996873063775249,0.19115543829053022,ss,ss,3.58316,4.46209,4.022625000000001,4.60773,0.7697992089670151,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420007_nand2_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420007_nand2_1_ss.log,0,14,4,ss,7,1
15420008,SKY130,130,NAND2,NAND2_4,NAND2_4,4,A_to_Y__B=1,1,2,16,5.2,8.0,1.8605398931278536,-20.493614373116547,11.884273903250858,0.05998205795706934,ss,ss,0.78705,2.38557,1.58631,1.41603,2.0815335839870386,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand2/sky130_fd_sc_hd__nand2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420008_nand2_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420008_nand2_4_ss.log,0,22,4,ss,8,1
15420009,SKY130,130,NAND3,NAND3_1,NAND3_1,1,"A_to_Y__B=1,C=1",1,3,6,1.9500000000000002,3.0,1.6503321117997594,115.77776226263495,10.470925034524946,0.044645934217043395,ss,ss,2.4785,2.69621,2.587355,0.805821,1.0144364589941688,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420009_nand3_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420009_nand3_1_ss.log,0,85,4,ss,9,1
15420010,SKY130,130,NAND3,NAND3_4,NAND3_4,4,"A_to_Y__B=1,C=1",1,3,24,7.800000000000002,12.0,1.935850203802689,112.40163473867983,1.4608003748940126,0.05208505213313936,ss,ss,0.39958,0.418487,0.40903349999999994,1.40856,3.115145082992967,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nand3/sky130_fd_sc_hd__nand3_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420010_nand3_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420010_nand3_4_ss.log,0,90,4,ss,10,1
15420011,SKY130,130,NOR2,NOR2_1,NOR2_1,1,A_to_Y__B=0,1,2,4,1.3,2.0,1.7105501765149072,115.51582092338731,11.69523544858562,0.1575838582994892,ss,ss,3.25565,5.738440000000001,4.497045,2.94362,0.7776399999856949,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420011_nor2_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420011_nor2_1_ss.log,0,29,4,ss,11,1
15420012,SKY130,130,NOR2,NOR2_4,NOR2_4,4,A_to_Y__B=0,1,2,16,5.2,8.0,1.8675445073810097,103.68679564050444,11.770374991942775,0.07697923506860928,ss,ss,0.733759,1.80815,1.2709545,2.41562,2.1489228749996983,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/nor2/sky130_fd_sc_hd__nor2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420012_nor2_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420012_nor2_4_ss.log,0,32,4,ss,12,1
15420013,SKY130,130,OAI21,OAI21_1,O21AI_1,1,"A1_to_Y__A2=0,B1=1",1,3,6,1.9500000000000002,2.7,1.631157621609543,96.52787407832565,5.391044067188272,0.010152712484408265,ss,ss,0.8403849999999999,1.3460999999999999,1.0932425000000001,0.223559,1.005386582983192,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420013_oai21_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420013_oai21_1_ss.log,0,63,4,ss,13,1
15420014,SKY130,130,OAI21,OAI21_4,O21AI_4,4,"A1_to_Y__A2=0,B1=1",1,3,24,7.800000000000002,12.0,1.6617885942730983,74.40983325068012,4.671498768730616,0.196880476088133,ss,ss,1.42109,2.39128,1.906185,3.62743,3.122938541986514,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/o21ai/sky130_fd_sc_hd__o21ai_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420014_oai21_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420014_oai21_4_ss.log,0,70,4,ss,14,1
15420015,SKY130,130,XOR2,XOR2_1,XOR2_1,1,A_to_X__B=0,0,2,10,3.25,5.0,1.6244043708641025,-24.701998131305537,8.720410247028681,0.05677339384083733,ss,ss,2.60593,2.69701,2.65147,1.02462,1.5157280000275932,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420015_xor2_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420015_xor2_1_ss.log,0,41,4,ss,15,1
15420016,SKY130,130,XOR2,XOR2_4,XOR2_4,4,A_to_X__B=0,0,2,40,13.000000000000004,20.0,1.965898695814595,120.74652056138862,10.431678279239913,0.04251930181768445,ss,ss,0.891231,0.28472,0.5879755,3.00301,5.05545450001955,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/xor2/sky130_fd_sc_hd__xor2_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420016_xor2_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420016_xor2_4_ss.log,0,43,4,ss,16,1
15420017,SKY130,130,AOI21,AOI21_1,A21OI_1,1,"A1_to_Y__A2=1,B1=0",1,3,6,1.9500000000000002,3.0,1.7304937119251989,113.88294928506446,2.795396642829177,0.06063190681215761,ss,ss,1.23971,1.83876,1.539235,1.18763,1.0054236670257524,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420017_aoi21_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420017_aoi21_1_ss.log,0,49,4,ss,17,2
15420018,SKY130,130,AOI21,AOI21_4,A21OI_4,4,"A1_to_Y__A2=1,B1=0",1,3,24,7.800000000000002,12.0,1.9119228769811596,68.45442836923482,0.8283841298370556,0.1673407362422064,ss,ss,0.494015,0.919558,0.7067864999999999,4.07735,3.0620504170074128,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/a21oi/sky130_fd_sc_hd__a21oi_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420018_aoi21_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420018_aoi21_4_ss.log,0,57,4,ss,18,2
15420019,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8639349710924547,79.27207165133527,1.605852084773717,0.20436948164908011,ss,ss,1.2154800000000001,2.1287100000000003,1.672095,4.46509,0.5502334170159884,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420019_inv_1_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420019_inv_1_ss.log,0,5,4,ss,19,2
15420020,SKY130,130,INV,INV_4,INV_4,4,A_to_Y,1,1,8,2.6,4.0,1.6422829924290543,-21.569371357173427,4.064662190392162,0.14241637945656654,ss,ss,1.03949,1.9130500000000001,1.4762700000000002,2.45738,1.1341607500216924,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_4.spice,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/netlists/15420020_inv_4_ss.cir,results/sky130_cross_pdk_replication/online/runs/seed_4/corner_ss/logs/15420020_inv_4_ss.log,0,9,4,ss,20,2
