seed,heldout_corner,support_budget,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio
0,typical,0,,,1.0
0,typical,16,0.19931873733788427,0.16680121805448322,0.7939064162111494
0,typical,32,0.3088277038195954,0.11438361707134202,0.779557424369238
0,typical,48,0.37714112331956645,0.12284710891684732,0.5591675976094126
0,typical,64,0.22365525726021124,0.02993283143193324,0.40858745078142705
0,typical,80,0.19890266962080053,0.037808776992134314,0.3614948639288844
0,typical,96,0.18603039454387188,0.018654435374962256,0.0
0,ff,0,,,1.0
0,ff,16,0.5565253199631781,0.17199108291172926,0.8880662437322933
0,ff,32,0.30905473934586614,0.08405879282830162,0.6149324469977289
0,ff,48,0.24252545786349558,0.05055144492682103,0.5195679718443508
0,ff,64,0.2051215005235224,0.026914725925294324,0.4172665012601266
0,ff,80,0.1725456702535645,0.015277388072032735,0.31198684990183884
0,ff,96,0.1305512921791629,0.012704310830810006,0.0
0,ss,0,,,1.0
0,ss,16,0.8742411800311389,0.40211960257018375,0.9611388592507392
0,ss,32,0.4530402372467954,0.18454004809648822,0.7959750806548377
0,ss,48,0.420658222114601,0.1105206505597311,0.567772418014872
0,ss,64,0.22517312759850233,0.029200193153290963,0.5620686570496072
0,ss,80,0.42114128437107906,0.04431611209311239,0.44412843718045986
0,ss,96,0.2357392241755361,0.02191671533828762,0.0
1,typical,0,,,1.0
1,typical,16,0.20582719245200617,0.0724601088033806,0.9735757358165578
1,typical,32,0.24733172144734558,0.0634270239182338,0.6966980056104976
1,typical,48,0.2419559086939319,0.042208042216057326,0.5422878195406557
1,typical,64,0.21533532776864603,0.035689916345292436,0.4310233045235684
1,typical,80,0.17707938201375412,0.023304908216144653,0.40076715674314145
1,typical,96,0.11022554140845331,0.01320621461553673,0.0
1,ff,0,,,1.0
1,ff,16,0.5339603010975824,0.17165176503857055,1.024373924135711
1,ff,32,0.3251056912710771,0.09282897969531417,0.6065499326613282
1,ff,48,0.29412157949763984,0.049960907389148115,0.5084706889872479
1,ff,64,0.14742385354264814,0.021320112237456872,0.45799290583405017
1,ff,80,0.14243123416465053,0.01969363186675437,0.4192999018328716
1,ff,96,0.11043430350216407,0.01181686005382426,0.0
1,ss,0,,,1.0
1,ss,16,0.7076334826446925,0.2531584485551792,0.8164642788937257
1,ss,32,0.7079237772713755,0.2163785970127705,0.5580013273105965
1,ss,48,0.42205046677337665,0.14897818884775635,0.5079668423243476
1,ss,64,0.31242450463049726,0.06491901519126639,0.38664141662065904
1,ss,80,0.18010268654474523,0.028884868358529745,0.35626483252573826
1,ss,96,0.25985515851621377,0.022670828182714545,0.0
2,typical,0,,,1.0
2,typical,16,0.2635147849254056,0.08861779689971576,0.8843000881861814
