sample_id,pdk,process_node_nm,cell_family,cell_variant,source_cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,model_corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,mc_mm_switch,mc_pr_switch,released_spice_path,netlist_path,log_path,ngspice_returncode
13000000,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.971670781069398,93.25410186059545,3.1774456234633437,0.15756882234922634,typical,tt,1.00988,1.63199,1.320935,3.9275,0.4972859999979846,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000000_inv_1_typical.cir,results/sky130_cross_pdk_replication/primary/logs/13000000_inv_1_typical.log,0
13000001,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8755223345647505,-26.815120125051514,9.167194737055759,0.14154918133553723,ff,ff,0.653192,2.9158999999999997,1.784546,3.32735,0.5243418329628184,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000001_inv_1_ff.cir,results/sky130_cross_pdk_replication/primary/logs/13000001_inv_1_ff.log,0
13000002,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7275443926970475,56.0863073767742,10.854053982396287,0.07861995272491386,ss,ss,2.18921,3.74134,2.9652750000000005,1.49062,0.5223408750025555,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000002_inv_1_ss.cir,results/sky130_cross_pdk_replication/primary/logs/13000002_inv_1_ss.log,0
13000003,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.7115485884882027,99.86284978136257,8.410285728458371,0.04566918455582893,typical,tt,0.779522,1.80731,1.2934160000000001,0.984128,0.481875833007507,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000003_inv_1_typical.cir,results/sky130_cross_pdk_replication/primary/logs/13000003_inv_1_typical.log,0
13000004,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.864994138085422,113.07213586422222,11.210411449477135,0.1449638806332016,ff,ff,0.805455,2.56103,1.6832425,4.45923,0.4834231249988079,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000004_inv_1_ff.cir,results/sky130_cross_pdk_replication/primary/logs/13000004_inv_1_ff.log,0
13000005,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8201883635672567,42.81680774649941,6.260351662870028,0.05964675486592796,ss,ss,1.27545,2.2632299999999996,1.76934,1.26003,0.47134670900413767,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000005_inv_1_ss.cir,results/sky130_cross_pdk_replication/primary/logs/13000005_inv_1_ss.log,0
13000006,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.660727004001657,-4.160742315735327,0.392996280266874,0.02087988473541383,typical,tt,0.162094,0.309844,0.235969,0.376902,0.47078254201915115,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000006_inv_1_typical.cir,results/sky130_cross_pdk_replication/primary/logs/13000006_inv_1_typical.log,0
13000007,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.8314726442883755,-25.1965265910691,1.0154565819087356,0.16366728626131838,ff,ff,0.536694,1.1490799999999999,0.8428869999999999,3.45604,0.4847883749753237,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000007_inv_1_ff.cir,results/sky130_cross_pdk_replication/primary/logs/13000007_inv_1_ff.log,0
13000008,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.9304094812481443,18.375213791885017,11.48954605212099,0.10882764400809261,ss,ss,1.98382,3.92098,2.9524,2.57897,0.4941854170174338,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000008_inv_1_ss.cir,results/sky130_cross_pdk_replication/primary/logs/13000008_inv_1_ss.log,0
13000009,SKY130,130,INV,INV_1,INV_1,1,A_to_Y,1,1,2,0.65,1.0,1.9126661259853615,109.63030851979826,1.858476548624384,0.19491740491212864,typical,tt,0.9756819999999999,1.52376,1.249721,4.50442,0.4877176660229452,ok,SPICE_SKY130_RELEASED_SPICE,off,0,0,sky130-pdk/libraries/sky130_fd_sc_hd/latest/cells/inv/sky130_fd_sc_hd__inv_1.spice,results/sky130_cross_pdk_replication/primary/netlists/13000009_inv_1_typical.cir,results/sky130_cross_pdk_replication/primary/logs/13000009_inv_1_typical.log,0
