experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
random_split,delay_avg_ns,Ridge,256,64,,,0.6503794698733039,0.09268343053724795,0.1561962255424912,39.769564664381434
random_split,delay_avg_ns,RandomForest,256,64,,,0.7961028994696796,0.06382092893948674,0.11928273724136541,25.26789983304288
random_split,delay_avg_ns,GradientBoosting,256,64,,,0.8707504904666867,0.048273806202344144,0.09497001867055922,17.91766088088067
random_split,delay_avg_ns,MLP,256,64,,,0.823856133503265,0.07507165957697075,0.11086790323908279,34.270083111815836
random_split,power_avg_uW,Ridge,256,64,,,0.9619399870981921,0.4711733199249297,0.6465829404347951,11.445416237597152
random_split,power_avg_uW,RandomForest,256,64,,,0.9180138245580879,0.7245707493187253,0.9489866219037711,15.491650920999081
random_split,power_avg_uW,GradientBoosting,256,64,,,0.9696289115194301,0.43721604107146705,0.5775903847612706,8.697004572671519
random_split,power_avg_uW,MLP,256,64,,,0.9651790997656795,0.49248273587659164,0.6184573764079522,13.761415803622684
cell_transfer,delay_avg_ns,RandomForest,240,80,INV,0,0.40462993978153194,0.1094253176938933,0.13547726235901003,57.768012514171176
cell_transfer,delay_avg_ns,GradientBoosting,240,80,INV,0,0.27774945116727623,0.117746008605535,0.14921650266224037,54.66661064319236
cell_transfer,delay_avg_ns,MLP,240,80,INV,0,0.43361723844610633,0.1050702395662702,0.13213806105673725,58.210980795873034
cell_transfer,power_avg_uW,RandomForest,240,80,INV,0,0.6851325194758581,1.3314054707334884,1.4416333015188512,36.601069994120785
cell_transfer,power_avg_uW,GradientBoosting,240,80,INV,0,0.7119780328542115,1.2459243390572958,1.3788077234692364,34.26245129575762
cell_transfer,power_avg_uW,MLP,240,80,INV,0,0.8158257020724813,0.8981786410928299,1.102568073937911,21.609015067453967
cell_transfer,delay_avg_ns,RandomForest,245,75,INV,5,0.45504407549378945,0.10048219539444243,0.13305076070999264,50.878129112482064
cell_transfer,delay_avg_ns,GradientBoosting,245,75,INV,5,0.5412391830775185,0.07453661801929283,0.12207587095662882,28.8199614617615
cell_transfer,delay_avg_ns,MLP,245,75,INV,5,0.5748497895653693,0.09791607320336956,0.11751894173144706,59.50469811414494
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,5,75,INV,5,-0.07647513226551728,0.1323227136382222,0.18699873711118245,64.5550706252114
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,5,75,INV,5,-0.26794097143929774,0.14557029390393592,0.20294866111157903,68.00253770317242
cell_transfer,power_avg_uW,RandomForest,245,75,INV,5,0.7460816445587616,1.2002919955435032,1.2999358907934477,33.78545069067436
cell_transfer,power_avg_uW,GradientBoosting,245,75,INV,5,0.9347595050586059,0.46596328740384535,0.6589212443321019,15.199413328111605
cell_transfer,power_avg_uW,MLP,245,75,INV,5,0.8189778671444135,0.8257786127563859,1.09759147478689,27.830720413210702
cell_fewshot_from_scratch,power_avg_uW,RandomForest,5,75,INV,5,0.3005833493494271,1.7528051516799992,2.157460583183183,61.475407917036485
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,5,75,INV,5,0.7321419429019711,1.0948486459253464,1.3351413410499418,36.46714275925053
cell_transfer,delay_avg_ns,RandomForest,250,70,INV,10,0.5271922152933177,0.08882874712046246,0.12542770827297867,43.9988933172066
cell_transfer,delay_avg_ns,GradientBoosting,250,70,INV,10,0.5064908935542423,0.07032673531816126,0.1281441437172599,26.82293579562689
cell_transfer,delay_avg_ns,MLP,250,70,INV,10,0.6646969732131809,0.08320951793185066,0.10562577655344772,43.40633634742271
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,10,70,INV,10,0.3235209819066157,0.09999401054039114,0.15003008088781242,45.40758353832569
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,10,70,INV,10,0.43467352909186474,0.09997016654570476,0.13715158744214145,46.83317655194573
cell_transfer,power_avg_uW,RandomForest,250,70,INV,10,0.7184581165679307,1.2489186919067443,1.3756077699880453,34.63151082250352
cell_transfer,power_avg_uW,GradientBoosting,250,70,INV,10,0.8995551215620777,0.6852687610915135,0.8216502905980161,19.821131146505138
cell_transfer,power_avg_uW,MLP,250,70,INV,10,0.7914104554471693,0.9267549607505013,1.1840482011836302,27.187899781868254
cell_fewshot_from_scratch,power_avg_uW,RandomForest,10,70,INV,10,0.6827349287294071,1.1829615800557816,1.4602736390315627,46.79018588833885
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,10,70,INV,10,0.7852271124639836,0.9792475460268879,1.2014697545671953,32.722997763443324
cell_transfer,delay_avg_ns,RandomForest,260,60,INV,20,0.5192348778893137,0.08608058832803596,0.1029751300820803,47.06098937801647
cell_transfer,delay_avg_ns,GradientBoosting,260,60,INV,20,0.8208638587598185,0.04499334186939059,0.0628575544008574,20.451559999141736
cell_transfer,delay_avg_ns,MLP,260,60,INV,20,0.4864756874649173,0.08591812833693598,0.10642566619211107,50.5852181162728
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,20,60,INV,20,0.20009681085024011,0.09518363806618917,0.1328264564345956,54.77400639645934
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,20,60,INV,20,-0.0992247799815178,0.10322836343792571,0.15570735505903005,56.088948899450976
cell_transfer,power_avg_uW,RandomForest,260,60,INV,20,0.8014206098136831,0.9641949587839296,1.054139892643435,25.295539077457267
cell_transfer,power_avg_uW,GradientBoosting,260,60,INV,20,0.9378817783798393,0.4745933568673911,0.5895771855095345,11.634350595702244
cell_transfer,power_avg_uW,MLP,260,60,INV,20,0.9540403202354163,0.40901422492640005,0.50713041688462,13.277260131512685
cell_fewshot_from_scratch,power_avg_uW,RandomForest,20,60,INV,20,0.7507179148224511,0.9464146386055556,1.1810728793073089,26.981510407397074
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,20,60,INV,20,0.8084428634242378,0.850591300778712,1.035333653330784,20.266771745783984
cell_transfer,delay_avg_ns,RandomForest,280,40,INV,40,0.7739766043803928,0.0657017930698004,0.08186664688343771,39.583528672101274
cell_transfer,delay_avg_ns,GradientBoosting,280,40,INV,40,0.9324091847623658,0.0345620848018095,0.04476866537240779,17.603470826753124
cell_transfer,delay_avg_ns,MLP,280,40,INV,40,0.7343836758546252,0.0640662238123308,0.08874781846058517,36.10934230824855
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,40,40,INV,40,0.4042570125975822,0.08620901309646863,0.13291064777522313,48.651549725115814
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,40,40,INV,40,0.6285640060676765,0.06679525510478936,0.10494754857694295,37.40508475083576
cell_transfer,power_avg_uW,RandomForest,280,40,INV,40,0.9067905687100983,0.7635501712250247,0.84552964538292,26.195577631812807
cell_transfer,power_avg_uW,GradientBoosting,280,40,INV,40,0.9778570479092314,0.34008447425813165,0.41211333762762825,10.824984266000627
cell_transfer,power_avg_uW,MLP,280,40,INV,40,0.9718563396687149,0.3440926262191792,0.46461069246560294,15.256508874222687
cell_fewshot_from_scratch,power_avg_uW,RandomForest,40,40,INV,40,0.8980181487358081,0.7007459825202393,0.8844236671150209,30.88283409452658
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,40,40,INV,40,0.9381106924656133,0.536625032301869,0.6889801691020558,25.557846365862382
cell_transfer,delay_avg_ns,RandomForest,240,80,NAND2,0,0.806619606111465,0.060058235407559626,0.09861211692568671,24.580272093661087
cell_transfer,delay_avg_ns,GradientBoosting,240,80,NAND2,0,0.8424351464583557,0.0568029132107966,0.08901306118286678,24.326225073768537
cell_transfer,delay_avg_ns,MLP,240,80,NAND2,0,0.4408288529111124,0.10622140744233066,0.16768585852160298,41.67663090818179
